result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 3, 4, 4, 5, 6, 7, 7, 8, 8, 9, 11, 13, 14, 15, 18, 19, 20, 20, 22, 25, 27, 30, 41, 42, 43, 46, 47]","[0, 4, 5, 7, 7, 9, 15, 18, 41, 47]","[0, 4, 20, 20, 46]","[0, 4, 5, 6, 7, 9, 11, 13, 14, 15, 18, 19, 22, 25, 27, 30, 41, 42, 43]","[3, 7, 8, 8, 47]"
1,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 3, 4, 4, 5, 6, 7, 7, 8, 8, 9, 11, 13, 14, 15, 18, 19, 20, 20, 22, 25, 27, 30, 41, 42, 43, 46, 47]","[0, 4, 5, 7, 9, 15, 18, 41, 47]","[0, 4, 20, 20, 46]","[0, 3, 4, 5, 6, 7, 9, 11, 13, 14, 15, 18, 19, 22, 25, 27, 30, 41, 42, 43]","[7, 8, 8, 47]"
2,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 3, 4, 4, 5, 6, 7, 7, 8, 8, 9, 11, 13, 14, 15, 18, 19, 20, 20, 22, 25, 27, 30, 41, 42, 43, 46, 47]","[0, 4, 5, 7, 9, 15, 18, 41, 47]","[0, 4, 20, 20, 46]","[0, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 18, 19, 22, 25, 27, 30, 41, 42, 43, 47]","[3, 7, 8]"
3,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 3, 4, 4, 5, 6, 7, 7, 8, 8, 9, 11, 13, 14, 15, 18, 19, 20, 20, 22, 25, 27, 30, 41, 42, 43, 46, 47]","[0, 4, 5, 7, 9, 15, 18, 41, 47]","[0, 4, 20, 20, 46]","[0, 3, 4, 5, 6, 8, 9, 11, 13, 14, 15, 18, 19, 22, 25, 27, 30, 41, 42, 43]","[7, 7, 8, 47]"
4,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 3, 4, 4, 5, 6, 7, 7, 8, 8, 9, 10, 11, 13, 14, 15, 18, 19, 20, 20, 22, 25, 27, 30, 41, 42, 43, 46, 47]","[0, 4, 5, 7, 7, 9, 15, 18, 41, 47]","[0, 4, 10, 20, 20, 46]","[0, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 18, 19, 22, 25, 27, 30, 41, 42, 43, 47]","[7, 8]"
5,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 3, 4, 4, 5, 6, 7, 7, 8, 8, 9, 10, 11, 13, 14, 15, 15, 18, 19, 20, 20, 22, 25, 27, 30, 41, 42, 43, 46, 47]","[0, 4, 5, 7, 9, 15, 15, 18, 41, 47]","[0, 4, 10, 15, 20, 20, 46]","[0, 3, 4, 5, 6, 7, 7, 8, 8, 9, 11, 13, 14, 15, 18, 19, 22, 25, 27, 30, 41, 42, 43]",[47]
6,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 3, 4, 4, 5, 6, 7, 7, 8, 8, 9, 11, 13, 14, 15, 18, 19, 20, 20, 22, 25, 27, 30, 41, 42, 43, 46, 47]","[0, 4, 5, 7, 9, 15, 18, 41, 47]","[0, 4, 19, 20, 20, 46]","[0, 3, 4, 5, 6, 9, 11, 13, 14, 15, 18, 22, 25, 27, 30, 41, 42, 43]","[7, 7, 8, 8, 47]"
7,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 3, 4, 4, 5, 6, 7, 7, 8, 8, 9, 11, 13, 14, 15, 18, 19, 20, 20, 22, 25, 27, 30, 41, 42, 43, 46, 47]","[0, 4, 5, 7, 9, 15, 18, 41, 47]","[0, 4, 20, 20, 46]","[0, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 18, 19, 22, 25, 27, 41, 43]","[7, 8, 30, 42, 47]"
8,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 3, 4, 4, 5, 6, 7, 7, 8, 8, 9, 11, 13, 14, 15, 18, 19, 20, 20, 22, 25, 27, 30, 41, 42, 43, 46, 47]","[0, 4, 5, 7, 9, 15, 18, 41, 47]","[0, 4, 20, 20, 46]","[0, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 18, 19, 22, 25, 27, 30, 41, 42, 43]","[7, 8, 47]"
9,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 3, 4, 4, 5, 6, 7, 7, 8, 8, 9, 10, 11, 13, 14, 15, 18, 19, 20, 20, 22, 25, 27, 30, 41, 42, 43, 46, 47]","[0, 4, 5, 7, 9, 15, 18, 41, 47]","[0, 4, 9, 10, 20, 20, 46]","[0, 3, 4, 5, 6, 7, 8, 11, 13, 14, 15, 18, 19, 22, 25, 27, 30, 41, 42, 43, 47]","[7, 8]"
