result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 5, 5, 5, 7, 7, 8, 8, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 12, 12, 12]","[0, 3, 4, 5, 5, 9, 9, 10, 10, 10, 10, 10, 11, 11, 12, 12]","[3, 3, 8, 9, 9, 10, 10, 11, 11]","[2, 2, 4, 4, 5, 5, 5, 7, 7, 8, 10, 12, 12]","[0, 0, 0, 1, 1, 1, 3, 3, 3, 3, 9, 9, 10, 10, 10, 10, 10, 10]"
1,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 7, 8, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12, 12, 12]","[3, 5, 9, 9, 9, 9, 10, 10, 10, 10, 10, 11, 11, 11, 12, 12, 12]","[0, 1, 1, 3, 9, 9, 10, 10, 10]","[2, 3, 4, 4, 5, 5, 5, 7, 10, 11, 12, 12]","[0, 0, 0, 1, 1, 1, 3, 3, 3, 9, 9, 9, 10, 10, 10, 10, 10, 11, 11, 11]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 5, 5, 5, 7, 8, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 12, 12]","[0, 0, 1, 3, 3, 3, 5, 9, 9, 9, 9, 10, 10, 10, 10, 11, 11, 12, 12]","[0, 1, 2, 3, 7, 8, 9, 10, 11]","[2, 2, 3, 4, 4, 5, 5, 5, 12, 12]","[0, 0, 0, 1, 1, 1, 3, 3, 3, 3, 9, 9, 10, 10, 10, 11]"
1,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 5, 5, 5, 5, 7, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12, 12]","[0, 3, 4, 5, 9, 9, 9, 10, 10, 10, 10, 11, 11, 11, 12, 12]","[0, 3, 8, 9, 10, 10, 10, 10, 11, 11]","[2, 2, 2, 3, 4, 5, 5, 5, 5, 7, 8, 12, 12]","[0, 0, 1, 1, 3, 3, 9, 9, 9, 10, 10, 10, 10, 10, 11, 11]"
2,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 5, 5, 5, 6, 7, 8, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 12, 12, 12]","[0, 2, 3, 3, 3, 5, 6, 9, 9, 10, 10, 11, 11, 12, 12]","[1, 1, 3, 9, 9, 10, 10, 10, 10, 11]","[2, 2, 2, 3, 4, 5, 5, 5, 8, 12, 12]","[0, 0, 0, 0, 0, 1, 3, 3, 3, 3, 6, 9, 9, 9, 10, 10, 11]"
3,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 7, 7, 7, 8, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 12, 12, 12]","[3, 5, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12]","[1, 3, 3, 7, 9, 9, 9, 10, 10, 11]","[2, 2, 2, 4, 4, 4, 5, 5, 5, 7, 8, 12, 12]","[0, 0, 0, 0, 1, 1, 2, 3, 3, 3, 9, 9, 9, 9, 9, 10, 10, 11, 11, 11, 11, 11]"
4,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 4, 5, 5, 5, 5, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12]","[3, 5, 9, 9, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 12]","[3, 3, 10, 10, 11]","[2, 2, 4, 5, 5, 5, 5, 7, 8, 12, 12, 12]","[0, 0, 0, 1, 1, 3, 3, 3, 9, 10, 10, 10, 10, 10, 11, 11, 11, 11]"
5,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 5, 5, 5, 7, 7, 8, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12]","[0, 1, 2, 3, 3, 4, 5, 9, 9, 10, 10, 11, 11, 12, 12]","[0, 0, 0, 2, 2, 3, 3, 9, 10]","[2, 2, 4, 5, 5, 5, 8, 10, 12, 12, 12]","[0, 0, 0, 1, 1, 1, 1, 1, 2, 3, 3, 3, 9, 9, 9, 10, 10, 10, 11, 11, 11]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 5, 5, 5, 7, 8, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12]","[0, 2, 3, 3, 4, 5, 5, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12]","[1, 3, 3, 7, 9, 9, 9, 9, 11, 11, 11, 11]","[0, 2, 2, 2, 3, 4, 4, 5, 8, 10, 10, 12, 12, 12]","[0, 0, 0, 0, 0, 1, 3, 3, 3, 3, 5, 9, 9, 9, 10, 10, 10, 10, 10, 11, 11]"
1,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 7, 7, 8, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12, 12]","[3, 3, 4, 5, 5, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12]","[0, 1, 3, 7, 9, 10, 10, 10, 10]","[2, 2, 2, 2, 2, 4, 4, 4, 5, 5, 5, 8, 12, 12, 12]","[0, 0, 0, 0, 1, 3, 3, 3, 9, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11]"
