result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,gemma3:4b-it-q4_K_M,True,"[0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 10, 0, 1, 2, 3, 4, 9, 10, 12, 3, 4, 10, 12, 5, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 12, 3, 0, 0, 1, 2, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 11, 12, 1, 2, 12, 1, 2, 12, 9, 10, 9, 10, 9, 9, 7, 8, 0, 5, 0, 5, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 12, 0, 1, 2, 3, 4, 12, 0, 2, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 7, 8, 6, 7, 8, 5, 7, 8, 3, 4, 5, 0, 4, 5, 6, 7, 8, 3, 4, 5, 6, 0, 2, 3, 4, 10, 12, 0, 0, 2, 3, 4, 10, 12, 4, 6, 0, 1, 2, 3, 4, 7, 8, 12]","[1, 2, 10, 2, 9, 10, 4, 9, 10, 12, 5, 11, 9, 10, 9, 10, 9, 9, 0, 4, 10, 12, 4, 10, 12, 0, 1, 4, 12, 0, 4, 12, 0, 3, 4, 5, 11, 12, 6, 7, 5, 3, 5, 4, 4, 5, 0, 3, 4, 10, 12, 4, 6]",[],"[0, 1, 2, 3, 4, 10, 12, 0, 1, 3, 9, 10, 10, 0, 1, 3, 4, 9, 10, 12, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 5, 0, 0, 0, 3, 4, 3, 0, 0, 1, 0, 1, 3, 10, 0, 1, 3, 9, 10, 11, 1, 12, 1, 9, 10, 9, 10, 9, 9, 0, 0, 5, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 3, 10, 12, 0, 1, 3, 0, 1, 3, 12, 0, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 7, 6, 7, 8, 5, 7, 8, 3, 4, 5, 0, 4, 5, 6, 7, 8, 3, 4, 5, 6, 0, 2, 3, 4, 10, 12, 0, 0, 2, 3, 4, 10, 12, 6, 0, 1, 2, 3, 4, 7, 8, 12]",[]
1,gemma3:4b-it-q4_K_M,True,"[0, 1, 2, 3, 4, 10, 12, 2, 0, 1, 2, 3, 4, 9, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 0, 3, 4, 10, 12, 5, 5, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 12, 3, 0, 3, 0, 2, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 11, 12, 1, 2, 12, 1, 2, 5, 12, 9, 10, 9, 10, 9, 9, 7, 8, 0, 5, 0, 5, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 12, 0, 2, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 7, 8, 7, 8, 0, 5, 7, 8, 3, 4, 5, 6, 0, 4, 5, 6, 7, 8, 3, 4, 5, 6, 0, 2, 3, 4, 10, 12, 0, 0, 1, 2, 3, 4, 10, 12, 4, 6, 11, 0, 1, 2, 3, 4, 7, 8, 12]","[2, 10, 2, 9, 10, 4, 9, 10, 12, 5, 9, 10, 9, 10, 9, 9, 5, 0, 4, 10, 12, 4, 10, 12, 0, 1, 4, 10, 12, 0, 4, 12, 0, 3, 4, 5, 11, 12, 7, 5, 3, 5, 6, 4, 5, 4, 5, 4, 10, 0, 3, 4, 10, 12, 4, 6, 11]",[],"[0, 1, 2, 3, 4, 10, 12, 0, 1, 3, 4, 9, 10, 0, 1, 2, 3, 4, 9, 10, 12, 0, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 12, 3, 0, 3, 0, 0, 1, 3, 4, 10, 0, 1, 3, 9, 10, 11, 1, 1, 12, 9, 10, 9, 10, 9, 9, 0, 5, 0, 0, 1, 2, 3, 4, 10, 0, 1, 2, 3, 4, 10, 0, 1, 3, 10, 0, 1, 3, 10, 0, 1, 3, 0, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 8, 7, 8, 0, 5, 7, 8, 3, 4, 5, 6, 0, 4, 5, 6, 7, 8, 3, 4, 5, 6, 0, 2, 3, 4, 10, 12, 0, 0, 1, 2, 3, 4, 10, 12, 6, 11, 0, 1, 2, 3, 4, 7, 8, 12]",[]
2,gemma3:4b-it-q4_K_M,True,"[0, 1, 2, 3, 4, 10, 12, 2, 0, 1, 2, 3, 4, 9, 10, 12, 10, 0, 2, 3, 4, 9, 10, 12, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 12, 3, 0, 0, 2, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 11, 12, 1, 2, 12, 1, 2, 5, 12, 9, 10, 9, 10, 9, 9, 7, 8, 0, 5, 5, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 12, 0, 2, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 7, 8, 7, 8, 0, 5, 7, 8, 3, 4, 5, 0, 4, 5, 6, 7, 8, 4, 5, 6, 7, 0, 2, 3, 4, 10, 12, 0, 0, 2, 3, 4, 10, 12, 4, 6, 0, 1, 2, 3, 4, 7, 8, 12]","[2, 4, 10, 2, 9, 10, 4, 9, 10, 12, 5, 9, 10, 9, 10, 9, 9, 5, 0, 4, 10, 12, 4, 10, 12, 0, 1, 2, 4, 10, 12, 0, 4, 12, 0, 3, 4, 5, 11, 12, 7, 5, 3, 5, 4, 5, 4, 5, 0, 3, 4, 10, 12, 4, 6]",[],"[0, 1, 2, 3, 4, 10, 12, 0, 1, 3, 4, 9, 10, 10, 0, 3, 4, 9, 10, 12, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 3, 0, 0, 0, 1, 3, 10, 0, 1, 3, 4, 9, 10, 11, 12, 1, 1, 9, 10, 9, 10, 9, 9, 0, 5, 0, 1, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 0, 1, 3, 10, 0, 1, 3, 4, 10, 12, 0, 1, 3, 12, 0, 2, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 8, 7, 8, 0, 5, 7, 8, 3, 4, 5, 0, 4, 5, 6, 7, 8, 4, 5, 6, 7, 0, 2, 3, 4, 10, 12, 0, 0, 2, 3, 4, 10, 12, 6, 0, 1, 2, 3, 4, 7, 12]",[]
3,gemma3:4b-it-q4_K_M,True,"[0, 1, 2, 3, 4, 10, 12, 0, 2, 12, 0, 1, 2, 3, 4, 9, 10, 12, 10, 0, 1, 2, 3, 4, 9, 10, 12, 0, 3, 4, 10, 5, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 12, 3, 0, 0, 2, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 1, 2, 12, 1, 2, 12, 9, 10, 9, 10, 9, 9, 7, 8, 0, 5, 0, 5, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 12, 0, 1, 2, 3, 4, 9, 12, 0, 2, 3, 4, 12, 0, 3, 4, 5, 11, 12, 7, 8, 7, 8, 0, 5, 7, 8, 3, 4, 5, 6, 0, 4, 5, 6, 7, 8, 3, 4, 5, 6, 0, 1, 2, 3, 4, 10, 12, 0, 0, 2, 3, 4, 10, 12, 4, 6, 0, 1, 2, 3, 4, 7, 8, 12]","[2, 10, 0, 2, 9, 10, 4, 9, 10, 12, 5, 9, 10, 9, 10, 9, 9, 5, 0, 4, 10, 12, 4, 10, 12, 0, 1, 4, 12, 0, 4, 12, 0, 3, 4, 5, 11, 12, 7, 5, 3, 5, 6, 4, 5, 4, 5, 0, 3, 4, 10, 12, 4, 6]",[],"[0, 1, 3, 4, 10, 12, 0, 2, 12, 0, 1, 3, 4, 9, 10, 10, 0, 1, 2, 3, 4, 9, 10, 12, 0, 3, 4, 10, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 12, 3, 0, 0, 0, 1, 3, 10, 0, 1, 3, 4, 9, 10, 12, 1, 1, 12, 9, 10, 9, 10, 9, 9, 0, 0, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 3, 4, 10, 0, 1, 3, 4, 0, 1, 3, 4, 9, 0, 3, 4, 12, 0, 3, 4, 5, 11, 12, 7, 8, 0, 5, 7, 8, 3, 4, 5, 6, 0, 4, 5, 6, 7, 8, 3, 4, 5, 6, 0, 1, 2, 3, 4, 10, 12, 0, 0, 2, 3, 4, 10, 12, 4, 6, 0, 1, 3, 4, 7, 12]",[]
4,gemma3:4b-it-q4_K_M,True,"[0, 1, 2, 3, 4, 9, 10, 12, 2, 0, 1, 2, 3, 4, 9, 10, 12, 10, 10, 0, 1, 3, 4, 9, 10, 12, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 12, 3, 0, 0, 1, 2, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 11, 12, 1, 2, 12, 1, 2, 5, 12, 9, 10, 9, 10, 9, 9, 7, 8, 0, 5, 0, 5, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 2, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 7, 8, 7, 8, 0, 5, 7, 8, 3, 4, 5, 0, 4, 5, 6, 7, 8, 3, 4, 5, 0, 2, 3, 4, 10, 12, 0, 0, 2, 3, 4, 10, 12, 4, 6, 11, 0, 1, 2, 3, 4, 7, 8, 12]","[2, 9, 10, 1, 2, 9, 10, 4, 9, 10, 12, 5, 9, 10, 9, 10, 9, 9, 5, 0, 4, 10, 12, 4, 10, 12, 0, 1, 4, 10, 12, 0, 4, 10, 12, 0, 3, 4, 5, 11, 12, 7, 5, 3, 4, 5, 4, 5, 4, 5, 0, 3, 4, 10, 12, 4, 6, 11]",[],"[0, 1, 2, 3, 4, 9, 10, 12, 2, 0, 1, 2, 3, 9, 10, 10, 10, 0, 1, 3, 4, 9, 10, 12, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 3, 4, 12, 3, 0, 0, 1, 0, 1, 3, 10, 0, 1, 3, 9, 10, 11, 1, 1, 9, 10, 9, 10, 9, 9, 0, 5, 0, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 3, 10, 12, 0, 1, 3, 10, 12, 0, 1, 3, 10, 12, 0, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 7, 8, 0, 5, 7, 8, 3, 4, 5, 0, 4, 5, 6, 7, 8, 3, 4, 5, 0, 2, 3, 4, 10, 12, 0, 0, 2, 3, 4, 10, 12, 6, 11, 0, 1, 2, 3, 4, 7, 8]",[]
5,gemma3:4b-it-q4_K_M,True,"[0, 1, 2, 3, 4, 10, 12, 2, 0, 1, 2, 3, 4, 9, 10, 12, 10, 0, 1, 2, 3, 4, 9, 10, 12, 3, 4, 10, 12, 5, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 12, 3, 0, 0, 1, 2, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 1, 2, 12, 1, 2, 12, 9, 10, 9, 10, 9, 9, 7, 8, 0, 5, 0, 5, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 12, 0, 1, 2, 3, 4, 12, 0, 2, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 7, 8, 7, 8, 5, 7, 8, 3, 4, 5, 0, 4, 5, 6, 7, 8, 3, 4, 5, 6, 0, 2, 3, 4, 10, 12, 0, 0, 2, 3, 4, 10, 12, 6, 0, 1, 2, 3, 4, 7, 8, 12]","[2, 10, 2, 9, 10, 4, 9, 10, 12, 5, 9, 10, 9, 10, 9, 9, 5, 0, 4, 10, 12, 4, 10, 12, 0, 1, 4, 12, 0, 4, 12, 0, 3, 4, 5, 11, 12, 7, 5, 3, 5, 4, 4, 5, 0, 3, 4, 10, 12, 6]",[],"[0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 10, 0, 1, 3, 4, 9, 10, 12, 3, 4, 10, 12, 5, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 3, 4, 12, 3, 0, 0, 1, 12, 0, 1, 3, 10, 12, 0, 1, 3, 9, 10, 12, 1, 1, 9, 10, 9, 10, 9, 9, 0, 5, 0, 0, 1, 2, 3, 4, 10, 12, 0, 1, 3, 10, 12, 0, 1, 3, 10, 0, 1, 3, 0, 1, 3, 4, 0, 2, 3, 10, 12, 0, 3, 4, 5, 11, 12, 8, 7, 8, 5, 7, 8, 3, 4, 5, 0, 4, 5, 6, 7, 8, 3, 4, 5, 6, 0, 2, 3, 4, 10, 12, 0, 0, 2, 3, 4, 10, 12, 6, 0, 1, 3, 4, 8, 12]",[]
6,gemma3:4b-it-q4_K_M,True,"[0, 1, 2, 3, 4, 10, 12, 0, 2, 12, 0, 1, 2, 3, 4, 9, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 0, 3, 4, 10, 12, 5, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 12, 3, 0, 0, 2, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 11, 12, 1, 2, 5, 12, 1, 2, 12, 9, 10, 9, 10, 9, 9, 7, 8, 0, 5, 0, 5, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 12, 0, 1, 2, 3, 4, 12, 0, 1, 2, 3, 4, 10, 12, 0, 2, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 7, 8, 7, 8, 0, 5, 7, 8, 3, 4, 5, 6, 0, 4, 5, 6, 7, 8, 3, 4, 5, 6, 0, 2, 3, 4, 10, 12, 0, 0, 2, 3, 4, 10, 12, 4, 6, 0, 1, 2, 3, 4, 7, 8, 12]","[2, 10, 0, 2, 9, 10, 4, 9, 10, 12, 5, 5, 9, 10, 9, 10, 9, 9, 5, 0, 4, 10, 12, 4, 10, 12, 0, 1, 4, 12, 0, 4, 10, 12, 0, 3, 4, 5, 11, 12, 7, 5, 3, 5, 6, 4, 5, 4, 5, 0, 3, 4, 10, 12, 4, 6]",[],"[0, 1, 2, 3, 4, 10, 12, 0, 2, 12, 0, 1, 3, 4, 9, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 0, 3, 4, 10, 12, 5, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 12, 3, 0, 0, 0, 1, 3, 10, 0, 1, 3, 9, 10, 11, 1, 12, 1, 9, 10, 9, 10, 9, 9, 0, 0, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 3, 0, 1, 3, 4, 12, 0, 1, 3, 10, 0, 2, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 8, 7, 8, 0, 5, 7, 8, 3, 4, 5, 6, 0, 4, 5, 6, 7, 8, 3, 4, 5, 6, 0, 2, 3, 4, 10, 12, 0, 0, 2, 3, 4, 10, 12, 4, 6, 0, 1, 2, 3, 4, 7, 12]",[]
7,gemma3:4b-it-q4_K_M,True,"[0, 1, 2, 3, 4, 10, 12, 2, 0, 1, 2, 3, 4, 9, 10, 12, 10, 0, 1, 2, 3, 4, 9, 10, 12, 3, 4, 10, 12, 5, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 12, 3, 0, 3, 0, 2, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 11, 12, 1, 2, 12, 1, 2, 12, 9, 10, 9, 10, 9, 9, 7, 8, 0, 5, 0, 5, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 12, 0, 2, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 7, 8, 7, 8, 0, 5, 7, 8, 3, 4, 5, 6, 0, 4, 5, 6, 7, 8, 4, 5, 0, 2, 3, 4, 10, 12, 0, 0, 1, 2, 3, 4, 10, 12, 4, 6, 0, 1, 2, 3, 4, 7, 8, 12]","[1, 2, 10, 2, 9, 10, 4, 9, 10, 12, 5, 9, 10, 9, 10, 9, 9, 5, 0, 4, 10, 12, 4, 10, 12, 0, 1, 4, 10, 12, 0, 4, 12, 0, 3, 4, 5, 11, 12, 7, 5, 3, 5, 6, 4, 4, 5, 0, 3, 4, 10, 12, 4, 6]",[],"[0, 1, 2, 3, 4, 10, 12, 2, 0, 1, 2, 3, 4, 9, 10, 10, 0, 1, 3, 4, 9, 10, 12, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 12, 3, 0, 3, 0, 0, 3, 10, 0, 1, 3, 9, 10, 11, 1, 12, 1, 9, 10, 9, 10, 9, 9, 7, 0, 5, 0, 0, 1, 3, 10, 12, 0, 1, 2, 3, 10, 12, 0, 1, 3, 10, 0, 1, 3, 4, 10, 0, 1, 3, 0, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 7, 7, 8, 0, 5, 7, 8, 3, 4, 5, 6, 0, 4, 5, 6, 7, 8, 4, 5, 0, 2, 3, 4, 10, 12, 0, 0, 1, 2, 3, 4, 10, 12, 4, 6, 0, 1, 2, 3, 4, 12]",[]
8,gemma3:4b-it-q4_K_M,True,"[0, 1, 2, 3, 4, 10, 12, 2, 12, 0, 1, 2, 3, 4, 9, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 12, 3, 0, 3, 0, 2, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 11, 12, 1, 2, 5, 12, 1, 2, 12, 9, 10, 9, 10, 9, 9, 7, 8, 0, 5, 0, 5, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 12, 0, 1, 2, 3, 4, 12, 0, 2, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 7, 8, 7, 8, 0, 5, 7, 8, 3, 4, 5, 6, 0, 4, 5, 6, 7, 8, 3, 4, 5, 6, 8, 0, 2, 3, 4, 10, 12, 0, 0, 1, 2, 3, 4, 10, 12, 4, 6, 0, 1, 2, 3, 4, 7, 8, 12]","[1, 2, 10, 2, 9, 10, 4, 9, 10, 12, 5, 11, 9, 10, 9, 10, 9, 9, 0, 4, 10, 12, 4, 10, 12, 0, 1, 2, 4, 12, 0, 4, 12, 0, 3, 4, 5, 11, 12, 7, 5, 3, 5, 6, 4, 5, 4, 5, 8, 0, 3, 4, 10, 12, 4, 6]",[],"[0, 1, 2, 3, 4, 10, 12, 2, 12, 0, 1, 3, 9, 10, 12, 0, 1, 3, 4, 9, 10, 12, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 12, 3, 0, 3, 0, 12, 0, 1, 3, 10, 0, 1, 3, 9, 10, 11, 12, 1, 12, 1, 9, 10, 9, 10, 9, 9, 0, 0, 0, 1, 2, 3, 4, 10, 12, 0, 1, 3, 4, 10, 12, 0, 1, 3, 4, 10, 0, 1, 3, 0, 1, 3, 0, 2, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 8, 7, 8, 0, 5, 7, 3, 4, 5, 6, 0, 4, 5, 6, 7, 8, 3, 4, 5, 6, 8, 0, 2, 3, 4, 10, 12, 0, 0, 1, 2, 3, 4, 10, 12, 4, 6, 0, 1, 2, 3, 4, 7, 12]",[]
9,gemma3:4b-it-q4_K_M,True,"[0, 1, 2, 3, 4, 10, 12, 2, 12, 0, 1, 2, 3, 4, 9, 10, 12, 10, 0, 1, 2, 3, 4, 9, 10, 12, 0, 3, 4, 10, 12, 5, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 12, 3, 0, 3, 0, 1, 2, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 1, 2, 12, 1, 2, 12, 9, 10, 9, 10, 9, 9, 7, 8, 0, 5, 0, 5, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 10, 12, 0, 1, 2, 3, 4, 12, 0, 1, 2, 3, 4, 12, 0, 2, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 7, 8, 7, 8, 0, 5, 7, 8, 3, 4, 5, 6, 0, 4, 5, 6, 7, 8, 3, 4, 5, 6, 0, 2, 3, 4, 10, 12, 0, 0, 2, 3, 4, 10, 12, 4, 6, 0, 1, 2, 3, 4, 7, 8, 12]","[2, 10, 2, 9, 10, 4, 9, 10, 12, 5, 9, 10, 9, 10, 9, 9, 5, 0, 4, 10, 12, 4, 10, 12, 0, 1, 4, 12, 0, 4, 12, 0, 3, 4, 5, 11, 12, 7, 5, 3, 5, 6, 4, 5, 4, 5, 0, 3, 4, 10, 12, 4, 6]",[],"[0, 1, 2, 3, 10, 12, 2, 12, 0, 1, 3, 9, 10, 12, 10, 0, 1, 3, 4, 9, 10, 12, 0, 3, 4, 10, 12, 0, 1, 2, 3, 4, 9, 10, 12, 5, 0, 0, 0, 2, 3, 4, 12, 3, 0, 3, 0, 1, 0, 1, 3, 4, 10, 0, 1, 3, 4, 9, 10, 1, 1, 9, 10, 9, 10, 9, 9, 7, 0, 0, 5, 0, 1, 2, 3, 4, 10, 12, 0, 1, 3, 4, 10, 12, 0, 1, 3, 10, 0, 1, 3, 0, 1, 3, 12, 0, 2, 3, 4, 10, 12, 0, 3, 4, 5, 11, 12, 7, 7, 8, 0, 5, 7, 8, 3, 4, 5, 6, 0, 4, 5, 6, 7, 8, 3, 4, 5, 6, 0, 2, 3, 4, 10, 12, 0, 0, 2, 3, 4, 10, 12, 6, 0, 1, 2, 3, 4, 7, 8, 12]",[]
