result_id,model,seed,category,asset
0,gemma3:12b-it-q4_K_M,169,"[3, 3, 1, 2]",[3]
0,gemma3:12b-it-q4_K_M,169,"[3, 3, 1, 2]",[3]
1,gemma3:12b-it-q4_K_M,429,"[2, 1, 3, 3]",[3]
1,gemma3:12b-it-q4_K_M,429,"[2, 1, 3, 3]",[3]
2,gemma3:12b-it-q4_K_M,707,"[3, 1, 3, 2]",[3]
2,gemma3:12b-it-q4_K_M,707,"[3, 1, 3, 2]",[3]
3,gemma3:12b-it-q4_K_M,429,"[2, 1, 3, 3]",[3]
3,gemma3:12b-it-q4_K_M,429,"[2, 1, 3, 3]",[3]
4,gemma3:12b-it-q4_K_M,651,"[3, 3, 2, 1]",[3]
4,gemma3:12b-it-q4_K_M,651,"[3, 3, 2, 1]",[3]
