result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,qwen2.5:7b-instruct-q4_K_M,True,"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 10, 12, 12, 4, 11, 5, 3, 6]",[],[],"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 7, 8, 5, 5, 3, 3, 6, 0]"
1,qwen2.5:7b-instruct-q4_K_M,True,"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 10, 12, 12, 0, 4, 11, 5, 3, 6]",[],[],"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]"
2,qwen2.5:7b-instruct-q4_K_M,True,"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 10, 12, 12, 0, 4, 11, 5, 3, 6]",[],[],"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]"
3,qwen2.5:7b-instruct-q4_K_M,True,"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 5, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 10, 12, 12, 0, 4, 11, 5, 3, 6]",[],[],"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 5, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 6, 0]"
4,qwen2.5:7b-instruct-q4_K_M,True,"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 10, 12, 12, 0, 4, 11, 5, 3, 6]",[],[],"[3, 3, 10, 3, 10, 3, 3, 10, 0, 1, 2, 12, 9, 9, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]"
5,qwen2.5:7b-instruct-q4_K_M,True,"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 5, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 10, 12, 12, 0, 4, 11, 5, 3, 6]",[],[],"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 5, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]"
6,qwen2.5:7b-instruct-q4_K_M,True,"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 10, 12, 12, 4, 11, 5, 3, 6]",[],[],"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]"
7,qwen2.5:7b-instruct-q4_K_M,True,"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 10, 12, 12, 0, 4, 11, 5, 3, 6]",[],[],"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]"
8,qwen2.5:7b-instruct-q4_K_M,True,"[3, 3, 10, 3, 10, 3, 10, 3, 10, 1, 2, 12, 9, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 10, 12, 12, 0, 4, 11, 5, 3, 6]",[],[],"[3, 3, 10, 3, 10, 3, 10, 3, 10, 1, 2, 12, 9, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 6, 0]"
9,qwen2.5:7b-instruct-q4_K_M,True,"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 10, 12, 12, 4, 11, 5, 3, 6]",[],[],"[3, 3, 10, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 9, 9, 1, 2, 12, 1, 2, 12, 0, 0, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]"
