result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,qwen2.5:7b-instruct-q4_K_M,False,"[0, 1, 2, 3, 4, 5, 6, 7, 7, 8, 8, 10, 11, 12]",[],"[2, 4, 6, 12]",[],"[0, 1, 3, 5, 7, 7, 8, 8, 10, 11]"
1,qwen2.5:7b-instruct-q4_K_M,False,"[0, 1, 2, 3, 4, 5, 7, 7, 8, 8, 10, 11, 12]",[],"[2, 3, 4, 12]",[],"[0, 1, 5, 7, 7, 8, 8, 10, 11]"
2,qwen2.5:7b-instruct-q4_K_M,False,"[0, 1, 2, 3, 4, 5, 7, 7, 8, 8, 10, 11, 12]",[],"[4, 12]",[],"[0, 1, 2, 3, 5, 7, 7, 8, 8, 10, 11]"
3,qwen2.5:7b-instruct-q4_K_M,False,"[0, 1, 2, 3, 4, 5, 6, 7, 7, 8, 8, 10, 11, 12]",[],"[4, 6, 12]",[],"[0, 1, 2, 3, 5, 7, 7, 8, 8, 10, 11]"
4,qwen2.5:7b-instruct-q4_K_M,False,"[0, 1, 2, 3, 4, 5, 7, 7, 8, 8, 10, 11, 12]",[],"[4, 12]",[],"[0, 1, 2, 3, 5, 7, 7, 8, 8, 10, 11]"
5,qwen2.5:7b-instruct-q4_K_M,False,"[0, 1, 2, 3, 4, 5, 6, 7, 7, 8, 8, 10, 11, 12]",[],"[2, 4, 6, 12]",[],"[0, 1, 3, 5, 7, 7, 8, 8, 10, 11]"
6,qwen2.5:7b-instruct-q4_K_M,False,"[0, 1, 2, 3, 4, 5, 6, 7, 7, 8, 8, 10, 11, 12]",[],"[0, 1, 4, 6, 12]",[],"[2, 3, 5, 7, 7, 8, 8, 10, 11]"
7,qwen2.5:7b-instruct-q4_K_M,False,"[0, 1, 2, 3, 4, 5, 7, 7, 8, 8, 10, 11, 12]",[],"[4, 10, 12]",[],"[0, 1, 2, 3, 5, 7, 7, 8, 8, 11]"
8,qwen2.5:7b-instruct-q4_K_M,False,"[0, 1, 2, 3, 4, 5, 7, 7, 8, 8, 10, 11, 12]",[],"[4, 12]",[],"[0, 1, 2, 3, 5, 7, 7, 8, 8, 10, 11]"
9,qwen2.5:7b-instruct-q4_K_M,False,"[0, 1, 2, 3, 4, 5, 6, 7, 7, 8, 8, 10, 11, 12]",[],"[4, 6, 12]",[],"[0, 1, 2, 3, 5, 7, 7, 8, 8, 10, 11]"
