"ID",Reference,Component,Use Case,Name,Description,State,Inherent Risk,Current Risk,Projected Risk,Planned mitigation,Current Mitigation,Reason
780e69ee-ed15-4780-b1d2-71fa4703d9ed,T-VIDEO-CAMERA-T-VID-04,USB Video Camera,Elevation of Privilege,Attackers attempt to brute force weak camera passwords,"<p><strong>General threat description</strong><br>Attackers use automated tools to systematically guess weak passwords on video cameras, aiming to gain unauthorized access. Successful brute-force attacks can allow attackers to control the camera, access live feeds, or retrieve recorded footage.</p><p><strong>Threat agents/Attack vectors</strong></p><ul><li><strong>Automated brute-force tools</strong>: Software that rapidly attempts numerous password combinations.</li><li><strong>Internet-exposed cameras</strong>: Cameras accessible via the internet without adequate protection.</li><li><strong>Default or weak passwords</strong>: Use of easily guessable or unchanged default credentials.</li></ul><p><strong>Impacts</strong></p><ul><li><strong>Unauthorized access</strong>: Attackers can view or control the camera, invading privacy.</li><li><strong>Data theft</strong>: Access to recorded footage can lead to sensitive information being exposed.</li><li><strong>Manipulation of camera settings</strong>: Altering configurations can disrupt surveillance operations.</li><li><strong>Reputational damage</strong>: Organizations may lose trust if security breaches occur.</li></ul><p><strong>Example Attack Scenarios</strong></p><ol><li><strong>Home security breach</strong>: An attacker brute-forces a home video camera’s weak password, gaining access to live video feeds and recorded footage.</li><li><strong>Corporate espionage</strong>: An insider uses automated tools to crack a company’s surveillance camera passwords, accessing sensitive areas and activities.</li><li><strong>Public space intrusion</strong>: Attackers exploit default passwords on publicly accessible cameras in parks or malls, monitoring and recording individuals without consent.</li></ol>",Expose,74,74,74,0,0,
b78bd4a4-8619-4161-befd-4b1408aec8c9,T-BROWSER-T-BROWSER-02,Browser,Spoofing,Attackers conduct phishing attacks through deceptive websites,"<p><strong>General Threat Description:</strong><br>Adversaries create deceptive websites that mimic legitimate ones to trick users into revealing sensitive information.</p><p><strong>Threat Agents/Attack Vectors:</strong></p><ul><li>Cybercriminals using social engineering techniques</li><li>Fake websites or compromised legitimate sites hosting phishing pages</li></ul><p><strong>Impacts:</strong></p><ul><li>Credential theft and identity compromise</li><li>Unauthorized access to sensitive accounts or systems</li><li>Financial loss and reputational damage</li></ul><p><strong>Example Attack Scenarios:</strong></p><ul><li>A user receives an email with a link to a fake banking website that looks identical to the real one, prompting them to enter their login details.</li><li>An attacker registers a domain similar to a popular e-commerce site and lures users into entering credit card information during checkout.</li></ul>",Expose,83,83,83,0,0,
3261e808-7d76-4667-a1bb-97fa6abdf5c2,T-BROWSER-T-BROWSER-05,Browser,Tampering,Attackers distribute malware through compromised browser extensions,"<p><strong>General Threat Description:</strong><br>Adversaries exploit or compromise browser extensions to distribute malware, leveraging the trust users place in these add-ons to execute malicious code within the browser environment.</p><p><strong>Threat Agents/Attack Vectors:</strong></p><ul><li>Cybercriminals submitting malicious extensions to official stores or hijacking updates of legitimate ones.</li><li>Social engineering tactics encouraging users to install unverified or counterfeit extensions.</li></ul><p><strong>Impacts:</strong></p><ul><li>Unauthorized access to browser data and credentials</li><li>Installation of malware that may compromise the system</li><li>Potential lateral movement within a network through compromised systems</li></ul><p><strong>Example Attack Scenarios:</strong></p><ul><li>An attacker uploads a seemingly useful extension to a browser store, which, once installed, quietly collects sensitive data.</li><li>A legitimate extension is compromised during an update, injecting malware that hijacks user sessions and exfiltrates data.</li></ul>",Expose,77,77,77,0,0,
6dc0c7ad-9763-4959-b381-8e131e0ea369,T-BROWSER-T-BROWSER-04,Browser,Elevation of Privilege,Attackers exploit browser vulnerabilities to execute malicious code,"<p><strong>General Threat Description:</strong><br>Adversaries leverage flaws in the browser's code to run unauthorized code, bypassing security measures and potentially compromising the entire system.</p><p><strong>Threat Agents/Attack Vectors:</strong></p><ul><li>Cybercriminals targeting known or zero-day browser vulnerabilities</li><li>Malicious websites and compromised ads delivering exploit code</li><li>Exploited browser extensions or plugins</li></ul><p><strong>Impacts:</strong></p><ul><li>Unauthorized system access and control</li><li>Data theft or manipulation</li><li>Escalation of privileges on the host system</li></ul><p><strong>Example Attack Scenarios:</strong></p><ul><li>An attacker uses a zero-day exploit on a popular browser via a compromised website, leading to malware installation.</li><li>A malicious browser extension exploits a known vulnerability to gain remote access and steal sensitive data.</li></ul>",Expose,81,81,81,0,0,
46b80996-db21-491a-8011-67e3ca23d39c,T-VIDEO-CAMERA-T-VID-03,USB Video Camera,Tampering,Attackers exploit vulnerabilities in camera firmware or software,"<p><strong>General threat description</strong><br>Attackers exploit vulnerabilities in camera firmware or software to gain unauthorized access, control the device, or disrupt its functionality. By targeting flaws in the camera’s code, they can bypass security measures, install malicious software, or manipulate the device for malicious purposes.</p><p><strong>Threat agents/Attack vectors</strong></p><ul><li><strong>Exploiting software flaws</strong>: Taking advantage of known or unknown vulnerabilities in camera firmware.</li><li><strong>Malware injection</strong>: Introducing malicious code through insecure update processes or interfaces.</li><li><strong>Remote code execution</strong>: Running arbitrary code on the camera via exploited vulnerabilities.</li></ul><p><strong>Impacts</strong></p><ul><li><strong>Unauthorized control</strong>: Manipulating camera settings or disabling security features.</li><li><strong>Data theft</strong>: Accessing and stealing recorded footage or sensitive information.</li><li><strong>Network infiltration</strong>: Using the compromised camera to access other devices on the network.</li></ul><p><strong>Example Attack Scenarios</strong></p><ol><li><strong>Home camera takeover</strong>: An attacker exploits a firmware flaw to control a home security camera, accessing live feeds.</li><li><strong>Business surveillance breach</strong>: Vulnerabilities in office cameras are exploited to steal sensitive recorded footage.</li><li><strong>Public camera manipulation</strong>: Attackers compromise traffic cameras to disrupt monitoring operations.</li></ol>",Expose,48,48,48,0,0,
dfb01d98-6902-46a1-babe-7f1cf6995de3,T-AZURE-APPLICATION-INSIGHTS-T-AZURE-02,IoTEdgeMetricsCollector,Elevation of Privilege,Attackers gain access to the system by exploiting weak security configurations,"<strong>General threat description</strong><br>Insecure configurations within Azure Application Insights may be exploited by malicious actors to obtain unauthorized access.<br><strong>Threat agents/Attack vectors</strong><br>Malicious actors may target insufficiently secured Azure Application Insights setups through vulnerabilities in security settings.<br><strong>Impacts</strong><br>Potential impacts include unauthorized data access, data leakage, and compromise of application insights, leading to a breach of sensitive information.<br><strong>Example Attack Scenarios</strong><br>Attackers exploit misconfigured access controls in Azure Application Insights to intercept and exfiltrate telemetry data, which could contain sensitive customer information. Another scenario would involve attackers using weak security settings to inject malicious code into application monitoring data streams, potentially leading to broader system compromises.",Expose,60,60,60,0,0,
06b34dfe-b45d-4d2c-970e-1d2826c4e473,T-AZURE-APPLICATION-INSIGHTS-T-AZURE-02,Azure Application Insights,Elevation of Privilege,Attackers gain access to the system by exploiting weak security configurations,"<strong>General threat description</strong><br>Insecure configurations within Azure Application Insights may be exploited by malicious actors to obtain unauthorized access.<br><strong>Threat agents/Attack vectors</strong><br>Malicious actors may target insufficiently secured Azure Application Insights setups through vulnerabilities in security settings.<br><strong>Impacts</strong><br>Potential impacts include unauthorized data access, data leakage, and compromise of application insights, leading to a breach of sensitive information.<br><strong>Example Attack Scenarios</strong><br>Attackers exploit misconfigured access controls in Azure Application Insights to intercept and exfiltrate telemetry data, which could contain sensitive customer information. Another scenario would involve attackers using weak security settings to inject malicious code into application monitoring data streams, potentially leading to broader system compromises.",Expose,60,60,60,0,0,
06b17e55-3d52-4826-8b28-c6c0db439b7e,T-VIDEO-CAMERA-T-VID-02,USB Video Camera,Elevation of Privilege,Attackers gain unauthorized access to camera controls or administrative interface,"<p><strong>General threat description</strong><br>Attackers gain unauthorized access to camera controls or the administrative interface, allowing them to manipulate settings, view live or recorded footage, and potentially exploit the camera to access the broader network.</p><p><strong>Threat agents/Attack vectors</strong></p><ul><li><strong>Default credentials</strong>: Exploiting unchanged usernames and passwords.</li><li><strong>Software vulnerabilities</strong>: Leveraging flaws in camera firmware or software.</li><li><strong>Network-based attacks</strong>: Accessing cameras through exposed ports or unsecured networks.</li></ul><p><strong>Impacts</strong></p><ul><li><strong>Privacy invasion</strong>: Unauthorized viewing or recording of individuals.</li><li><strong>Data theft</strong>: Exposure of sensitive recorded footage.</li><li><strong>System manipulation</strong>: Altering camera settings or disabling security functions.</li></ul><p><strong>Example Attack Scenarios</strong></p><ol><li><strong>Home camera breach</strong>: An attacker uses default credentials to access and disable a home security camera.</li><li><strong>Office surveillance compromise</strong>: Exploiting a firmware flaw to monitor sensitive areas within a company.</li><li><strong>Public space intrusion</strong>: Manipulating cameras in a mall to cover unauthorized activities.</li></ol>",Expose,72,72,72,0,0,
127fd11c-4122-4498-a0c5-5b8400032ca2,T-BROWSER-T-BROWSER-01,Browser,Information Disclosure,Attackers inject malicious scripts via cross-site scripting (XSS),"<p><strong>General Threat Description:</strong><br>Adversaries exploit vulnerabilities in web applications and browsers to inject malicious scripts, which then execute in users’ browsers.</p><p><strong>Threat Agents/Attack Vectors:</strong></p><ul><li>Cybercriminals exploiting unvalidated input fields</li><li>Compromised or malicious websites hosting injected scripts</li></ul><p><strong>Impacts:</strong></p><ul><li>Theft of session data and credentials</li><li>Unauthorized access to sensitive user information</li><li>Redirection to phishing or malicious sites</li></ul><p><strong>Example Attack Scenarios:</strong></p><ul><li>An attacker injects a script into a forum post that steals users' cookies when viewed.</li><li>A vulnerable web form accepts unfiltered input, allowing an attacker to embed a script that executes upon page load.</li></ul>",Expose,71,71,71,0,0,
ea67c351-90ce-4610-a9a8-b0144c9f1f1b,T-BROWSER-T-BROWSER-03,Browser,Spoofing,Attackers intercept browser communications through man-in-the-middle (MitM) attacks,"<p><strong>General Threat Description:</strong><br>Adversaries intercept and potentially alter communication between browsers and websites by exploiting insecure or misconfigured network protocols.</p><p><strong>Threat Agents/Attack Vectors:</strong></p><ul><li>Cybercriminals targeting unsecured Wi-Fi networks or misconfigured network devices</li><li>Attackers exploiting weak TLS/SSL configurations</li><li>Use of rogue access points or compromised routers</li></ul><p><strong>Impacts:</strong></p><ul><li>Interception of sensitive data such as credentials and personal information</li><li>Data manipulation or session hijacking</li><li>Unauthorized access to private communications</li></ul><p><strong>Example Attack Scenarios:</strong></p><ul><li>An attacker sets up a rogue Wi-Fi hotspot to capture unencrypted browser traffic from unsuspecting users.</li><li>Exploiting a vulnerability in TLS certificate validation, an attacker intercepts and modifies data transmitted between a user and a secure website.</li></ul>",Expose,81,81,81,0,0,
