result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 9]","[0, 0]",[9],"[0, 0, 1, 1, 2, 3, 3, 4, 5, 6]",[]
1,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 1, 2, 2, 3, 3, 4, 5, 6, 9]","[0, 0]",[],"[0, 0, 0, 1, 2, 2, 3, 3, 4, 5, 6, 9]",[]
2,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 9]","[0, 0]",[],"[0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 9]",[]
3,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 9]","[0, 0]",[],"[0, 0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 9]",[]
4,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 9]","[0, 0]",[5],"[0, 0, 0, 1, 1, 2, 3, 3, 4, 6, 9]",[]
5,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 9]","[0, 0]",[],"[0, 0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 9]",[]
6,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 9]","[0, 0]",[],"[0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 9]",[]
7,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 9]","[0, 0]",[],"[0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 9]",[]
8,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 9]","[0, 0]",[],"[0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 9]",[]
9,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 9]","[0, 0]",[5],"[0, 0, 0, 1, 1, 2, 3, 3, 4, 6, 9]",[]
