"ID",Reference,Component,Use Case,Name,Description,State,Inherent Risk,Current Risk,Projected Risk,Planned mitigation,Current Mitigation,Reason
47bfe0ae-31b8-457b-b856-739206f20429,T-SECRETS-MANAGER-01,Web App Config,Information Disclosure,An attacker exploits weak access controls to retrieve sensitive secrets,"<p><strong>General threat description:</strong> Attackers may exploit improperly configured or weak access controls to retrieve sensitive secrets stored in Secrets Manager. This can result in the exposure of API keys, database credentials, and other confidential information, leading to unauthorized access to services or systems.</p>
<p><strong>Threat agents/Attack vectors:</strong> Attackers may leverage stolen credentials, poorly configured permissions, or unpatched vulnerabilities in the access control system to gain unauthorized access to Secrets Manager.</p>
<p><strong>Impacts:</strong> Unauthorized access to secrets can result in the compromise of critical systems, data breaches, and the disruption of services.</p>
<p><strong>Example Attack Scenarios:</strong> A developer mistakenly assigns overly permissive IAM roles, allowing unauthorized users to access secrets stored in Secrets Manager.</p>
",Expose,88,88,88,0,0,
6ae80cb5-403e-403d-b96f-1928dc4b2579,T-ATTACKER-EXPLOIT-MISCONFIGURATION-AND-VULNERABLE-THIRD-PARTY,Database,Tampering,Attacker exploit misconfiguration and/or vulnerable third-party plugins,"<p><strong>General Threat Description</strong></p> <p>Vulnerabilities from misconfigurations and third-party plugins in database management systems can severely compromise database security. These vulnerabilities arise from improper system settings and the use of outdated or insecure components, exposing databases to unauthorized access and malicious attacks.</p>
<p><strong>Threat Agents/Attack Vectors</strong></p> <p>Threat agents include external attackers, malicious insiders, or even automated scripts that scan for known vulnerabilities. Common attack vectors involve exploiting weak database configurations, using default settings, or targeting outdated libraries and plugins that integrate with the database system.</p>
<p><strong>Impacts</strong></p> <p>The impacts of such vulnerabilities can be devastating, ranging from data breaches and loss of sensitive information to complete database takeover. These security lapses can also lead to a loss of service availability and erosion of trust among clients and stakeholders.</p>
<p><strong>Example Attack Scenarios</strong></p> <p>Scenario 1: An attacker discovers a database is using default login credentials due to a configuration oversight. They gain unauthorized access and steal sensitive customer data.</p> <p>Scenario 2: A database incorporates an outdated third-party logging tool which contains a known vulnerability. An attacker exploits this vulnerability to inject malicious code, resulting in data corruption and system disruption.</p>",Expose,71,71,71,0,0,
5103e5bb-9f19-4878-ba8a-a86f1220f5dd,T-WEB-APPLICATION-SERVER-SIDE-T-APP-SERVICE-11,Web Application,Information Disclosure,Attackers can abuse server-side requests,"<p><strong>General Threat Description:</strong><br>Server-side request forgery (SSRF) occurs when an attacker is able to manipulate a server to make unintended requests to internal or external services, potentially accessing sensitive data, or causing the server to perform malicious actions.</p><p><strong>Threat Agents/Attack Vectors:</strong></p><ul><li><strong>External Attackers</strong> submitting crafted requests that the server forwards to other internal services, allowing access to protected resources.</li><li><strong>Misconfigured Input Validation</strong> that allows an attacker to control the server’s outbound requests, exploiting it to interact with internal systems.</li><li><strong>Exploiting SSRF in web services</strong> that process requests and interact with databases, internal APIs, or other resources.</li></ul><p><strong>Impacts:</strong></p><ul><li>Unauthorized access to internal resources or sensitive data.</li><li>Remote code execution or data exfiltration via internal services.</li><li>Service disruption, denial-of-service (DoS) attacks, or system misconfiguration.</li></ul><p><strong>Example Attack Scenarios:</strong></p><ol><li>An attacker crafts a request that causes the server to query internal resources, exposing sensitive database information.</li><li>A malicious actor abuses an SSRF vulnerability to interact with a backend service that should only be accessible internally, potentially leading to a data breach.</li><li>An attacker uses SSRF to trigger unnecessary requests, causing internal services to overload or crash, leading to a denial of service.</li></ol>",Expose,29,29,29,0,0,
ea08e1e1-f6ce-4d9f-9f6b-811d7c160d7a,T-WEB-APPLICATION-SERVER-SIDE-T-APP-SERVICE-03,Web Application,Elevation of Privilege,Attackers can bypass permissions,"<p><strong>General Threat Description:</strong><br>Improperly implemented or enforced server-side permissions allow attackers to bypass access controls and gain unauthorized access to restricted resources.</p><p><strong>Threat Agents/Attack Vectors:</strong></p><ul><li><strong>External Attackers</strong> exploiting vulnerabilities in the application’s logic.</li><li><strong>Malicious Insiders</strong> using knowledge to bypass permission checks.</li><li><strong>Misconfigured RBAC or API endpoints</strong> that fail to enforce proper access checks.</li></ul><p><strong>Impacts:</strong></p><ul><li>Unauthorized access to sensitive data.</li><li>Potential data breaches, legal consequences, and reputation damage.</li><li>Privilege escalation and unauthorized actions, such as data modification.</li></ul><p><strong>Example Attack Scenarios:</strong></p><ol><li>An attacker exploits a flaw to access restricted user data.</li><li>A user manipulates parameters to escalate privileges and access admin functions.</li><li>Misconfigured RBAC grants unauthorized users access to sensitive resources.</li></ol>",Expose,63,63,63,0,0,
a7ff7061-3ca4-43f0-bf6a-7920c9008689,T-WEB-APPLICATION-SERVER-SIDE-T-APP-SERVICE-02,Web Application,Spoofing,Attackers can compromise sessions,"<p><strong>General Threat Description:</strong><br>Session hijacking or fixation occurs when attackers are able to gain unauthorized access to a user's session by stealing or predicting session identifiers. This can happen if session management is insecure, allowing attackers to impersonate legitimate users and access sensitive data or perform unauthorized actions.</p><p><strong>Threat Agents/Attack Vectors:</strong></p><ul><li><strong>External Attackers</strong> using techniques like session sniffing, cross-site scripting (XSS), or man-in-the-middle (MITM) attacks to steal session tokens.</li><li><strong>Malicious Insiders</strong> exploiting weak session management practices to impersonate other users.</li><li><strong>Weak Session Tokens</strong> or improper session expiration policies that leave sessions vulnerable to hijacking.</li></ul><p><strong>Impacts:</strong></p><ul><li>Unauthorized access to user accounts, sensitive data, or system resources.</li><li>Potential data breaches, financial fraud, or further exploitation of compromised accounts.</li><li>Loss of trust and reputational damage due to security lapses in session management.</li></ul><p><strong>Example Attack Scenarios:</strong></p><ol><li>An attacker intercepts an unencrypted session token in transit using a MITM attack, gaining access to the victim’s account.</li><li>A malicious script injected via XSS steals the session cookie from a user, allowing the attacker to impersonate them and access sensitive data.</li><li>An attacker guesses or reuses a predictable session ID to take over a valid user session and perform unauthorized actions.</li></ol>",Expose,56,56,56,0,0,
577b5bc0-db5a-443c-b04c-4ebb0c93da1f,T-WEB-APPLICATION-SERVER-SIDE-T-APP-SERVICE-09,Web Application,Repudiation,Attackers can evade detection without proper logging,"<p><strong>General Threat Description:</strong><br>Without proper logging and monitoring, attackers can evade detection while performing malicious actions on a system. Insufficient or misconfigured logging can prevent timely identification of suspicious activities, making it harder to respond to security incidents or identify compromised systems.</p><p><strong>Threat Agents/Attack Vectors:</strong></p><ul><li><strong>External Attackers</strong> exploiting the absence of detailed logging to perform malicious activities without leaving traces.</li><li><strong>Malicious Insiders</strong> manipulating or disabling logging to avoid detection while exfiltrating data or modifying critical systems.</li><li><strong>Misconfiguration</strong> of logging settings that leads to incomplete or missing logs, allowing attackers to act without being recorded.</li></ul><p><strong>Impacts:</strong></p><ul><li>Undetected data breaches, system compromises, or malicious actions.</li><li>Delayed or ineffective incident response due to lack of actionable logs.</li><li>Increased risk of lateral movement within the system by attackers, exploiting gaps in logging and monitoring.</li></ul><p><strong>Example Attack Scenarios:</strong></p><ol><li>An attacker compromises an internal server and performs actions (e.g., data exfiltration or privilege escalation) without triggering any alarms because logging is disabled or misconfigured.</li><li>A malicious insider disables logging mechanisms, covering their tracks while accessing and modifying sensitive data.</li><li>An attacker exploits an application vulnerability to gain access to critical systems, but the lack of proper logging prevents detection of the breach for an extended period.</li></ol>",Expose,38,38,38,0,0,
3c13c91f-d2fe-4db3-adae-2e50929945f3,T-WEB-APPLICATION-SERVER-SIDE-T-APP-SERVICE-06,Web Application,Information Disclosure,Attackers can exploit insecure configurations,"<p><strong>General Threat Description:</strong><br>Insecure configurations, such as weak security settings, improper access control, or default settings, can be exploited by attackers to gain unauthorized access or disrupt services. These vulnerabilities often arise from human error, insufficient hardening, or failure to review configurations regularly.</p><p><strong>Threat Agents/Attack Vectors:</strong></p><ul><li><strong>External Attackers</strong> exploiting misconfigured security settings or services exposed to the internet.</li><li><strong>Malicious Insiders</strong> abusing poorly configured systems or excessive permissions.</li><li><strong>Automated Scanning Tools</strong> that detect default or weak configurations and exploit them for unauthorized access.</li></ul><p><strong>Impacts:</strong></p><ul><li>Unauthorized access to sensitive resources or data.</li><li>Compromise of system integrity or potential remote code execution.</li><li>Increased attack surface, leading to easier exploitation by attackers.</li></ul><p><strong>Example Attack Scenarios:</strong></p><ol><li>An attacker exploits a service left with default credentials or misconfigured access controls, gaining unauthorized access to sensitive data.</li><li>A misconfigured firewall allows an attacker to bypass security and access a vulnerable internal application.</li><li>An insecure API configuration exposes critical functions to the public, allowing attackers to exploit them for malicious purposes.</li></ol>",Expose,63,63,63,0,0,
b1a2cb24-00ce-4caf-8fb5-7e4f69ed0035,T-WEB-APPLICATION-SERVER-SIDE-T-APP-SERVICE-10,Web Application,Information Disclosure,Attackers can exploit unsafe XML parsers,"<p><strong>General Threat Description:</strong><br>Unsafe XML parsers can be exploited when processing XML data that contains malicious payloads. Attackers can craft specially designed XML documents to trigger denial of service (DoS) attacks, or even cause arbitrary code execution or data exfiltration by exploiting vulnerabilities in the XML parser.</p><p><strong>Threat Agents/Attack Vectors:</strong></p><ul><li><strong>External Attackers</strong> submitting malicious XML input to the application in an attempt to exploit parser vulnerabilities.</li><li><strong>Malicious Insiders</strong> using knowledge of the system to craft dangerous XML payloads that bypass security controls.</li><li><strong>Unvalidated Input</strong> passed to the XML parser from untrusted sources, which can be manipulated to cause unexpected behavior.</li></ul><p><strong>Impacts:</strong></p><ul><li>Denial of service (DoS) due to resource exhaustion (e.g., XML billion laughs attack).</li><li>Unauthorized access to sensitive data or execution of arbitrary code.</li><li>System crashes, data corruption, or service disruptions from incorrectly parsed XML data.</li></ul><p><strong>Example Attack Scenarios:</strong></p><ol><li>An attacker submits a malicious XML document containing an entity expansion attack, causing the server to exhaust resources and crash.</li><li>A crafted XML payload is parsed by an unsafe XML parser, resulting in the execution of arbitrary code on the server.</li><li>An attacker exploits an unvalidated XML input field, causing the server to parse and leak sensitive information or bypass security checks.</li></ol>",Expose,88,88,88,0,0,
6f311c93-f65a-4b4a-95f3-e9ea73b72ce9,T-WEB-APPLICATION-SERVER-SIDE-T-APP-SERVICE-08,Web Application,Elevation of Privilege,Attackers can exploit vulnerable components,"<p><strong>General Threat Description:</strong><br>Vulnerable components, such as outdated libraries, frameworks, or services, can be exploited by attackers to gain unauthorized access or execute malicious actions. These vulnerabilities can allow attackers to compromise the system, steal data, or cause service disruptions.</p><p><strong>Threat Agents/Attack Vectors:</strong></p><ul><li><strong>External Attackers</strong> exploiting known vulnerabilities in third-party libraries or components.</li><li><strong>Malicious Insiders</strong> taking advantage of unpatched components to escalate privileges or exfiltrate data.</li><li><strong>Automated Tools</strong> used by attackers to scan for and exploit known vulnerabilities in components.</li></ul><p><strong>Impacts:</strong></p><ul><li>Unauthorized access to sensitive data or system controls.</li><li>Potential for remote code execution or privilege escalation.</li><li>Service downtime, data corruption, or loss.</li></ul><p><strong>Example Attack Scenarios:</strong></p><ol><li>An attacker exploits a vulnerability in a third-party library used by the application to execute remote code.</li><li>A malicious insider exploits an unpatched component to escalate privileges and access sensitive data.</li><li>An attacker uses an automated vulnerability scanner to identify and exploit outdated software components, gaining unauthorized access to the application.</li></ol>",Expose,83,83,83,0,0,
90d9ad84-2204-47af-99a9-20fc61e6ff1a,T-WEB-APPLICATION-SERVER-SIDE-T-APP-SERVICE-01,Web Application,Tampering,Attackers can inject malicious commands,"<p><strong>General Threat Description:</strong><br>Command injection occurs when attackers can inject malicious commands into an application, typically through input fields that are not properly sanitized. These commands are executed by the system, allowing attackers to gain unauthorized access, execute arbitrary code, or perform destructive actions on the system.</p><p><strong>Threat Agents/Attack Vectors:</strong></p><ul><li><strong>External Attackers</strong> injecting malicious code via input fields, query parameters, or other entry points in the application.</li><li><strong>Malicious Insiders</strong> exploiting vulnerabilities to execute commands that affect the integrity or availability of the system.</li><li><strong>Weak Input Validation</strong> or improper handling of user input, allowing attackers to craft commands that the system executes.</li></ul><p><strong>Impacts:</strong></p><ul><li>Unauthorized execution of commands that compromise system integrity, data, or access.</li><li>Potential for system crashes, data corruption, or unauthorized data retrieval.</li><li>Further exploitation of compromised systems for escalating privileges or launching attacks.</li></ul><p><strong>Example Attack Scenarios:</strong></p><ol><li>An attacker injects a command through an unsanitized input field, gaining access to the underlying database and retrieving sensitive data.</li><li>Malicious input is submitted via an HTTP request that allows the attacker to execute shell commands, altering the server’s configuration.</li><li>An attacker exploits a vulnerable API endpoint to inject commands that cause the application to crash or execute unauthorized actions, disrupting service.</li></ol>",Expose,60,60,60,0,0,
