result_id,model,seed,category,asset
0,phi3:3.8b-mini-128k-instruct-q3_K_M,169,"[3, 1]",[]
0,phi3:3.8b-mini-128k-instruct-q3_K_M,169,"[3, 1]",[]
1,phi3:3.8b-mini-128k-instruct-q3_K_M,429,"[2, 1, 3]",[]
1,phi3:3.8b-mini-128k-instruct-q3_K_M,429,"[2, 1, 3]",[]
2,phi3:3.8b-mini-128k-instruct-q3_K_M,707,"[1, 3]",[1]
2,phi3:3.8b-mini-128k-instruct-q3_K_M,707,"[1, 3]",[1]
3,phi3:3.8b-mini-128k-instruct-q3_K_M,429,[],[]
3,phi3:3.8b-mini-128k-instruct-q3_K_M,429,[],[]
4,phi3:3.8b-mini-128k-instruct-q3_K_M,651,[],[]
4,phi3:3.8b-mini-128k-instruct-q3_K_M,651,[],[]
