result_id,model,seed,category,asset
0,yi:9b-chat-v1.5-q4_K_M,169,[],"[2, 10, 6, 0, 12, 9, 7, 11, 15, 1, 14, 16, 5, 8]"
1,yi:9b-chat-v1.5-q4_K_M,429,[],"[9, 14, 1, 11, 8, 12, 10, 2, 6, 7, 16, 5, 0]"
2,yi:9b-chat-v1.5-q4_K_M,707,[],"[1, 2, 6, 5, 3, 9, 12, 16, 7, 14, 11, 8, 10, 0]"
3,yi:9b-chat-v1.5-q4_K_M,429,[],"[9, 14, 1, 11, 8, 12, 10, 2, 6, 7, 16, 5, 0]"
4,yi:9b-chat-v1.5-q4_K_M,651,[],"[5, 8, 7, 9, 2, 12, 6, 15, 10, 14, 16, 0, 11, 1]"
5,yi:9b-chat-v1.5-q4_K_M,289,[],"[14, 2, 16, 9, 11, 10, 6, 12, 0, 7, 1, 5, 8]"
6,yi:9b-chat-v1.5-q4_K_M,491,[],"[2, 0, 14, 6, 1, 5, 8, 11, 10, 9, 16, 7, 12]"
7,yi:9b-chat-v1.5-q4_K_M,864,[],"[11, 16, 6, 7, 12, 14, 1, 2, 3, 10, 5, 0, 9]"
8,yi:9b-chat-v1.5-q4_K_M,222,[],"[2, 6, 1, 5, 11, 9, 10, 16, 12, 0, 14, 7]"
9,yi:9b-chat-v1.5-q4_K_M,812,[],"[2, 14, 0, 6, 7, 16, 8, 3, 10, 5, 11, 9, 12, 1]"
