result_id,model,seed,category,asset
0,yi:9b-chat-v1.5-q4_K_M,169,[],"[8, 28, 64, 81, 43, 58, 55, 86, 11, 63, 31, 33, 10, 27, 20, 56, 29, 9, 26, 44, 65, 66, 32]"
1,yi:9b-chat-v1.5-q4_K_M,429,[73],"[66, 27, 11, 44, 81, 55, 65, 26, 32, 10, 9, 29, 86, 64, 63, 58, 8, 20, 56, 28, 43]"
2,yi:9b-chat-v1.5-q4_K_M,707,"[86, 71]","[43, 86, 20, 27, 81, 44, 63, 10, 9, 33, 11, 29, 26, 31, 28, 58, 66, 56, 55, 8, 64, 65]"
3,yi:9b-chat-v1.5-q4_K_M,429,"[72, 86, 70]","[66, 27, 11, 44, 81, 55, 65, 26, 32, 33, 9, 29, 86, 64, 31, 63, 58, 8, 20, 56, 28, 43]"
4,yi:9b-chat-v1.5-q4_K_M,651,"[86, 70]","[64, 29, 86, 56, 58, 20, 28, 66, 63, 10, 65, 55, 8, 43, 9, 26, 11, 81, 44, 27]"
5,yi:9b-chat-v1.5-q4_K_M,289,"[86, 73, 71]","[11, 55, 43, 64, 28, 29, 33, 44, 65, 9, 58, 63, 27, 26, 86, 66, 8, 20, 81, 56]"
6,yi:9b-chat-v1.5-q4_K_M,491,"[72, 86, 85, 71]","[81, 65, 66, 43, 9, 27, 11, 29, 64, 26, 55, 58, 56, 86, 44, 8, 28, 20, 63]"
7,yi:9b-chat-v1.5-q4_K_M,864,"[73, 86, 72]","[64, 29, 81, 56, 33, 58, 65, 26, 66, 28, 43, 63, 20, 9, 55, 8, 86, 27, 11, 44]"
8,yi:9b-chat-v1.5-q4_K_M,222,"[71, 72]","[58, 81, 27, 55, 63, 44, 29, 66, 64, 11, 8, 20, 43, 26, 65, 86, 9, 56, 28]"
9,yi:9b-chat-v1.5-q4_K_M,812,"[85, 71]","[20, 29, 65, 44, 86, 33, 58, 56, 11, 43, 63, 31, 55, 10, 8, 81, 66, 64, 9, 26, 28, 27]"
