result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 1, 2, 3, 3, 4, 5, 5, 7, 8, 10, 10, 11, 12, 12]","[3, 5, 10, 11, 12, 12]","[0, 0, 0, 1, 2, 7, 8]","[3, 3, 4, 5, 5, 10, 11, 12, 12]",[10]
0,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 1, 2, 3, 3, 4, 5, 5, 7, 8, 10, 10, 11, 12, 12]","[3, 4, 5, 10, 11, 12, 12]","[0, 0, 0, 1, 2, 7, 8]","[3, 3, 4, 5, 5, 10, 11, 12, 12]",[10]
1,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 1, 2, 3, 3, 4, 5, 5, 7, 8, 10, 10, 11, 12, 12]","[3, 5, 10, 11, 12]","[0, 0, 0, 1, 2, 7, 8]","[3, 4, 5, 5, 10, 12, 12]","[3, 10, 11]"
1,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 1, 2, 3, 3, 4, 5, 5, 7, 8, 10, 10, 11, 12, 12]","[3, 5, 10, 11, 12, 12]","[0, 0, 0, 1, 2, 7, 8]","[3, 3, 4, 5, 5, 10, 11, 12, 12]",[10]
2,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 1, 2, 3, 3, 4, 5, 5, 7, 8, 10, 10, 11, 12, 12]","[3, 5, 10, 11, 12, 12]","[0, 0, 0, 1, 2, 7, 8]","[3, 3, 4, 5, 5, 10, 11, 12, 12]",[10]
2,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 1, 2, 3, 3, 4, 5, 5, 7, 8, 10, 10, 11, 11, 12, 12]","[3, 5, 10]","[0, 0, 0, 1, 2, 3, 12]","[3, 4, 5, 5, 7, 8, 10, 10, 11, 11, 12]",[]
3,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 1, 2, 3, 3, 4, 5, 5, 7, 8, 10, 10, 11, 12, 12]","[3, 5, 10, 11, 12, 12]","[0, 0, 0, 1, 2, 7, 8]","[3, 3, 4, 5, 5, 10, 11, 12, 12]",[10]
4,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 1, 2, 3, 3, 4, 5, 5, 7, 8, 10, 10, 11, 12, 12]","[3, 5, 10, 11, 12]","[0, 0, 0, 1, 2, 7, 8]","[3, 3, 4, 5, 5, 10, 11, 12, 12]",[10]
5,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 1, 2, 3, 3, 4, 5, 5, 7, 8, 10, 10, 11, 12, 12]","[3, 5, 10, 11, 12, 12]","[0, 0, 0, 1, 2, 7, 8]","[4, 5, 5, 11, 12, 12]","[3, 3, 10, 10]"
6,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 4, 5, 6, 6, 7, 7, 10, 10, 11]",[],"[0, 0, 0, 1, 2, 3, 6, 8, 9]",[]
