"ID",Reference,Component,Use Case,Threat,Name,Description,State,Test Result
060c6d17-aa17-4933-96d2-6ef33077895c,C-POSTGRESQL-CNT-POSTGRES-02,PostgreSQL,Information Disclosure,Attackers exploit sql injection vulnerabilities,Use parameterized queries and validate inputs,"<p>Implement and regularly update secure coding practices for PostgreSQL by using parameterized queries and validating inputs to prevent injection attacks and ensure data integrity. This control ensures that all user-supplied data is properly sanitized and that SQL statements are constructed safely, reducing the risk of SQL injection and unauthorized data manipulation. Developers and DevOps engineers should integrate input validation and parameterized query techniques into their development workflows and conduct regular code reviews to maintain robust security practices.</p><p><strong>Implementation Steps:</strong></p><p><strong>Adopt Parameterized Queries:</strong><br>Ensure that all database queries are constructed using parameterized queries or prepared statements to separate query logic from data inputs, preventing injection of malicious SQL.</p><p><strong>Validate and Sanitize Inputs:</strong><br>Integrate input validation routines to check user-supplied data against expected formats and sanitize any potentially dangerous characters or patterns.</p><p><strong>Integrate Secure Coding Practices:</strong><br>Incorporate secure coding guidelines into the development process and use automated tools to scan for injection vulnerabilities and improper input handling.</p><p><strong>Conduct Regular Code Reviews and Testing:</strong><br>Perform periodic code reviews and security testing (e.g., penetration testing and static analysis) to verify that input validation and parameterization are consistently applied.</p><p><strong>References:</strong></p><ul><li><a href=""https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html"">OWASP SQL Injection Prevention Cheat Sheet</a></li></ul>",recommended,not-tested
0b10c991-2afb-4163-a67a-d717c0fee3ea,C-WEB-UI-C2,Web UI,Spoofing,Attackers can deceive users into clicking on hidden elements,"Employ frame-busting scripts, set X-Frame-Options header, and enforce Content Security Policy","<p>To protect your web application from clickjacking and other iframe-based attacks, follow these steps to implement frame-busting scripts, set the X-Frame-Options HTTP header, and enforce Content Security Policy (CSP). These measures will prevent your web pages from being embedded within iframes on unauthorized websites, mitigating potential attacks.</p>
<p>Step 1: Employ Frame-Busting Scripts</p>
<p><strong>Add Frame-Busting JavaScript:</strong> Within the <strong>&lt;head&gt;</strong> section of your HTML pages, include a JavaScript snippet that prevents your website from being framed. A simple script like this can be used:</p>
<p>This script checks if your page is being framed and, if so, redirects the top-level window to the current page, effectively ""busting"" out of the frame.</p>
<p>Step 2: Set X-Frame-Options Header</p>
<p><strong>Configure Web Server:</strong> Depending on your web server, add a configuration to include the <strong>X-Frame-Options</strong> HTTP header in all responses. This header tells browsers not to embed your pages within frames or iframes. There are three options you can set:</p>
<ul>
 <li><strong>DENY</strong> - No framing is allowed.</li>
 <li><strong>SAMEORIGIN</strong> - Only framing within the same domain is allowed.</li>
 <li><strong>ALLOW-FROM uri</strong> - Framing is allowed only by the specified <strong>uri</strong>.</li>
</ul>
<p>Step 3: Enforce Content Security Policy</p>
<p><strong>Implement CSP Header:</strong> Content Security Policy (CSP) is a powerful tool that helps prevent XSS attacks and other injection vulnerabilities. To prevent your pages from being framed, include the CSP <strong>frame-ancestors</strong> directive in your responses.</p>
<p><strong>Configure Web Server to Include CSP:</strong> Add a CSP header with a <strong>frame-ancestors</strong> directive to define which origins can embed your content.</p>
<p><strong>Example for Apache:</strong></p>
<p><strong>Example for Nginx:</strong></p>
<p>This CSP directive prevents all framing of your content, except on the same origin. Adjust the directive according to your specific needs, replacing <strong>'self'</strong> with the allowed origins if necessary.</p>
<p><strong>Additional Good Security Practices</strong></p>
<ul>
 <li><strong>Regularly Update Your Security Measures:</strong> Security threats evolve, so regularly review and update your security configurations.</li>
 <li><strong>Educate Your Team:</strong> Ensure that your development team is aware of the importance of web security and understands how to implement these measures.</li>
 <li><strong>Use Automated Tools:</strong> Employ automated tools for security headers to ensure they are correctly set across your application.</li>
 <li><strong>Monitor for Security Flaws:</strong> Regularly test your application for security vulnerabilities and address any issues promptly.</li>
</ul>
<p>Implementing these steps will significantly increase the security of your web application against iframe-based attacks and contribute to a more robust overall security posture.</p>
<p>nginxCopy code</p>
<p>add_header Content-Security-Policy ""frame-ancestors 'self'"";</p>
<p>apacheCopy code</p>
<p>Header set Content-Security-Policy ""frame-ancestors 'self'""</p>
<p>javascriptCopy code</p>
<p>if (window.top !== window.self) { &nbsp;window.top.location = window.location; } <br>&nbsp;</p>",recommended,not-tested
11ef90b6-e611-4731-94cd-beb1ce2b7927,C-VALIDATION-SERVICE,Web Service,Elevation of Privilege,"Attackers craft and inject malicious content, e.g., SQLi",Implement proper parsing and input validation,"<p>Ensure the security of your server-side web service, including REST APIs and gRPC services, by implementing effective parsing and input validation. Proper execution of these practices prevents security vulnerabilities such as injection attacks, buffer overflows, and other forms of malicious input manipulation. The following steps, designed for developers with no previous security experience, provide a guideline to implement these measures:</p>
<strong>Steps for Robust Parsing and Input Validation:</strong>
<ul> <li>Enforce strict input validation checks. Verify that all user-provided data matches the expected format, length, and data type. Employ regular expressions for the validation of complex input patterns, ensuring that data conforms to predefined formats.</li> <li>Adopt a whitelisting approach for input validation. Explicitly define and accept only known, safe input patterns, rather than attempting to identify and block potentially harmful inputs.</li> <li>Handle special characters with care, especially in contexts where they might be interpreted as executable or control characters. This step is crucial for preventing injection attacks.</li> <li>Utilize input sanitization techniques. Employ encoding or proper filtering strategies to neutralize or strip out potentially dangerous characters or patterns from user inputs.</li> <li>Employ established libraries and tools for their robust input validation and parsing features. This approach minimizes the risk of errors that could lead to vulnerabilities.</li> <li>Implement both client-side and server-side validation to improve user experience by providing immediate feedback through client-side validation, while relying on server-side validation as the ultimate enforcement point to ensure security.</li> <li>Develop secure error-handling practices. Ensure that error messages do not disclose sensitive information that could be exploited by attackers.</li> <li>Incorporate automated tools for scanning and testing your application regularly. This helps in early detection and fixing of potential issues related to input validation and parsing.</li> </ul>
<p>By following these actionable steps and adhering to good security practices, you can significantly reduce the risk of security breaches and vulnerabilities in your web service. Regularly update your knowledge on security best practices and tools from reliable sources such as the Open Web Application Security Project (OWASP) to stay ahead of potential threats.</p> ",recommended,not-tested
12457d54-fa58-401e-9014-dc6ffbab43a6,C-WEB-UI-C3,Web UI,Tampering,Attackers can exploit vulnerabilities in third-party dependencies leading to security breaches,"Regularly update dependencies, use dependency scanning tools, and follow best practices for secure coding","<p>Implementing a process to regularly update dependencies, utilize dependency scanning tools, and follow best practices for secure coding is essential in maintaining the security and integrity of your software. This proactive approach helps mitigate vulnerabilities, reduce the attack surface, and ensure the application remains robust against emerging threats. Here's how to approach each aspect effectively:</p>
<p><strong>Regularly Update Dependencies</strong></p>
<p>Dependencies, such as libraries and frameworks, are often updated to patch security vulnerabilities, fix bugs, and add new features. Keeping these dependencies up to date is crucial.</p>
<ol>
 <li><strong>Automate Updates:</strong> Use tools like Dependabot (GitHub), Renovate, or npm audit (for Node.js projects) to automate the detection of outdated dependencies. These tools can be configured to automatically create pull requests for updates.</li>
 <li><strong>Subscribe to Vulnerability Alerts:</strong> Many platforms offer vulnerability alerts for project dependencies. Enable these alerts to be notified when a dependency needs to be updated due to a security issue.</li>
 <li><strong>Regular Review:</strong> Schedule regular intervals (e.g., monthly or quarterly) to review and update dependencies, even if automated tools are in place. This ensures that updates don't introduce breaking changes or new vulnerabilities.</li>
</ol>
<p><strong>Use Dependency Scanning Tools</strong></p>
<p>Dependency scanning tools analyze your project's dependencies for known vulnerabilities, licensing issues, and sometimes even code quality.</p>
<ol>
 <li><strong>Integrate Scanning into CI/CD Pipeline:</strong> Tools like Snyk, OWASP Dependency-Check, and SonarQube can be integrated into your Continuous Integration/Continuous Deployment (CI/CD) pipeline. This allows for automatic scanning of dependencies whenever code is committed or before deployment.</li>
 <li><strong>Act on Findings:</strong> Prioritize and address the vulnerabilities found by scanning tools based on their severity. Some tools provide recommendations or even automated fixes for vulnerabilities.</li>
 <li><strong>Audit Dependencies:</strong> Regularly audit your project's dependency tree to identify and remove unused or unnecessary dependencies, reducing potential attack vectors.</li>
</ol>
<p><strong>Follow Best Practices for Secure Coding</strong></p>
<p>Adhering to secure coding practices is fundamental in developing resilient software that is resistant to attacks.</p>
<ol>
 <li><strong>Adopt a Security Coding Standard:</strong> Follow a coding standard focused on security, such as the OWASP Secure Coding Practices, to minimize the introduction of new vulnerabilities.</li>
 <li><strong>Perform Code Reviews:</strong> Implement a peer review process where code is examined by one or more developers other than the author. This helps catch security flaws, bugs, and ensures adherence to coding standards.</li>
 <li><strong>Educate Your Team:</strong> Regularly train developers on secure coding practices, emerging vulnerabilities, and defensive programming techniques. Consider conducting security awareness sessions and workshops.</li>
 <li><strong>Use Static Analysis Security Testing (SAST):</strong> Integrate SAST tools into your development process to automatically analyze source code for potential security issues.</li>
 <li><strong>Dynamic Analysis Security Testing (DAST):</strong> Use DAST tools to test your applications in runtime, simulating attacks on live applications to identify vulnerabilities that static analysis might miss.</li>
</ol>
<p><strong>References and Good Practices</strong></p>
<ul>
 <li><strong>OWASP:</strong> Utilize resources from the Open Web Application Security Project (OWASP) for the latest in web application security, including the OWASP Top Ten, which outlines the most critical web application security risks.</li>
 <li><strong>Keep Documentation:</strong> Document your security practices, dependency management policies, and update procedures. This helps maintain consistency and ensures new team members can follow established protocols.</li>
 <li><strong>Regular Security Assessments:</strong> Beyond just dependency management and secure coding, conduct regular security assessments, including penetration testing, to identify and mitigate risks.</li>
</ul>
<p>By systematically updating dependencies, using dependency scanning tools, and adhering to secure coding practices, you can significantly enhance the security posture of your software projects, protecting both your data and your users.</p>",recommended,not-tested
1d6930f5-4715-48de-830f-79e5e666536a,C-HARDENED-CONFIGURATION,Web Service,Information Disclosure,"Attackers access information, including secrets, through misconfiguration, errors, or logging","Limit information leakage, e.g., via hardened configuration","<p>Limiting information leakage in your server-side web service, such as a REST API or a gRPC service, is crucial to protect sensitive information from being exposed through various channels like error messages, system logs, or misconfigurations. Follow these actionable steps to harden your service's configuration against unintended data exposure, suitable for developers without previous security experience:</p>
<strong>Key Strategies to Limit Information Leakage:</strong>
<ul> <li>Display minimalistic error messages that do not reveal internal details about the service's structure or state. Error messages should be generic enough to inform the user of the problem without disclosing sensitive information.</li> <li>Alter default configurations immediately after service setup to ensure that security settings are optimized and not left at their less secure, default state.</li> <li>Restrict access to the service and its logs strictly to authorized personnel. Ensure that administrative interfaces and log files are not accessible to unauthorized users.</li> <li>Apply data masking techniques for outputs that may display sensitive information. This is especially important for personal or financial data to prevent direct exposure to unauthorized viewers.</li> <li>Configure network settings and firewalls diligently to close off unnecessary open ports and correct misconfigured services that might inadvertently expose sensitive data.</li> <li>Implement Content Security Policies (CSP) to restrict what resources can be loaded and executed by the service, reducing the risk of data leakage via XSS attacks or other vector exploits.</li> <li>Manage file and directory permissions meticulously to prevent unauthorized access to files containing sensitive information. Only essential access rights should be granted, based on the principle of least privilege.</li> <li>Encrypt sensitive data in transit and at rest. Utilizing strong encryption methods ensures that, even if data is somehow accessed, it remains unintelligible without the decryption keys.</li> </ul>
<p>Adhering to these steps not only enhances your web service's security posture but also aligns with good security practices recommended by leading security organizations, such as OWASP (Open Web Application Security Project). Regularly review and update your service's configurations to adapt to evolving security threats and protect against information leakage.</p> ",recommended,not-tested
2e8c1c76-b29b-450c-b031-8f534599356b,C-SERVICE-RESTRICTIONS,Web Service,Denial of Service,"Attackers abuse the service, e.g., lack of rate limiting",Implement service restrictions,"<p>Implement service restrictions effectively to safeguard your server-side web service, including REST APIs and gRPC services, against unauthorized use and potential security threats. Follow these actionable steps, designed even for developers with no prior security background, to mitigate risks such as brute force attacks, denial-of-service (DoS) attempts, and unwarranted resource consumption.</p>
<strong>Implementing Rate Limiting and Service Restrictions:</strong>
<ul> <li>Introduce rate-limiting mechanisms. Use a library or module specific to your development framework to limit the number of requests a user or client can make within a given timeframe. This measure is crucial for preventing overuse and abuse of the service.</li> <li>Establish granular rate limits for various actions or API endpoints. Analyze the functionality and sensitivity of different parts of your service to apply more stringent limits where necessary. For instance, login attempts may require stricter limits compared to general data retrieval operations.</li> <li>Set time windows for rate limiting that reflect the expected traffic patterns. Shorter windows can prevent burst traffic from causing harm, while longer windows prevent sustained high usage. Adjust these windows based on real-world usage data and analytics.</li> <li>Consider implementing graceful degradation strategies. During peak loads or detected attacks, dynamically adjust rate limits or temporarily degrade service for non-critical functionalities to ensure availability of core features.</li> <li>Use whitelisting and blacklisting to control access. Allow trusted clients or users unfettered access by whitelisting their IPs or accounts, and blacklist entities that exhibit malicious behavior or violate usage policies.</li> <li>Deploy comprehensive monitoring and logging. Utilize tools and practices that enable you to observe traffic in real-time, recognize patterns indicative of abuse, and maintain records for investigating security incidents.</li> <li>Incorporate additional security layers. Integrate solutions like Web Application Firewalls (WAFs) and Intrusion Detection Systems (IDS) to defend against a broader spectrum of threats, including sophisticated DoS and DDoS attacks.</li> </ul>
<p>Refer to reputable security frameworks and guidelines, such as those provided by OWASP (Open Web Application Security Project), to further enhance your service's security posture. Staying informed about the latest security best practices and vulnerabilities in web services is crucial for maintaining a robust defense against evolving threats.</p> ",recommended,not-tested
4935dc6a-bcf3-4873-9602-ba04b246e9c9,C-POSTGRESQL-CNT-POSTGRES-08,PostgreSQL,Information Disclosure,Attackers exfiltrate data due to insecure backup procedures,Implement secure backup procedures with encryption and access controls,"<p>Implement and regularly update secure backup procedures with encryption and access controls for PostgreSQL to protect backup data against unauthorized access and tampering. This control ensures that all backup files are encrypted using strong cryptographic standards (e.g., AES-256) and that access to these backups is restricted to authorized personnel only. Developers and DevOps engineers should integrate secure backup mechanisms into their PostgreSQL deployment process using automated backup tools and centralized management systems to enforce encryption and access policies consistently.</p><p><strong>Implementation Steps:</strong></p><p><strong>Encrypt Backup Files:</strong><br>Configure backup tools to encrypt PostgreSQL backup files using robust encryption algorithms before storage or transmission.</p><p><strong>Enforce Access Controls:</strong><br>Use OS-level permissions, cloud storage access policies, or centralized management tools to restrict backup file access to authorized users only.</p><p><strong>Automate Backup Processes:</strong><br>Integrate automated backup solutions that enforce encryption and access controls, ensuring consistent and secure backup routines across all PostgreSQL instances.</p><p><strong>Monitor and Audit Backup Procedures:</strong><br>Regularly review backup logs and conduct audits to verify that encryption and access controls are maintained and that backup data remains secure.</p><p><strong>References:</strong></p><ul><li><a href=""https://www.postgresql.org/docs/current/backup.html"">PostgreSQL Backup and Restore Documentation</a></li></ul>",recommended,not-tested
5d601112-ac8f-4e1a-a45a-153c075d7a35,C-POSTGRESQL-CNT-POSTGRES-07,PostgreSQL,Denial of Service,Attackers cause denial of service through resource exhaustion,Implement rate limiting and resource throttling,"<p>Implement and regularly update rate limiting and resource throttling for PostgreSQL to protect against denial-of-service (DoS) attacks and resource exhaustion. This control ensures that query rates and system resource usage (CPU, memory, disk I/O) are constrained within defined limits, preserving database availability and performance even under heavy load or attack conditions. Developers and DevOps engineers should integrate rate limiting into the query processing and utilize OS-level or middleware resource controls, continuously monitoring system performance to adjust thresholds as needed.</p><p><strong>Implementation Steps:</strong></p><p><strong>Define Acceptable Thresholds:</strong><br>Establish baseline limits for the number of queries, connections, and resource usage (CPU, memory, I/O) that the system can handle under normal operation.</p><p><strong>Implement Query Rate Limiting:</strong><br>Use PostgreSQL settings or middleware solutions to limit the rate at which queries are accepted from clients, preventing overload during traffic spikes.</p><p><strong>Configure Resource Throttling:</strong><br>Apply OS-level resource controls (e.g., cgroups on Linux) or similar mechanisms to restrict the CPU and memory usage of PostgreSQL processes, ensuring that no single query or connection can monopolize system resources.</p><p><strong>Monitor and Audit:</strong><br>Continuously track performance metrics and log query activities. Regularly audit resource consumption and adjust thresholds to maintain optimal performance and security.</p><p><strong>References:</strong></p><ul><li><a href=""https://www.postgresql.org/docs/current/performance-tips.html"">PostgreSQL Performance Tips</a></li></ul>",recommended,not-tested
67287e26-10bd-4ae5-9f65-164b06db4929,C-WEB-UI-C1,Web UI,Elevation of Privilege,Attackers may exploit weaknesses in authentication and authorization mechanisms,Implement strong authentication mechanisms and follow the least privilege principle,"<p>To enhance the security of your web UI, implementing strong authentication mechanisms is crucial. Follow these steps to ensure that access to your system is securely controlled.</p>
<p>Step 1: Use Multi-Factor Authentication (MFA)</p>
<p><strong>Enable MFA:</strong> Ensure your authentication system supports Multi-Factor Authentication. MFA requires users to provide two or more verification factors to gain access, significantly increasing security.</p>
<p><strong>Integrate with Trusted Providers:</strong> Use well-established MFA providers or frameworks that support various verification methods, such as SMS codes, email verification, authenticator apps, or hardware tokens.</p>
<p>Step 2: Enforce Strong Password Policies</p>
<p><strong>Set Complexity Requirements:</strong> Define password policies that require a mix of upper and lower case letters, numbers, and special characters. Ensure passwords are of a minimum length (e.g., 12 characters).</p>
<p><strong>Implement Account Lockout Mechanisms:</strong> To prevent brute force attacks, temporarily lock accounts after several unsuccessful login attempts.</p>
<p><strong>Use Password Alternatives:</strong> Where possible, encourage or enforce the use of passphrase alternatives, biometrics, or other more secure authentication methods.</p>
<p>Step 3: Regularly Update Authentication Systems</p>
<p><strong>Patch and Update:</strong> Keep your authentication systems up-to-date with the latest security patches and updates.</p>
<p><strong>Audit and Review:</strong> Regularly audit authentication mechanisms for vulnerabilities. Use security scanning tools and consider external security audits.</p>
<p><strong>Follow the Least Privilege Principle</strong></p>
<p>The principle of least privilege ensures that users and systems have only the minimum levels of access—or permissions—needed to perform their tasks. This reduces the potential impact of a compromise.</p>
<p>Step 1: Define Access Levels</p>
<p><strong>Identify Roles:</strong> Define clear roles within your application (e.g., user, admin, moderator) and specify the access level for each.</p>
<p><strong>Assign Permissions:</strong> Assign permissions based on roles. Ensure that each role has the least amount of privilege necessary to perform its functions.</p>
<p>Step 2: Implement Role-Based Access Control (RBAC)</p>
<p><strong>Use RBAC Systems:</strong> Implement or utilize an existing RBAC system that allows for easy management of roles and permissions.</p>
<p><strong>Regularly Review Access:</strong> Periodically review roles and permissions to ensure they are still appropriate for each user’s needs.</p>
<p>Step 3: Monitor and Audit Access</p>
<p><strong>Logging:</strong> Ensure that access and activities are logged. Keep an audit trail that can be reviewed in the event of a security incident.</p>
<p><strong>Alerts:</strong> Set up alerts for unusual access patterns or administrative actions, which can help in early detection of security breaches.</p>
<p><strong>Additional Good Security Practices</strong></p>
<ul>
 <li><strong>Security Training:</strong> Regularly train developers and users on the importance of strong authentication practices and the principle of least privilege.</li>
 <li><strong>Use Secure Communication:</strong> Ensure that authentication data, such as passwords and tokens, are always transmitted over secure channels (e.g., HTTPS).</li>
 <li><strong>Periodic Security Assessments:</strong> Conduct periodic security assessments and penetration testing to identify and mitigate potential vulnerabilities in your authentication mechanism and access control policies.</li>
</ul>
<p>Implementing these measures will significantly strengthen the security of your web UI by ensuring that only authorized users can access sensitive information and functionality, and that they can only perform actions necessary for their role.</p>",recommended,not-tested
674654e9-71ec-46c9-a7fb-42c02632175e,C-VALIDATE-SERIALIZED,Web Service,Tampering,Attackers leverage deserialization flaws to execute malicious code,Validate and sanitize serialized data,"<p>Validating and sanitizing serialized data is essential for maintaining the integrity and security of data within your server-side web service, including REST APIs and gRPC services. These measures are crucial to prevent injection attacks, data tampering, and other vulnerabilities associated with serialization and deserialization processes. Follow these actionable steps to secure your data serialization practices:</p>
<strong>Guidelines for Secure Serialization and Deserialization:</strong>
<ul> <li>Conduct rigorous input validation on all serialized data. Ensure that it matches the expected structure, format, and content. Reject any data that fails to meet these predefined standards.</li> <li>Implement schema validation for serialized data. Utilize tools that can check incoming data against a defined schema to confirm its validity and structure.</li> <li>Create a whitelist of permissible values for each field within your serialized data. Disallow any data containing values not included in this list, mitigating the risk of harmful content injections.</li> <li>Impose restrictions on the size and length of serialized data. This limits potential attack vectors by reducing the amount of data an attacker can manipulate.</li> <li>Apply sanitization techniques to serialized data. Remove or alter characters or sequences that could be exploited for malicious purposes.</li> <li>Select secure and regularly updated libraries for data serialization and deserialization. Libraries like Jackson for Java offer built-in security features and are actively maintained to address new vulnerabilities.</li> <li>Incorporate digital signatures with serialized data. This step verifies the authenticity and integrity of the data, ensuring it has not been altered in transit.</li> <li>Establish a robust logging and monitoring system. Keep detailed records of deserialization events and anomalies to detect and respond to potential security incidents swiftly.</li> </ul>
<p>By adhering to these steps and integrating security best practices into your development process, you can significantly enhance the safety of your web service. Continuously update your knowledge and tools based on the latest security research and recommendations from authoritative sources, such as OWASP (Open Web Application Security Project), to protect against evolving threats.</p> ",recommended,not-tested
