result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,gemma3:4b-it-q4_K_M,True,"[6, 5, 6, 0, 2, 4, 5, 5, 5, 4, 5, 7, 8, 5, 0, 2, 3, 4, 9, 10, 11, 12, 0, 2, 3, 4, 10, 11, 12, 0, 1, 2, 3, 4, 10, 12, 7, 8, 7, 8, 0, 3, 4, 0, 2]","[5, 6, 0, 2, 4, 5, 5, 4, 5, 8, 4, 9, 10, 11, 12, 3, 4, 10, 11, 12, 0, 12]",[],"[6, 6, 0, 0, 3, 9, 10, 11, 0, 3, 10, 11, 0, 1, 3, 10, 7, 8, 0, 3, 0]",[]
1,gemma3:4b-it-q4_K_M,True,"[6, 5, 6, 0, 2, 6, 4, 5, 5, 5, 4, 4, 5, 7, 8, 5, 0, 2, 3, 4, 9, 10, 11, 12, 0, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 10, 12, 7, 8, 7, 8, 0, 3, 4, 0, 2]","[5, 6, 0, 2, 6, 4, 5, 5, 4, 5, 8, 4, 9, 10, 11, 12, 3, 4, 10, 11, 12, 0, 2, 12]",[],"[6, 6, 0, 6, 0, 3, 9, 10, 11, 0, 3, 9, 10, 11, 0, 1, 3, 10, 0, 3, 0]",[]
2,gemma3:4b-it-q4_K_M,True,"[6, 5, 6, 0, 2, 4, 5, 5, 5, 4, 4, 5, 7, 8, 5, 0, 2, 3, 4, 9, 10, 11, 12, 0, 2, 3, 4, 5, 10, 11, 12, 0, 1, 2, 3, 4, 10, 12, 7, 8, 7, 8, 0, 3, 4, 0, 2]","[5, 6, 0, 2, 4, 5, 5, 4, 5, 8, 4, 9, 10, 11, 12, 3, 4, 5, 0, 12]",[],"[6, 6, 0, 4, 0, 3, 9, 10, 11, 0, 3, 10, 11, 0, 1, 3, 10, 0, 3, 4, 0]",[]
3,gemma3:4b-it-q4_K_M,True,"[6, 5, 6, 0, 2, 6, 4, 5, 5, 5, 4, 4, 5, 7, 8, 5, 0, 2, 3, 4, 9, 10, 11, 12, 0, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 9, 10, 12, 7, 7, 8, 7, 8, 0, 3, 4, 0, 2]","[5, 6, 0, 2, 6, 4, 5, 5, 4, 5, 8, 4, 9, 10, 11, 12, 3, 4, 9, 10, 11, 12, 0, 12, 2]",[],"[6, 6, 0, 6, 0, 3, 9, 10, 11, 0, 3, 4, 9, 10, 11, 0, 1, 3, 9, 10, 7, 8, 0, 3, 0]",[]
4,gemma3:4b-it-q4_K_M,True,"[6, 5, 6, 0, 2, 4, 5, 5, 5, 4, 5, 7, 8, 5, 0, 2, 3, 4, 9, 10, 11, 12, 0, 2, 3, 4, 10, 11, 12, 0, 1, 2, 3, 4, 10, 12, 7, 8, 7, 8, 0, 3, 4, 0, 2]","[5, 6, 0, 2, 4, 5, 5, 5, 4, 9, 10, 11, 12, 3, 4, 10, 11, 0, 12]",[],"[6, 6, 0, 0, 3, 9, 10, 11, 0, 3, 10, 11, 12, 0, 1, 3, 10, 7, 0, 3, 0, 2]",[]
5,gemma3:4b-it-q4_K_M,True,"[6, 5, 6, 0, 2, 4, 5, 5, 5, 4, 5, 7, 8, 5, 0, 2, 3, 4, 9, 10, 11, 12, 0, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 9, 10, 12, 7, 8, 7, 8, 0, 3, 4, 0, 2]","[5, 6, 0, 2, 4, 5, 5, 4, 5, 8, 4, 9, 10, 11, 12, 3, 4, 9, 10, 11, 0, 2, 12]",[],"[6, 6, 0, 0, 3, 9, 10, 11, 0, 3, 9, 10, 11, 0, 1, 3, 9, 10, 7, 8, 0, 3, 0]",[]
6,gemma3:4b-it-q4_K_M,True,"[6, 5, 6, 0, 2, 4, 5, 5, 5, 4, 4, 5, 7, 8, 5, 0, 2, 3, 4, 9, 10, 11, 12, 0, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 10, 12, 8, 7, 8, 7, 8, 0, 3, 4, 0, 2]","[5, 6, 0, 2, 4, 5, 5, 4, 5, 8, 3, 4, 9, 10, 11, 12, 3, 4, 9, 10, 11, 0, 12, 2]",[],"[6, 6, 0, 0, 3, 9, 10, 11, 0, 3, 4, 9, 10, 11, 0, 1, 3, 10, 8, 7, 0, 3, 0]",[]
7,gemma3:4b-it-q4_K_M,True,"[6, 5, 6, 0, 2, 4, 5, 5, 5, 4, 4, 5, 7, 8, 5, 0, 2, 3, 4, 9, 10, 11, 12, 0, 2, 3, 4, 5, 10, 11, 12, 0, 1, 2, 3, 4, 9, 10, 12, 7, 8, 7, 8, 0, 3, 4, 0, 2]","[5, 6, 0, 2, 4, 5, 5, 4, 5, 8, 3, 4, 9, 10, 11, 12, 3, 4, 5, 10, 11, 0, 12, 2]",[],"[6, 6, 0, 0, 3, 9, 10, 11, 0, 3, 10, 11, 0, 1, 2, 3, 9, 10, 12, 0, 3, 4, 0]",[]
8,gemma3:4b-it-q4_K_M,True,"[6, 5, 6, 0, 2, 4, 5, 5, 5, 4, 4, 7, 5, 0, 2, 3, 4, 9, 10, 11, 12, 0, 2, 3, 4, 10, 11, 12, 0, 1, 2, 3, 4, 10, 12, 7, 7, 8, 7, 8, 0, 3, 4, 0, 2]","[5, 6, 0, 2, 4, 5, 5, 4, 3, 4, 9, 10, 11, 12, 3, 4, 11, 0, 12]",[],"[6, 6, 0, 0, 3, 9, 10, 11, 0, 3, 10, 11, 0, 1, 3, 10, 7, 7, 8, 0, 3, 0]",[]
9,gemma3:4b-it-q4_K_M,True,"[6, 5, 6, 0, 2, 4, 5, 5, 5, 4, 5, 7, 8, 5, 0, 2, 3, 4, 9, 10, 11, 12, 0, 2, 3, 4, 10, 11, 12, 0, 1, 2, 3, 4, 10, 12, 7, 8, 7, 8, 0, 3, 4, 0, 2]","[5, 6, 0, 2, 4, 5, 5, 4, 5, 8, 4, 9, 10, 11, 12, 3, 4, 10, 11, 12, 0, 12, 2]",[],"[6, 6, 0, 4, 0, 3, 9, 10, 11, 0, 3, 10, 11, 0, 1, 3, 4, 10, 0, 3, 0]",[]
