result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[0, 0, 1, 2, 3, 3, 3, 4, 4, 4, 4, 5, 6, 9, 9, 9, 10, 10, 11, 11, 12, 12, 12, 12, 12]","[0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 4, 6, 7, 8, 9, 10, 10, 11, 12, 12, 12, 12, 12]","[4, 4, 4, 4, 4, 5, 7, 8, 9, 12, 12, 12, 12]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 4, 5, 5, 5, 6, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11]"
1,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 7, 7, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[0, 0, 1, 2, 3, 3, 3, 4, 4, 4, 4, 5, 6, 9, 9, 9, 10, 10, 11, 11, 12, 12, 12, 12, 12]","[0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 4, 6, 7, 8, 9, 10, 10, 10, 11, 11, 12, 12, 12, 12, 12, 12]","[3, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 7, 11, 12, 12, 12]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 4, 5, 6, 6, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11]"
2,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 7, 7, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[0, 0, 0, 1, 2, 3, 3, 3, 4, 4, 4, 4, 5, 6, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 12, 12]","[0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 4, 4, 6, 7, 8, 9, 9, 10, 11, 12, 12, 12, 12, 12, 12]","[1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 5, 7, 10, 12, 12, 12]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 3, 3, 3, 3, 5, 5, 5, 6, 6, 8, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11]"
3,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[0, 0, 1, 2, 3, 3, 3, 4, 4, 4, 4, 4, 5, 6, 9, 9, 9, 10, 10, 11, 11, 11, 12, 12, 12, 12, 12]","[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 4, 6, 7, 8, 9, 9, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12]","[2, 2, 4, 4, 4, 4, 4, 4, 5, 9, 10, 11, 12, 12]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 4, 5, 5, 5, 6, 7, 8, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11]"
4,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[0, 0, 0, 1, 2, 3, 3, 3, 4, 4, 4, 4, 4, 5, 6, 9, 9, 9, 9, 10, 10, 11, 11, 12, 12, 12, 12, 12]","[0, 0, 0, 1, 2, 2, 2, 2, 2, 3, 4, 4, 4, 4, 4, 6, 7, 8, 10, 11, 11, 12, 12, 12, 12, 12, 12]","[1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 5, 5, 7, 8, 9, 9, 9, 10, 10, 12, 12, 12]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 3, 5, 5, 6, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11]"
5,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 7, 7, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[0, 0, 0, 1, 2, 3, 4, 4, 4, 4, 5, 6, 9, 9, 9, 9, 10, 10, 11, 11, 12, 12, 12, 12, 12]","[0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 4, 4, 4, 4, 4, 6, 7, 8, 9, 10, 11, 12, 12, 12, 12, 12, 12]","[2, 2, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 7, 8, 12, 12, 12]","[0, 0, 0, 1, 1, 1, 1, 1, 3, 3, 3, 5, 6, 6, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11]"
6,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[0, 0, 0, 1, 2, 3, 3, 3, 4, 4, 4, 4, 4, 5, 6, 7, 9, 9, 9, 9, 9, 10, 11, 11, 12, 12, 12, 12, 12]","[0, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 4, 6, 7, 8, 9, 9, 10, 11, 11, 11, 12, 12, 12, 12, 12, 12]","[2, 4, 4, 4, 4, 4, 4, 4, 5, 8, 9, 9, 11, 11, 12, 12, 12]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 5, 5, 5, 6, 7, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11]"
7,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[0, 0, 0, 1, 2, 3, 3, 3, 4, 4, 4, 4, 5, 6, 9, 9, 9, 9, 10, 10, 11, 11, 11, 12, 12, 12, 12, 12]","[0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 4, 4, 4, 4, 6, 7, 8, 9, 10, 10, 11, 12, 12, 12, 12, 12]","[2, 3, 4, 4, 4, 4, 4, 4, 6, 10, 12, 12, 12, 12]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 3, 4, 5, 5, 5, 5, 7, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11]"
8,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[0, 0, 0, 1, 2, 3, 3, 3, 4, 4, 4, 4, 5, 6, 9, 9, 9, 9, 10, 10, 10, 11, 11, 12, 12, 12, 12, 12]","[0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 4, 4, 4, 4, 6, 7, 8, 9, 9, 10, 10, 11, 11, 11, 12, 12, 12, 12, 12, 12]","[0, 4, 4, 4, 4, 4, 4, 4, 12]","[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 6, 7, 8, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 12, 12]"
9,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 7, 7, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[0, 0, 1, 2, 3, 3, 3, 4, 4, 4, 4, 5, 6, 9, 9, 9, 10, 10, 11, 11, 11, 12, 12, 12, 12, 12]","[0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 4, 4, 4, 4, 5, 6, 7, 8, 11, 11, 12, 12, 12, 12, 12]","[1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 5, 6, 7, 8, 11, 12, 12, 12, 12]","[0, 0, 1, 1, 1, 1, 2, 3, 3, 3, 3, 3, 5, 5, 6, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11]"
