result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,phi3:14b-medium-128k-instruct-q4_K_M,True,"[0, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 0, 1, 2, 12, 1, 2, 12, 0, 3, 0, 3, 0, 3, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 12, 12, 4, 11, 5, 3, 6]",[],"[10, 0, 0, 3, 0, 3, 3, 0]","[0, 3, 3, 10, 3, 10, 0, 1, 12, 1, 2, 12, 1, 2, 12, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6]"
0,phi3:14b-medium-128k-instruct-q4_K_M,True,"[0, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 0, 1, 2, 12, 1, 2, 12, 0, 3, 0, 3, 0, 3, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 12, 12, 4, 11, 5, 3, 6]",[],"[10, 3, 0, 0, 3, 0, 6]","[0, 3, 10, 3, 10, 0, 1, 2, 12, 0, 1, 2, 12, 1, 2, 12, 3, 3, 0, 3, 4, 11, 7, 8, 5, 5, 3, 0]"
1,phi3:14b-medium-128k-instruct-q4_K_M,True,"[0, 3, 10, 3, 10, 3, 10, 1, 2, 12, 0, 3, 1, 2, 12, 1, 2, 12, 0, 3, 0, 3, 0, 3, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 12, 12, 4, 11, 5, 3, 6]",[],"[10, 1, 0, 3, 1, 0, 0, 3, 0, 3, 6, 0]","[0, 3, 3, 10, 3, 10, 2, 12, 1, 2, 12, 2, 12, 3, 3, 4, 11, 7, 8, 5, 5, 3, 3]"
1,phi3:14b-medium-128k-instruct-q4_K_M,True,"[0, 3, 10, 3, 10, 3, 10, 0, 1, 2, 12, 0, 1, 2, 12, 1, 2, 12, 0, 3, 0, 3, 0, 3, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 12, 12, 4, 11, 5, 3, 6]",[],"[1, 0, 0, 3, 0, 3, 0, 3, 6]","[0, 3, 10, 3, 10, 3, 10, 0, 2, 12, 1, 2, 12, 1, 2, 12, 3, 4, 11, 7, 8, 5, 5, 3, 3, 0]"
2,phi3:14b-medium-128k-instruct-q4_K_M,True,"[0, 3, 10, 3, 10, 3, 10, 1, 2, 12, 0, 1, 2, 12, 1, 2, 12, 0, 3, 0, 3, 0, 3, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 12, 12, 4, 11, 5, 3, 6]",[],"[1, 0, 3, 0, 0, 3, 6]","[0, 3, 10, 3, 10, 3, 10, 2, 12, 1, 2, 12, 1, 2, 12, 0, 3, 3, 4, 11, 8, 5, 5, 3, 3, 0]"
2,phi3:14b-medium-128k-instruct-q4_K_M,True,"[2, 10, 5, 0, 10, 10, 0, 1, 12, 3, 1, 2, 3, 9, 12, 1, 2, 12, 12, 0, 3, 9, 0, 9, 0, 8, 10, 5, 0, 5, 0, 10, 12, 6, 2]","[0, 12, 0, 3, 9, 0, 0, 6, 2]",[],"[10, 3]","[2, 10, 5, 0, 0, 1, 12, 3, 1, 9, 12, 1, 2, 12, 12, 0, 3, 9, 0, 9, 0, 10, 5, 5, 0, 10, 12, 6]"
3,phi3:14b-medium-128k-instruct-q4_K_M,True,"[0, 3, 10, 3, 10, 3, 10, 1, 2, 12, 0, 1, 2, 12, 1, 2, 12, 0, 3, 0, 3, 0, 3, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 12, 12, 4, 11, 5, 3, 6]",[],"[0, 10, 0, 0, 3, 3]","[3, 3, 10, 3, 10, 1, 2, 12, 0, 1, 2, 12, 1, 2, 12, 3, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]"
4,phi3:14b-medium-128k-instruct-q4_K_M,True,"[0, 3, 10, 3, 10, 3, 10, 1, 2, 12, 0, 3, 1, 2, 12, 1, 2, 12, 0, 3, 0, 3, 0, 3, 3, 4, 11, 7, 8, 5, 5, 3, 3, 6, 0]","[10, 12, 12, 4, 11, 5, 3, 6]",[],"[10, 1, 0, 3, 3, 0, 0, 3, 3, 6, 0]","[0, 3, 3, 10, 3, 10, 2, 12, 1, 2, 12, 1, 2, 12, 0, 3, 4, 11, 7, 8, 5, 5, 3, 3]"
5,phi3:14b-medium-128k-instruct-q4_K_M,True,"[3, 0, 3, 8, 3, 10, 5, 9, 11, 0, 1, 1, 2, 9, 0, 9, 12, 1, 2, 12, 1, 2, 12, 0, 12, 0, 3, 0, 8, 12, 5, 5, 5, 12, 3, 6]","[10, 1, 2, 0, 0, 3, 0, 3, 6]",[],[],"[3, 0, 3, 8, 3, 10, 5, 11, 1, 2, 9, 0, 9, 12, 12, 12, 0, 12, 0, 3, 0, 8, 12, 5, 5, 5, 12, 6]"
6,phi3:14b-medium-128k-instruct-q4_K_M,True,"[3, 4, 6, 5, 0, 3, 4, 9, 2, 1, 2, 4, 1, 3, 7, 0, 1, 9, 5, 11, 7, 11, 6, 1, 10, 12, 6, 7, 11, 12, 7, 9, 11, 0, 1, 8, 8, 6, 5, 0, 2, 6, 8, 5, 9, 11, 10, 10, 12, 7, 6, 8, 12, 2, 6, 0, 4, 7, 9, 9, 10, 12, 8, 1, 5, 10, 12, 1, 2, 1, 7, 8, 10]","[7, 2, 6, 4, 9]",[],[],"[10, 12, 5, 0]"
