result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 2, 2, 3, 4, 4, 4, 4, 4, 5, 6, 6, 7, 9, 10, 10, 10, 10, 10, 10]","[0, 1, 2, 4, 4, 4, 4, 4, 6, 7]","[1, 3, 6, 10, 10, 10]",[],"[0, 0, 4, 4]"
1,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 4, 4, 4, 4, 4, 6, 7, 10]","[2, 6, 7, 9, 10, 10]","[4, 4, 6]","[0, 0, 0, 0, 0, 0, 4, 4, 5, 5]"
2,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 3, 3, 4, 4, 4, 5, 5, 9, 10, 10, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 1, 4, 4, 4]","[1, 2, 2, 3, 10, 10, 10]","[0, 9, 10]","[0, 0, 0, 0, 0]"
3,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 7, 7, 7, 9, 10, 10, 10, 10]","[0, 0, 4, 4, 4, 4, 7, 7, 7]","[2, 2, 3, 3, 7, 7, 10, 10, 10]",[],"[0, 0, 4, 5, 5]"
4,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 3, 4, 4, 4, 5, 5, 6, 7, 9, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 4, 4, 7]","[10, 10]","[2, 4]","[0, 0, 0, 0]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 9, 10, 10, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 4, 4, 6, 6, 7, 7, 7]","[1, 2, 3, 3, 7, 7, 10, 10]","[0, 0, 0, 4, 9, 10]","[0, 4, 4, 5, 5]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 4, 4, 4, 4, 4, 5, 5, 6, 7, 7, 9, 10, 10, 10, 10, 10, 10, 11]","[0, 0, 0, 0, 0, 1, 4, 4, 4, 4, 7, 7]","[2, 7, 10, 10, 10, 10]","[0, 11]","[0, 0, 0, 0, 4, 5]"
1,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 3, 4, 4, 4, 4, 4, 5, 6, 7, 9, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 4, 4, 4, 4, 7]","[3, 6, 7, 10, 10]",[],"[0, 0, 4]"
1,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 6, 6, 9, 10, 10, 10, 10]","[0, 0, 3, 3, 4, 4, 4, 6]","[3, 6, 10, 10, 10]","[0, 0, 0, 1, 3, 4]","[0, 0, 5]"
2,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 3, 4, 4, 4, 4, 5, 6, 6, 6, 6, 7, 9, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 2, 3, 4, 4, 6, 7]","[6, 10, 10]","[0, 0, 4]","[0, 0, 4]"
