result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,yi:9b-chat-v1.5-q4_K_M,True,"[7, 8, 6, 2, 7, 8, 1, 2, 3, 4, 11, 12, 2, 6, 2, 5, 12, 4, 7, 8, 6, 0, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 10, 11, 12, 3, 5, 7, 8, 0, 3, 4, 10, 11, 12, 6, 3, 5, 6, 7, 8, 7, 0, 3, 9, 11, 12, 6, 5, 7, 8, 7, 8, 0, 2, 3, 4, 11, 12, 6, 5]","[0, 0, 0, 0, 0]",[],"[7, 8, 6, 2, 7, 8, 1, 2, 3, 4, 11, 12, 2, 6, 2, 5, 12, 4, 7, 8, 6, 0, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 10, 11, 12, 3, 5, 7, 8, 0, 3, 4, 10, 11, 12, 6, 3, 5, 6, 7, 8, 7, 0, 3, 9, 11, 12, 6, 5, 7, 8, 7, 8, 0, 2, 3, 4, 11, 12, 6, 5]",[]
1,yi:9b-chat-v1.5-q4_K_M,True,"[7, 8, 6, 5, 7, 8, 1, 2, 3, 4, 11, 12, 2, 6, 5, 6, 12, 7, 6, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 10, 3, 5, 7, 8, 0, 3, 4, 10, 11, 12, 6, 5, 6, 7, 8, 7, 0, 3, 4, 11, 12, 6, 7, 8, 7, 8, 0, 2, 3, 4, 12, 6, 5]","[0, 0, 0]",[],"[7, 8, 6, 5, 7, 8, 1, 2, 3, 4, 11, 12, 2, 6, 5, 6, 12, 7, 6, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 10, 3, 5, 7, 8, 0, 3, 4, 10, 11, 12, 6, 5, 6, 7, 8, 7, 0, 3, 4, 11, 12, 6, 7, 8, 7, 8, 0, 2, 3, 4, 12, 6, 5]",[]
2,yi:9b-chat-v1.5-q4_K_M,True,"[7, 8, 6, 5, 2, 7, 8, 1, 2, 3, 4, 11, 12, 2, 6, 2, 5, 12, 7, 8, 6, 0, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 9, 10, 12, 5, 7, 8, 0, 2, 3, 4, 10, 11, 12, 6, 3, 5, 6, 7, 8, 8, 0, 3, 4, 9, 11, 12, 6, 5, 7, 8, 7, 8, 0, 1, 2, 3, 4, 11, 12, 6, 5]","[0, 0, 0, 0, 0]",[],"[7, 8, 6, 5, 2, 7, 8, 1, 2, 3, 4, 11, 12, 2, 6, 2, 5, 12, 7, 8, 6, 0, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 9, 10, 12, 5, 7, 8, 0, 2, 3, 4, 10, 11, 12, 6, 3, 5, 6, 7, 8, 8, 0, 3, 4, 9, 11, 12, 6, 5, 7, 8, 7, 8, 0, 1, 2, 3, 4, 11, 12, 6, 5]",[]
3,yi:9b-chat-v1.5-q4_K_M,True,"[7, 8, 6, 7, 8, 1, 2, 4, 11, 12, 2, 6, 5, 6, 4, 7, 8, 4, 6, 11, 4, 6, 5, 6, 7, 8, 0, 3, 10, 3, 5, 7, 8, 0, 2, 3, 4, 10, 11, 12, 6, 5, 6, 7, 8, 7, 8, 0, 3, 9, 11, 12, 6, 5, 7, 8, 7, 8, 0, 2, 3, 4, 12, 6, 5]","[0, 0, 0]",[],"[7, 8, 6, 7, 8, 1, 2, 4, 11, 12, 2, 6, 5, 6, 4, 7, 8, 4, 6, 11, 4, 6, 5, 6, 7, 8, 0, 3, 10, 3, 5, 7, 8, 0, 2, 3, 4, 10, 11, 12, 6, 6, 7, 8, 7, 8, 0, 3, 9, 11, 12, 6, 5, 7, 8, 7, 8, 0, 2, 3, 4, 12, 6, 5]",[5]
4,yi:9b-chat-v1.5-q4_K_M,True,"[7, 8, 6, 5, 2, 7, 8, 1, 2, 4, 12, 2, 6, 5, 6, 12, 4, 8, 6, 0, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 10, 11, 12, 6, 3, 5, 7, 8, 0, 2, 3, 4, 10, 11, 12, 6, 3, 5, 6, 7, 8, 7, 0, 3, 4, 11, 12, 6, 7, 8, 7, 8, 0, 2, 3, 12, 6, 5]","[0, 0, 0, 0, 0]",[],"[7, 8, 6, 5, 2, 7, 8, 1, 2, 4, 12, 2, 6, 5, 6, 12, 4, 8, 6, 0, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 10, 11, 12, 6, 3, 5, 7, 8, 0, 2, 3, 4, 10, 11, 12, 6, 3, 5, 6, 7, 8, 7, 0, 3, 4, 11, 12, 6, 7, 8, 7, 8, 0, 2, 3, 12, 6, 5]",[]
5,yi:9b-chat-v1.5-q4_K_M,True,"[7, 8, 5, 2, 7, 8, 1, 2, 3, 4, 11, 12, 2, 6, 2, 5, 12, 7, 8, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 10, 12, 3, 5, 7, 8, 0, 2, 3, 4, 10, 11, 12, 6, 3, 5, 6, 7, 8, 8, 0, 3, 9, 11, 12, 6, 7, 8, 7, 8, 0, 1, 2, 3, 4, 11, 12, 6, 5]","[2, 0, 0, 0, 0]",[],"[7, 8, 2, 7, 8, 1, 2, 3, 4, 11, 12, 2, 6, 2, 5, 12, 7, 8, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 10, 12, 3, 5, 7, 8, 0, 2, 3, 4, 10, 11, 12, 6, 3, 5, 6, 7, 8, 8, 0, 3, 9, 11, 12, 6, 7, 8, 7, 8, 0, 1, 2, 3, 4, 11, 12, 6, 5]",[5]
6,yi:9b-chat-v1.5-q4_K_M,True,"[7, 8, 6, 5, 2, 7, 8, 1, 2, 3, 4, 11, 12, 2, 6, 5, 12, 7, 8, 0, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 9, 10, 12, 3, 5, 7, 8, 0, 2, 3, 4, 10, 11, 12, 6, 3, 5, 7, 8, 7, 8, 0, 3, 4, 11, 12, 6, 5, 7, 8, 7, 8, 0, 2, 3, 4, 11, 12, 6, 5]","[0, 0, 0, 0, 0]",[],"[7, 8, 6, 2, 7, 8, 1, 2, 3, 4, 11, 12, 2, 6, 5, 12, 7, 8, 0, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 9, 10, 12, 3, 5, 7, 8, 0, 2, 3, 4, 10, 11, 12, 6, 3, 5, 7, 8, 7, 8, 0, 3, 4, 11, 12, 6, 5, 7, 8, 7, 8, 0, 2, 3, 4, 11, 12, 6, 5]",[5]
7,yi:9b-chat-v1.5-q4_K_M,True,"[7, 8, 6, 5, 2, 7, 8, 1, 2, 3, 4, 11, 12, 6, 2, 5, 6, 12, 4, 7, 8, 0, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 9, 10, 11, 12, 3, 5, 7, 8, 0, 3, 4, 10, 11, 12, 6, 3, 5, 6, 7, 8, 0, 3, 9, 11, 12, 6, 5, 7, 8, 7, 8, 0, 1, 2, 3, 4, 11, 12, 6, 5, 6]","[2, 0, 0, 0, 0, 0]",[],"[7, 8, 6, 5, 2, 7, 8, 1, 2, 3, 4, 11, 12, 6, 2, 5, 6, 12, 4, 7, 8, 0, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 9, 10, 11, 12, 3, 5, 7, 8, 0, 3, 4, 10, 11, 12, 6, 3, 5, 6, 7, 8, 0, 3, 9, 11, 12, 6, 5, 7, 8, 7, 8, 0, 1, 2, 3, 4, 11, 12, 6, 5, 6]",[]
8,yi:9b-chat-v1.5-q4_K_M,True,"[7, 8, 6, 5, 2, 7, 8, 1, 2, 3, 12, 2, 6, 5, 12, 7, 8, 6, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 10, 12, 6, 3, 5, 7, 8, 0, 3, 4, 10, 11, 12, 6, 3, 5, 6, 7, 8, 7, 0, 3, 4, 9, 11, 12, 6, 5, 7, 8, 7, 8, 0, 2, 3, 12, 6, 5]","[2, 0, 0, 0]",[],"[7, 8, 6, 5, 2, 7, 8, 1, 2, 3, 12, 2, 6, 5, 12, 7, 8, 6, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 10, 12, 6, 3, 5, 7, 8, 0, 3, 4, 10, 11, 12, 6, 3, 5, 6, 7, 8, 7, 0, 3, 4, 9, 11, 12, 6, 5, 7, 8, 7, 8, 0, 2, 3, 12, 6, 5]",[]
9,yi:9b-chat-v1.5-q4_K_M,True,"[7, 8, 5, 7, 8, 1, 2, 3, 4, 12, 2, 6, 5, 12, 7, 8, 4, 6, 11, 6, 5, 6, 7, 8, 0, 3, 10, 11, 12, 3, 5, 7, 8, 0, 3, 4, 10, 11, 12, 6, 3, 5, 6, 7, 8, 7, 8, 0, 3, 4, 9, 11, 12, 6, 5, 7, 8, 7, 8, 0, 2, 3, 4, 12, 6, 5]","[0, 0]",[],"[7, 8, 5, 7, 8, 1, 2, 3, 4, 12, 2, 6, 5, 12, 7, 8, 4, 6, 11, 6, 5, 6, 8, 0, 3, 10, 11, 12, 3, 5, 7, 8, 0, 3, 4, 10, 11, 12, 6, 3, 5, 6, 7, 8, 7, 8, 0, 3, 4, 9, 11, 12, 6, 5, 8, 7, 8, 0, 2, 3, 4, 12, 6, 5]","[7, 7]"
