result_id,model,seed,category,asset
0,qwen2.5:7b-instruct-q4_K_M,169,[],"[10, 6, 7, 8]"
1,qwen2.5:7b-instruct-q4_K_M,429,[],"[8, 6, 7]"
2,qwen2.5:7b-instruct-q4_K_M,707,[],"[6, 7, 8]"
3,qwen2.5:7b-instruct-q4_K_M,429,[],"[8, 10, 6, 7]"
4,qwen2.5:7b-instruct-q4_K_M,651,[],"[8, 7, 6, 10]"
5,qwen2.5:7b-instruct-q4_K_M,289,[],"[6, 7, 8]"
6,qwen2.5:7b-instruct-q4_K_M,491,[],"[6, 8, 7]"
7,qwen2.5:7b-instruct-q4_K_M,864,[],"[8, 6, 7, 10]"
8,qwen2.5:7b-instruct-q4_K_M,222,[],"[6, 8, 7]"
9,qwen2.5:7b-instruct-q4_K_M,812,[],"[6, 7, 8]"
