result_id,model,seed,category,asset
0,phi3:14b-medium-128k-instruct-q4_K_M,169,[3],[3]
0,phi3:14b-medium-128k-instruct-q4_K_M,169,[3],[3]
1,phi3:14b-medium-128k-instruct-q4_K_M,429,[3],[3]
1,phi3:14b-medium-128k-instruct-q4_K_M,429,[3],[3]
2,phi3:14b-medium-128k-instruct-q4_K_M,707,[3],[3]
2,phi3:14b-medium-128k-instruct-q4_K_M,707,[3],[3]
3,phi3:14b-medium-128k-instruct-q4_K_M,429,[3],[3]
3,phi3:14b-medium-128k-instruct-q4_K_M,429,[3],[3]
4,phi3:14b-medium-128k-instruct-q4_K_M,651,[3],[3]
4,phi3:14b-medium-128k-instruct-q4_K_M,651,[3],[3]
