result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 19, 20, 20, 21, 21, 22, 22, 23, 23, 25, 25, 26, 26, 27, 27, 30, 31, 31, 32, 32, 33, 38, 41, 42, 43, 45, 46, 47, 48, 49]","[0, 5, 7, 7, 9, 15, 17, 18, 23, 33, 41, 47]","[22, 27, 33]","[0, 9, 10, 19, 21, 21, 22, 26, 27]","[0, 0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 20, 20, 23, 23, 25, 25, 26, 30, 31, 31, 32, 32, 38, 41, 42, 43, 45, 46, 47, 48, 49]"
1,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 19, 20, 20, 21, 21, 22, 22, 23, 23, 25, 25, 26, 26, 27, 27, 28, 30, 31, 31, 32, 32, 33, 38, 41, 42, 43, 45, 46, 47, 48, 49]","[0, 5, 7, 7, 9, 15, 17, 18, 19, 23, 28, 33, 41, 47]","[10, 22, 27, 33]","[0, 0, 9, 19, 22, 23, 23, 26, 26, 27, 43]","[0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 20, 20, 21, 21, 25, 25, 28, 30, 31, 31, 32, 32, 38, 41, 42, 45, 46, 47, 48, 49]"
0,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 19, 20, 20, 21, 21, 22, 22, 23, 23, 25, 25, 26, 26, 27, 28, 30, 31, 31, 32, 32, 33, 38, 41, 42, 43, 45, 46, 47, 48, 49]","[0, 5, 7, 7, 9, 15, 17, 18, 23, 28, 33, 41, 47]","[22, 33]","[0, 0, 9, 10, 19, 23, 27]","[0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 20, 20, 21, 21, 22, 23, 25, 25, 26, 26, 28, 30, 31, 31, 32, 32, 38, 41, 42, 43, 45, 46, 47, 48, 49]"
2,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 19, 20, 20, 21, 21, 22, 22, 23, 23, 25, 25, 26, 26, 27, 27, 30, 31, 31, 32, 32, 33, 38, 41, 42, 43, 45, 46, 47, 48, 49]","[0, 5, 7, 7, 9, 15, 17, 18, 19, 23, 33, 41, 47]","[22, 27, 33]","[0, 9, 10, 20, 21, 22, 23, 27]","[0, 0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 19, 20, 21, 23, 25, 25, 26, 26, 30, 31, 31, 32, 32, 38, 41, 42, 43, 45, 46, 47, 48, 49]"
1,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 19, 20, 20, 21, 21, 22, 22, 23, 23, 25, 25, 26, 26, 27, 28, 30, 31, 31, 32, 32, 33, 38, 41, 42, 43, 45, 46, 47, 48, 49]","[0, 5, 7, 7, 9, 15, 17, 18, 23, 28, 33, 41, 47]","[22, 33]","[0, 9, 19, 21, 22, 27]","[0, 0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 10, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 20, 20, 21, 23, 23, 25, 25, 26, 26, 28, 30, 31, 31, 32, 32, 38, 41, 42, 43, 45, 46, 47, 48, 49]"
3,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 19, 20, 20, 21, 21, 22, 22, 23, 23, 25, 25, 26, 26, 27, 28, 30, 31, 31, 32, 32, 33, 38, 41, 42, 43, 45, 46, 47, 48, 49]","[0, 5, 7, 7, 9, 15, 17, 18, 19, 23, 28, 33, 41, 47]","[22, 33]","[0, 0, 9, 19, 20, 21, 22, 23, 26, 27]","[0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 10, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 20, 21, 23, 25, 25, 26, 28, 30, 31, 31, 32, 32, 38, 41, 42, 43, 45, 46, 47, 48, 49]"
2,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 19, 20, 20, 21, 21, 22, 22, 23, 23, 25, 25, 26, 26, 27, 27, 28, 30, 31, 31, 32, 32, 33, 38, 41, 42, 43, 45, 46, 47, 48, 49]","[0, 5, 7, 7, 9, 15, 17, 18, 23, 28, 33, 41, 47]","[22, 27, 33]","[0, 10, 19, 22, 23, 26]","[0, 0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 20, 20, 21, 21, 23, 25, 25, 26, 27, 28, 30, 31, 31, 32, 32, 38, 41, 42, 43, 45, 46, 47, 48, 49]"
4,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 19, 20, 20, 21, 21, 22, 22, 23, 23, 25, 25, 26, 26, 27, 28, 30, 31, 31, 32, 32, 33, 38, 41, 42, 43, 45, 46, 47, 48, 49]","[0, 5, 7, 7, 9, 15, 17, 18, 23, 28, 33, 41, 47]","[22, 33]","[0, 0, 10, 10, 19, 20, 21, 22, 23, 26, 27]","[0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 20, 21, 23, 25, 25, 26, 28, 30, 31, 31, 32, 32, 38, 41, 42, 43, 45, 46, 47, 48, 49]"
3,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 19, 20, 20, 21, 21, 22, 22, 23, 23, 25, 25, 26, 26, 27, 27, 30, 31, 31, 32, 32, 33, 38, 41, 42, 43, 45, 46, 47, 48, 49]","[0, 5, 7, 7, 9, 15, 17, 18, 19, 23, 33, 41, 47]","[22, 27, 33, 48]","[0, 0, 9, 19, 21, 22, 23, 27]","[0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 10, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 20, 20, 21, 23, 25, 25, 26, 26, 30, 31, 31, 32, 32, 38, 41, 42, 43, 45, 46, 47, 49]"
5,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 19, 20, 20, 21, 21, 22, 22, 23, 23, 25, 25, 26, 26, 27, 28, 30, 31, 32, 32, 33, 38, 41, 42, 43, 45, 46, 47, 48, 49]","[0, 5, 7, 7, 9, 15, 17, 18, 19, 23, 28, 33, 41, 47]","[22, 33, 48]","[0, 0, 0, 10, 10, 19, 21, 21, 22, 23, 23, 27, 43]","[0, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 11, 13, 14, 15, 16, 16, 17, 17, 18, 18, 20, 20, 25, 25, 26, 26, 28, 30, 31, 32, 32, 38, 41, 42, 45, 46, 47, 49]"
