result_id,model,seed,category,asset
0,yi:9b-chat-v1.5-q4_K_M,169,[],"[41, 52, 42, 40, 23, 24, 54, 53, 15, 27, 14, 0, 36, 34, 22, 35, 39]"
0,yi:9b-chat-v1.5-q4_K_M,169,[],"[41, 52, 42, 40, 23, 24, 54, 53, 15, 27, 14, 0, 36, 34, 22, 35, 39]"
1,yi:9b-chat-v1.5-q4_K_M,429,[],"[0, 39, 40, 42, 53, 36, 15, 41, 23, 27, 22, 34, 35, 52, 24, 14, 54]"
1,yi:9b-chat-v1.5-q4_K_M,429,[],"[0, 39, 40, 42, 53, 36, 15, 41, 23, 27, 22, 34, 35, 52, 24, 14, 54]"
2,yi:9b-chat-v1.5-q4_K_M,707,[],"[23, 24, 39, 53, 15, 54, 41, 14, 22, 36, 27, 35, 52, 0, 42, 34, 40]"
2,yi:9b-chat-v1.5-q4_K_M,707,[],"[23, 24, 39, 53, 15, 54, 41, 14, 22, 36, 27, 35, 52, 0, 42, 34, 40]"
3,yi:9b-chat-v1.5-q4_K_M,429,[],"[0, 39, 40, 42, 53, 36, 15, 41, 23, 27, 22, 34, 35, 52, 24, 14, 54]"
3,yi:9b-chat-v1.5-q4_K_M,429,[],"[0, 39, 40, 42, 53, 36, 15, 41, 23, 27, 22, 34, 35, 52, 24, 14, 54]"
4,yi:9b-chat-v1.5-q4_K_M,651,[],"[52, 14, 39, 41, 40, 34, 35, 42, 24, 27, 23, 0, 54, 22, 15, 36, 53]"
4,yi:9b-chat-v1.5-q4_K_M,651,[],"[52, 14, 39, 41, 40, 34, 35, 42, 24, 27, 23, 0, 54, 22, 15, 36, 53]"
5,yi:9b-chat-v1.5-q4_K_M,289,[],"[27, 34, 53, 15, 23, 39, 40, 14, 35, 22, 52, 36, 42, 41, 24, 0, 54]"
5,yi:9b-chat-v1.5-q4_K_M,289,[],"[27, 34, 53, 15, 23, 39, 40, 14, 35, 22, 52, 36, 42, 41, 24, 0, 54]"
6,yi:9b-chat-v1.5-q4_K_M,491,[],"[40, 42, 24, 0, 54, 22, 53, 23, 14, 15, 27, 35, 34, 36, 41, 39, 52]"
6,yi:9b-chat-v1.5-q4_K_M,491,[],"[40, 42, 24, 0, 54, 22, 53, 23, 14, 15, 27, 35, 34, 36, 41, 39, 52]"
7,yi:9b-chat-v1.5-q4_K_M,864,[],"[35, 23, 42, 14, 34, 27, 39, 52, 15, 54, 41, 36, 24, 53, 0, 40, 22]"
7,yi:9b-chat-v1.5-q4_K_M,864,[],"[35, 23, 42, 14, 34, 27, 39, 52, 15, 54, 41, 36, 24, 53, 0, 40, 22]"
8,yi:9b-chat-v1.5-q4_K_M,222,[],"[36, 35, 22, 27, 42, 34, 52, 53, 39, 40, 24, 0, 41, 54, 23, 14, 15]"
8,yi:9b-chat-v1.5-q4_K_M,222,[],"[36, 35, 22, 27, 42, 34, 52, 53, 39, 40, 24, 0, 41, 54, 23, 14, 15]"
9,yi:9b-chat-v1.5-q4_K_M,812,[],"[53, 0, 27, 40, 42, 15, 35, 36, 34, 54, 23, 24, 14, 52, 41, 22, 39]"
9,yi:9b-chat-v1.5-q4_K_M,812,[],"[53, 0, 27, 40, 42, 15, 35, 36, 34, 54, 23, 24, 14, 52, 41, 22, 39]"
