result_id,model,seed,category,asset
0,phi3:14b-medium-128k-instruct-q4_K_M,169,[],"[41, 52, 40, 24, 53, 15, 27, 14, 36, 34, 22, 35, 39]"
1,phi3:14b-medium-128k-instruct-q4_K_M,429,[],"[39, 40, 53, 36, 15, 41, 27, 22, 34, 35, 24, 14]"
2,phi3:14b-medium-128k-instruct-q4_K_M,707,[],"[24, 39, 53, 15, 41, 14, 22, 36, 27, 35, 34, 40]"
3,phi3:14b-medium-128k-instruct-q4_K_M,429,[],"[39, 40, 53, 36, 15, 41, 27, 22, 34, 35, 24, 14]"
4,phi3:14b-medium-128k-instruct-q4_K_M,651,[],"[52, 14, 39, 41, 40, 34, 35, 24, 27, 22, 15, 36, 53]"
5,phi3:14b-medium-128k-instruct-q4_K_M,289,[],"[27, 34, 53, 15, 39, 40, 14, 35, 22, 36, 41, 24]"
6,phi3:14b-medium-128k-instruct-q4_K_M,491,"[2, 5, 12, 33]","[2, 22]"
7,phi3:14b-medium-128k-instruct-q4_K_M,864,[55],"[50, 55]"
8,phi3:14b-medium-128k-instruct-q4_K_M,222,"[56, 41, 49]","[56, 41, 49]"
9,phi3:14b-medium-128k-instruct-q4_K_M,812,"[5, 4]","[5, 4]"
