result_id,model,seed,category,asset
0,yi:9b-chat-v1.5-q4_K_M,169,[],"[10, 3, 6, 0, 7, 1, 14, 8]"
5,yi:9b-chat-v1.5-q4_K_M,289,[],"[3, 10, 6, 12, 0, 7, 1, 8]"
1,yi:9b-chat-v1.5-q4_K_M,429,[],"[1, 8, 12, 10, 6, 7, 0, 3]"
6,yi:9b-chat-v1.5-q4_K_M,491,[],"[0, 6, 3, 1, 8, 10, 7]"
2,yi:9b-chat-v1.5-q4_K_M,707,[],"[1, 6, 3, 12, 7, 14, 8, 10, 0]"
7,yi:9b-chat-v1.5-q4_K_M,864,[],"[8, 6, 7, 12, 1, 3, 10, 0]"
3,yi:9b-chat-v1.5-q4_K_M,429,[],"[14, 1, 8, 10, 6, 7, 0, 3]"
8,yi:9b-chat-v1.5-q4_K_M,222,[],"[6, 1, 8, 10, 0, 14, 7, 3]"
4,yi:9b-chat-v1.5-q4_K_M,651,[],"[8, 7, 12, 6, 10, 3, 0, 1]"
5,yi:9b-chat-v1.5-q4_K_M,289,[],"[3, 10, 6, 0, 7, 1, 8]"
