result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 1, 3, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 12, 13, 13, 14, 14, 15, 15, 16, 16, 17, 17, 17, 18, 19, 19, 20, 20, 20, 21, 22, 22, 23, 24, 24, 25, 25, 26, 26, 26, 27, 28, 28, 29, 30, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 35, 35, 36, 36, 37, 37, 38, 39, 40, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 45, 46]","[0, 3, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 11, 11, 12, 13, 13, 14, 21, 24, 24, 25, 26, 31, 31, 32, 37, 41, 43, 43]","[9, 16, 19, 24, 31]","[0, 1, 7, 9, 10, 10, 17, 19, 20, 20, 21, 22, 22, 23, 26, 26, 26, 27, 33, 33, 33, 34, 37, 37, 46]","[3, 5, 6, 7, 7, 8, 8, 11, 11, 12, 12, 13, 13, 15, 15, 16, 17, 17, 18, 20, 25, 28, 28, 29, 30, 31, 31, 32, 32, 35, 35, 36, 36, 38, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 45]"
1,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 1, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 12, 13, 13, 14, 14, 15, 15, 16, 16, 16, 17, 17, 17, 18, 19, 20, 20, 20, 21, 21, 22, 22, 23, 24, 24, 25, 26, 26, 26, 27, 27, 28, 28, 29, 29, 29, 30, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 36, 37, 37, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 45, 46, 46, 47, 47]","[1, 4, 4, 5, 5, 6, 6, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13, 13, 16, 19, 21, 24, 24, 25, 26, 27, 31, 31, 32, 37, 43]","[0, 9, 27, 31, 34, 34]","[0, 1, 9, 10, 10, 10, 16, 19, 20, 20, 23, 24, 24, 26, 26, 26, 27, 31, 33, 33, 33, 34, 37, 37]","[3, 4, 5, 5, 6, 6, 7, 7, 8, 8, 11, 11, 12, 12, 13, 14, 15, 15, 16, 18, 25, 28, 28, 29, 29, 30, 31, 32, 35, 35, 36, 38, 38, 39, 39, 40, 40, 41, 41, 42, 43, 43, 44, 46, 46]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 1, 2, 3, 4, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 12, 12, 13, 13, 14, 14, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 19, 19, 20, 20, 20, 21, 21, 22, 22, 23, 23, 24, 24, 24, 25, 26, 26, 26, 27, 27, 28, 29, 29, 30, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 37, 37, 38, 39, 39, 40, 41, 41, 42, 43, 43, 44, 44, 44, 46, 46, 47]","[0, 1, 2, 4, 5, 6, 6, 8, 8, 9, 9, 10, 10, 11, 11, 12, 13, 13, 17, 21, 24, 24, 24, 26, 27, 31, 31, 32, 37, 43, 43, 46]","[23, 24, 27]","[0, 0, 1, 2, 6, 9, 9, 10, 10, 10, 12, 19, 20, 20, 21, 21, 22, 22, 23, 24, 26, 26, 26, 27, 33, 33, 33, 34, 34, 34, 37, 43]","[3, 4, 7, 7, 8, 8, 11, 12, 12, 13, 14, 14, 15, 16, 16, 17, 24, 25, 28, 30, 31, 32, 32, 32, 35, 35, 35, 36, 37, 38, 39, 39, 40, 41, 41, 42, 43, 44, 44, 44, 46]"
1,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 1, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 12, 12, 13, 13, 14, 15, 15, 16, 16, 17, 17, 17, 18, 18, 19, 19, 20, 20, 20, 21, 21, 22, 22, 23, 23, 24, 24, 25, 25, 26, 26, 27, 28, 28, 29, 29, 29, 30, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 38, 39, 39, 39, 40, 40, 41, 42, 42, 43, 43, 44, 44, 45, 46, 47, 47, 49]","[3, 4, 4, 5, 5, 6, 6, 7, 8, 9, 9, 10, 10, 11, 12, 13, 19, 21, 24, 24, 25, 26, 27, 31, 31, 32, 37, 38, 43, 43, 47]","[5, 17, 19, 20, 23]","[0, 4, 8, 8, 9, 10, 10, 10, 13, 19, 20, 20, 21, 21, 22, 22, 23, 24, 24, 26, 27, 29, 33, 33, 33, 34, 34, 34, 35, 37]","[3, 3, 4, 6, 6, 7, 7, 7, 8, 11, 12, 12, 12, 13, 14, 16, 16, 17, 17, 18, 18, 25, 28, 28, 29, 31, 31, 32, 32, 35, 35, 36, 36, 38, 39, 39, 39, 40, 40, 41, 42, 42, 43, 44, 44, 45, 46, 49]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 2, 3, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 12, 13, 13, 14, 14, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 23, 23, 24, 24, 25, 25, 26, 26, 26, 27, 27, 28, 28, 29, 30, 31, 31, 31, 32, 32, 32, 33, 33, 34, 34, 35, 35, 36, 37, 37, 38, 39, 39, 39, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 47]","[2, 4, 5, 5, 6, 6, 7, 8, 8, 9, 10, 11, 12, 13, 13, 16, 20, 21, 21, 24, 24, 25, 25, 26, 27, 31, 31, 32, 37, 41, 43]","[19, 20, 22, 26, 34]","[9, 10, 10, 10, 14, 16, 17, 19, 20, 20, 21, 21, 22, 23, 24, 24, 25, 26, 26, 27, 27, 33, 33, 37, 37, 41]","[0, 3, 5, 5, 6, 6, 7, 8, 8, 8, 11, 11, 12, 13, 13, 14, 15, 16, 17, 25, 28, 29, 30, 31, 31, 32, 32, 35, 35, 36, 38, 39, 39, 39, 40, 41, 42, 42, 43, 43, 44, 44, 46, 47]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 1, 1, 3, 3, 4, 4, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 12, 12, 13, 13, 14, 14, 15, 15, 16, 16, 16, 17, 17, 17, 18, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 24, 24, 25, 26, 26, 26, 27, 28, 29, 29, 29, 30, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 37, 37, 38, 38, 39, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 45, 46, 46, 47, 47]","[1, 1, 3, 4, 4, 5, 6, 6, 7, 8, 8, 9, 9, 10, 10, 11, 11, 12, 13, 13, 16, 19, 21, 21, 24, 24, 25, 26, 27, 31, 31, 32, 37, 43]","[1, 32]","[1, 6, 9, 9, 10, 15, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 24, 24, 26, 26, 26, 33, 33, 33, 34, 34, 34, 37, 47]","[3, 4, 5, 6, 7, 7, 8, 8, 11, 11, 12, 12, 13, 13, 14, 14, 15, 16, 17, 17, 17, 25, 28, 29, 31, 31, 32, 32, 35, 35, 35, 36, 38, 38, 39, 39, 39, 40, 40, 41, 42, 42, 43, 43, 44, 44, 44, 45, 46]"
1,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 1, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 8, 9, 10, 10, 10, 11, 11, 12, 12, 12, 13, 13, 14, 14, 14, 15, 15, 16, 16, 17, 17, 17, 18, 18, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 23, 23, 23, 24, 24, 25, 25, 26, 26, 26, 27, 28, 28, 29, 29, 29, 30, 30, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 38, 38, 39, 39, 39, 40, 40, 41, 41, 42, 43, 43, 44, 44, 45, 46, 49]","[1, 3, 4, 4, 5, 5, 6, 6, 8, 10, 10, 11, 11, 12, 13, 13, 16, 21, 21, 22, 24, 24, 25, 26, 27, 31, 32, 37, 43, 43]","[14, 16]","[0, 1, 5, 10, 10, 10, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 23, 23, 23, 24, 24, 26, 26, 26, 30, 31, 31, 33, 33, 34, 34, 34, 35, 36, 37, 37, 43, 44]","[3, 4, 5, 8, 8, 12, 12, 12, 13, 14, 14, 15, 15, 17, 17, 18, 25, 25, 28, 28, 29, 29, 31, 32, 32, 35, 35, 36, 38, 38, 39, 39, 39, 40, 41, 42, 43, 44, 45, 46, 49]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 2, 3, 3, 4, 4, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 12, 12, 13, 13, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 19, 20, 20, 20, 21, 21, 22, 22, 23, 23, 24, 24, 25, 25, 26, 26, 26, 27, 28, 29, 29, 30, 31, 31, 31, 32, 32, 32, 33, 33, 34, 34, 35, 35, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 41, 41, 42, 43, 43, 44, 44, 45, 46, 46, 47, 47, 49]","[0, 2, 4, 4, 5, 6, 6, 7, 8, 8, 9, 10, 10, 11, 12, 13, 13, 21, 24, 24, 25, 25, 26, 27, 31, 31, 32, 37, 41, 42, 43, 43, 46]","[0, 20, 26]","[0, 2, 3, 6, 6, 7, 9, 10, 10, 10, 12, 19, 20, 20, 21, 21, 22, 22, 23, 23, 24, 24, 26, 26, 27, 33, 33, 34, 37, 37, 39]","[3, 4, 4, 7, 8, 8, 11, 12, 12, 13, 16, 16, 17, 18, 25, 28, 29, 29, 30, 31, 31, 35, 35, 36, 38, 38, 39, 40, 40, 41, 41, 42, 43, 43, 44, 44, 45, 46, 47, 47, 49]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 1, 1, 3, 4, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 12, 12, 13, 13, 14, 14, 15, 15, 16, 16, 17, 17, 17, 19, 20, 20, 20, 21, 21, 21, 22, 22, 23, 23, 24, 24, 24, 25, 25, 26, 26, 26, 27, 28, 28, 29, 29, 30, 30, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 36, 37, 37, 38, 38, 39, 39, 40, 41, 41, 42, 42, 43, 43, 44, 44, 45, 46, 47, 47]","[1, 3, 4, 5, 6, 6, 8, 9, 10, 11, 11, 12, 13, 13, 21, 21, 24, 24, 25, 26, 27, 31, 31, 32, 37, 43, 43, 47]","[20, 21, 23, 26]","[1, 8, 9, 10, 10, 10, 13, 14, 19, 20, 20, 21, 22, 22, 23, 24, 24, 25, 26, 26, 33, 33, 34, 34, 34, 37, 37]","[3, 5, 6, 7, 8, 11, 11, 12, 12, 13, 14, 15, 28, 28, 29, 29, 30, 30, 31, 32, 32, 35, 35, 36, 38, 39, 39, 40, 41, 42, 42, 43, 43, 44, 44, 45, 46]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 2, 3, 4, 4, 6, 6, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 12, 13, 13, 14, 14, 15, 15, 16, 16, 16, 17, 17, 17, 18, 19, 20, 20, 20, 21, 21, 21, 22, 22, 23, 24, 24, 25, 25, 26, 26, 26, 27, 28, 28, 29, 29, 30, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 36, 36, 37, 37, 38, 38, 39, 39, 40, 40, 40, 41, 41, 42, 42, 43, 44, 44, 45, 46, 46]","[0, 2, 3, 4, 4, 6, 6, 7, 8, 10, 12, 13, 13, 21, 21, 22, 24, 25, 25, 26, 27, 31, 31, 32, 35, 37, 41, 42, 43]","[0, 7, 20, 31]","[0, 2, 9, 10, 10, 10, 19, 20, 20, 21, 21, 21, 22, 23, 26, 26, 27, 32, 33, 33, 34, 34, 34, 37, 38]","[3, 4, 7, 8, 11, 11, 12, 13, 13, 14, 15, 15, 16, 16, 17, 17, 17, 18, 24, 25, 28, 31, 31, 32, 35, 35, 36, 36, 38, 39, 39, 40, 40, 40, 41, 41, 42, 42, 43, 44, 44, 45, 46]"
