result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,yi:9b-chat-v1.5-q4_K_M,True,"[6, 5, 6, 0, 6, 5, 6, 5, 6, 8, 5, 6, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 7, 0, 3, 0, 2]","[5, 5, 5, 4, 9, 10, 11]",[],"[6, 5, 6, 0, 6, 5, 6, 5, 6, 8, 5, 6, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 7, 0, 3, 0, 2]",[]
1,yi:9b-chat-v1.5-q4_K_M,True,"[6, 5, 6, 6, 5, 6, 5, 6, 7, 5, 6, 8, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 6, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 0, 3, 0]","[5, 5, 5, 4, 9, 10, 11]",[],"[6, 5, 6, 6, 5, 6, 5, 6, 7, 5, 6, 8, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 6, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 0, 3, 0]",[]
2,yi:9b-chat-v1.5-q4_K_M,True,"[6, 5, 6, 6, 5, 6, 5, 6, 8, 5, 6, 7, 5, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 8, 0, 3, 0]","[5, 5, 5, 5, 4, 9, 10, 11]",[],"[6, 5, 6, 6, 5, 6, 5, 6, 8, 5, 6, 7, 5, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 8, 0, 3, 0]",[]
3,yi:9b-chat-v1.5-q4_K_M,True,"[6, 5, 6, 0, 6, 5, 6, 5, 6, 7, 8, 5, 6, 5, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 7, 3, 0, 2]","[5, 5, 5, 5, 9, 10, 11]",[],"[6, 5, 6, 0, 6, 5, 6, 5, 6, 7, 8, 5, 6, 5, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 7, 3, 0, 2]",[]
4,yi:9b-chat-v1.5-q4_K_M,True,"[6, 5, 6, 6, 5, 6, 5, 6, 8, 5, 6, 5, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 3, 0]","[5, 5, 5, 4, 9, 10, 11]",[],"[6, 5, 6, 6, 5, 6, 5, 6, 8, 5, 6, 5, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 3, 0]",[]
5,yi:9b-chat-v1.5-q4_K_M,True,"[6, 6, 6, 5, 6, 5, 6, 7, 8, 5, 6, 5, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 8, 0, 3, 0]","[5, 5, 4, 9, 10, 11]",[],"[6, 6, 6, 5, 6, 5, 6, 7, 8, 5, 6, 5, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 8, 0, 3, 0]",[]
6,yi:9b-chat-v1.5-q4_K_M,True,"[6, 5, 6, 6, 5, 6, 5, 6, 7, 5, 6, 5, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 6, 10, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 0, 3, 0]","[5, 5, 5, 5, 4, 9, 10, 11]",[],"[6, 5, 6, 6, 5, 6, 5, 6, 7, 5, 6, 5, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 6, 10, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 0, 3, 0]",[]
7,yi:9b-chat-v1.5-q4_K_M,True,"[6, 6, 6, 5, 6, 5, 6, 8, 5, 6, 7, 5, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 6, 7, 8, 8, 0, 3, 0]","[5, 5, 5, 4, 9, 10, 11]",[],"[6, 6, 6, 5, 6, 5, 6, 8, 5, 6, 7, 5, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 6, 7, 8, 8, 0, 3, 0]",[]
8,yi:9b-chat-v1.5-q4_K_M,True,"[6, 6, 0, 6, 5, 6, 5, 6, 7, 8, 5, 6, 5, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 0, 3, 0]","[5, 5, 5, 4, 9, 10, 11]",[],"[6, 6, 0, 6, 5, 6, 5, 6, 7, 8, 5, 6, 5, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 0, 3, 0]",[]
9,yi:9b-chat-v1.5-q4_K_M,True,"[5, 6, 6, 6, 5, 6, 5, 6, 7, 8, 5, 6, 5, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 0, 3, 0]","[5, 5, 5, 5, 4, 9, 10, 11]",[],"[5, 6, 6, 6, 5, 6, 5, 6, 7, 8, 5, 6, 5, 6, 5, 6, 5, 0, 1, 2, 3, 4, 9, 10, 11, 12, 0, 1, 2, 3, 4, 5, 6, 11, 12, 0, 1, 2, 3, 4, 12, 7, 8, 7, 8, 0, 3, 0]",[]
