result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,qwen2.5:7b-instruct-q4_K_M,False,"[1, 1, 1, 2, 2, 2, 3, 4, 5, 5, 6, 7, 8, 10, 10, 10, 10, 11, 12, 12, 12]","[4, 5, 6, 10, 11, 12, 12]","[2, 7, 8, 10, 12]","[4, 5, 12, 12]","[1, 1, 1, 2, 2, 3, 5, 6, 10, 10, 10, 11]"
1,qwen2.5:7b-instruct-q4_K_M,False,"[1, 1, 1, 2, 2, 2, 4, 5, 5, 6, 7, 8, 9, 10, 10, 10, 10, 11, 12, 12, 12]","[4, 5, 6, 9, 10, 11, 12, 12]","[2, 7, 10, 12]","[2, 2, 4, 8, 12, 12]","[1, 1, 1, 5, 5, 6, 9, 10, 10, 10, 11]"
2,qwen2.5:7b-instruct-q4_K_M,False,"[1, 1, 1, 2, 2, 2, 4, 5, 5, 6, 7, 8, 9, 10, 10, 10, 10, 11, 12, 12, 12]","[4, 5, 6, 9, 10, 11, 12, 12]","[8, 10, 12]","[2, 2, 4, 5, 5, 7, 12, 12]","[1, 1, 1, 2, 6, 9, 10, 10, 10, 11]"
3,qwen2.5:7b-instruct-q4_K_M,False,"[1, 1, 1, 2, 2, 2, 3, 4, 5, 5, 6, 7, 8, 10, 10, 10, 10, 11, 12, 12, 12]","[4, 5, 6, 10, 11, 12, 12]","[2, 7, 8, 10, 12, 12]","[4, 5, 12]","[1, 1, 1, 2, 2, 3, 5, 6, 10, 10, 10, 11]"
4,qwen2.5:7b-instruct-q4_K_M,False,"[1, 1, 1, 2, 2, 2, 4, 5, 5, 6, 7, 8, 9, 10, 10, 10, 10, 11, 12, 12, 12]","[4, 5, 6, 9, 10, 11, 12, 12]","[7, 8, 10, 12]","[4, 5, 12, 12]","[1, 1, 1, 2, 2, 2, 5, 6, 9, 10, 10, 10, 11]"
5,qwen2.5:7b-instruct-q4_K_M,False,"[1, 1, 1, 2, 2, 2, 3, 4, 5, 5, 6, 7, 8, 10, 10, 10, 10, 11, 12, 12, 12]","[4, 5, 6, 10, 11, 12, 12]","[2, 7, 8, 10, 12]","[4, 5, 12, 12]","[1, 1, 1, 2, 2, 3, 5, 6, 10, 10, 10, 11]"
6,qwen2.5:7b-instruct-q4_K_M,False,"[1, 1, 1, 2, 2, 2, 4, 5, 5, 6, 7, 8, 10, 10, 10, 10, 11, 12, 12, 12]","[4, 5, 6, 10, 11, 12, 12]","[2, 7, 8, 10, 12]","[2, 4, 5, 12, 12]","[1, 1, 1, 2, 5, 6, 10, 10, 10, 11]"
7,qwen2.5:7b-instruct-q4_K_M,False,"[1, 1, 1, 2, 2, 2, 3, 4, 5, 5, 6, 7, 8, 10, 10, 10, 10, 11, 12, 12, 12]","[4, 5, 6, 10, 11, 12, 12]","[7, 8, 12, 12]","[2, 4, 5, 12]","[1, 1, 1, 2, 2, 3, 5, 6, 10, 10, 10, 10, 11]"
8,qwen2.5:7b-instruct-q4_K_M,False,"[1, 1, 1, 2, 2, 2, 3, 4, 5, 5, 6, 7, 8, 9, 10, 10, 10, 10, 11, 12, 12, 12]","[4, 5, 6, 9, 10, 11, 12, 12]","[2, 7, 10, 12]","[2, 4, 5, 5, 8, 12, 12]","[1, 1, 1, 2, 3, 6, 9, 10, 10, 10, 11]"
9,qwen2.5:7b-instruct-q4_K_M,False,"[1, 1, 1, 2, 2, 2, 4, 5, 5, 6, 7, 8, 9, 10, 10, 10, 10, 11, 12, 12, 12]","[4, 5, 6, 9, 10, 11, 12, 12]","[2, 7, 8, 10, 12]","[2, 2, 4, 5, 5, 12, 12]","[1, 1, 1, 6, 9, 10, 10, 10, 11]"
