result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 11, 11, 12, 12, 12]","[0, 0, 1, 1, 1, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 9, 10, 11, 12, 12]","[2, 2, 5, 5, 7, 7, 8]","[0, 0, 1, 1, 1, 2, 2, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 8, 8, 9, 10, 10, 11, 11, 12, 12, 12]","[0, 0, 1, 3, 3, 3, 6, 6, 9, 10, 11, 11]"
1,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12, 12]","[0, 0, 1, 1, 2, 3, 3, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 9, 10, 11, 12, 12]","[2, 2, 5, 5, 5, 5, 5, 7, 8, 8]","[0, 1, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 8, 9, 10, 10, 11, 11, 12, 12, 12]","[0, 0, 0, 1, 1, 1, 6, 6, 6, 9, 10, 11, 11, 11]"
2,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12]","[0, 0, 1, 1, 1, 2, 3, 3, 4, 4, 5, 5, 5, 5, 6, 6, 9, 10, 11, 12, 12]","[2, 2, 2, 5, 5, 5, 5, 7, 7, 8, 8, 8]","[0, 0, 0, 0, 1, 1, 2, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 8, 10, 10, 11, 11, 12, 12, 12]","[1, 1, 3, 6, 6, 9, 9, 9, 10, 11]"
3,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 9, 10, 10, 10, 11, 11, 12, 12, 12]","[0, 0, 1, 1, 1, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 9, 10, 11, 12, 12]","[2, 5, 5, 7, 7, 8]","[0, 0, 0, 1, 1, 2, 2, 2, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 8, 8, 9, 9, 9, 10, 10, 12, 12, 12]","[0, 1, 1, 3, 3, 6, 6, 9, 10, 11, 11]"
4,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12]","[0, 0, 1, 1, 1, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 9, 10, 11, 12, 12]","[2, 2, 2, 5, 5, 5, 7, 8, 8]","[0, 0, 0, 0, 1, 1, 1, 2, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 8, 9, 9, 9, 10, 10, 11, 11, 12, 12, 12]","[1, 3, 6, 10, 11]"
5,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 12, 12, 12]","[0, 0, 1, 1, 1, 2, 3, 3, 4, 4, 5, 5, 5, 5, 6, 6, 9, 10, 11, 12, 12]","[2, 5, 5, 5, 5, 7, 7, 8, 8]","[0, 0, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 7, 8, 8, 9, 10, 10, 11, 11, 11, 12, 12, 12]","[0, 0, 1, 1, 1, 9, 9, 10, 11]"
6,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 12, 12, 12]","[0, 0, 1, 1, 1, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 9, 10, 11, 12, 12]","[2, 2, 5, 5, 5, 5, 7, 7, 8]","[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 8, 8, 9, 10, 10, 11, 11, 11, 12, 12, 12]","[3, 6, 6, 6, 9, 9, 10, 11]"
7,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 12, 12, 12]","[0, 0, 1, 1, 1, 3, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 9, 10, 11, 12, 12]","[2, 2, 2, 5, 5, 5, 5, 7]","[0, 0, 0, 1, 1, 1, 2, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12]","[0, 1, 3, 3, 6, 6, 9, 11, 12]"
8,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 11, 11, 12, 12, 12]","[0, 0, 1, 1, 1, 2, 3, 3, 4, 4, 5, 5, 5, 5, 5, 6, 6, 9, 10, 11, 12, 12]","[2, 2, 2, 7]","[0, 0, 1, 1, 2, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 8, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12]","[0, 0, 1, 1, 3, 3, 6, 6, 6, 9, 11]"
9,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 12, 12, 12]","[0, 0, 1, 1, 1, 2, 3, 3, 4, 4, 4, 5, 5, 6, 6, 9, 10, 11, 12, 12]","[5, 5, 5, 7, 7, 8, 8]","[0, 0, 0, 1, 1, 2, 2, 2, 2, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 8, 10, 10, 11, 12, 12, 12]","[0, 1, 1, 3, 3, 6, 6, 9, 9, 9, 10, 11, 11, 11]"
