result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12]",[],"[2, 4, 5, 12]","[7, 8]","[1, 3, 10, 11]"
1,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12]",[],"[2, 4, 5, 8, 12]",[7],"[1, 3, 10, 11]"
2,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12]",[],"[2, 4, 5, 7, 12]",[8],"[1, 3, 10, 11]"
3,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12]",[],"[2, 4, 5, 8, 12]",[7],"[1, 3, 10, 11]"
4,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12]",[],"[2, 4, 5, 7, 8, 12]",[],"[1, 3, 10, 11]"
5,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12]",[],"[2, 4, 5, 12]","[7, 8]","[1, 3, 10, 11]"
6,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12]",[],"[2, 4, 5, 12]",[7],"[1, 3, 8, 10, 11]"
7,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12]",[],"[2, 4, 5, 7, 12]",[],"[0, 1, 3, 8, 10, 11]"
8,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12]",[],"[2, 4, 5, 8, 12]",[7],"[1, 3, 10, 11]"
9,phi3:14b-medium-128k-instruct-q4_K_M,False,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12]",[],"[2, 4, 5, 12]","[7, 8]","[1, 3, 10, 11]"
