result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 8, 8, 8, 9, 9, 9, 11]","[0, 3, 4, 6, 7, 8, 8, 11]",[],"[1, 2, 2, 3, 3, 4, 4, 4, 4, 8]","[0, 0, 0, 0, 1, 5, 5, 5, 6, 6, 7, 8, 8, 9, 9, 9, 11]"
1,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 7, 8, 8, 8, 8, 9, 9, 9, 11]","[0, 4, 6, 7, 8, 8, 8, 11]",[],"[1, 2, 3, 4, 4, 8]","[0, 0, 0, 0, 1, 2, 3, 4, 5, 5, 5, 6, 6, 7, 8, 8, 8, 9, 9, 9, 11]"
2,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 7, 8, 8, 8, 8, 9, 9, 9, 11]","[0, 2, 3, 4, 6, 7, 8, 8, 8, 11]",[],"[1, 1, 2, 3, 3, 4, 4, 4, 8]","[0, 0, 0, 2, 5, 5, 5, 6, 6, 7, 8, 8, 8, 9, 9, 9, 11]"
3,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 8, 8, 8, 9, 9, 9, 11]","[0, 4, 6, 7, 8, 8, 11]",[],"[4, 4, 4, 4, 8]","[0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 5, 5, 5, 6, 6, 7, 8, 8, 9, 9, 9, 11]"
4,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 7, 8, 8, 8, 9, 9, 9, 11]","[0, 1, 4, 4, 6, 7, 8, 8, 11]",[],"[1, 1, 2, 2, 3, 3, 4, 4, 8]","[0, 0, 0, 0, 4, 5, 5, 5, 6, 6, 7, 8, 8, 9, 9, 9, 11]"
5,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 8, 8, 8, 9, 9, 9, 11]","[0, 4, 4, 6, 7, 8, 8, 11]",[],"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 8]","[0, 0, 0, 5, 5, 5, 6, 6, 7, 8, 8, 9, 9, 9, 11]"
6,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 7, 8, 8, 8, 9, 9, 9, 11]","[4, 6, 7, 8, 8, 11]",[],"[1, 1, 2, 3, 3, 4, 8]","[0, 0, 0, 0, 2, 4, 4, 5, 5, 5, 6, 6, 7, 8, 8, 9, 9, 9, 11]"
7,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 7, 8, 8, 8, 9, 9, 9, 11]","[0, 0, 4, 6, 7, 8, 8, 11]",[],"[1, 1, 2, 3, 4, 4, 8]","[0, 0, 0, 0, 2, 3, 4, 5, 5, 5, 6, 6, 7, 8, 8, 9, 9, 9, 11]"
8,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 8, 8, 8, 9, 9, 9, 11]","[0, 4, 4, 6, 7, 8, 8, 11]",[],"[1, 2, 2, 3, 3, 4, 4, 4, 8]","[0, 0, 0, 0, 1, 4, 5, 5, 5, 6, 6, 7, 8, 8, 9, 9, 9, 11]"
9,yi:9b-chat-v1.5-q4_K_M,False,"[0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 7, 8, 8, 8, 8, 9, 9, 9, 11]","[4, 6, 7, 8, 8, 11]",[],"[1, 1, 2, 2, 3, 3, 4, 4, 4, 8]","[0, 0, 0, 0, 5, 5, 5, 6, 6, 7, 8, 8, 8, 9, 9, 9, 11]"
