result_id,model,seed,category,asset
0,phi3:14b-medium-128k-instruct-q4_K_M,169,[],[6]
1,phi3:14b-medium-128k-instruct-q4_K_M,429,[],[]
2,phi3:14b-medium-128k-instruct-q4_K_M,707,[],[6]
3,phi3:14b-medium-128k-instruct-q4_K_M,429,[],[6]
4,phi3:14b-medium-128k-instruct-q4_K_M,651,[],[6]
5,phi3:14b-medium-128k-instruct-q4_K_M,289,[],[6]
6,phi3:14b-medium-128k-instruct-q4_K_M,491,[],[]
7,phi3:14b-medium-128k-instruct-q4_K_M,864,[],[6]
8,phi3:14b-medium-128k-instruct-q4_K_M,222,[],[9]
9,phi3:14b-medium-128k-instruct-q4_K_M,812,[],[]
