result_id,model,seed,category,asset
0,yi:9b-chat-v1.5-q4_K_M,169,[],"[2, 10, 3, 6, 0, 12, 9, 7, 11, 15, 13, 14, 16, 5, 8]"
1,yi:9b-chat-v1.5-q4_K_M,429,[],"[9, 14, 11, 4, 8, 12, 10, 2, 6, 7, 16, 15, 5, 0]"
2,yi:9b-chat-v1.5-q4_K_M,707,[],"[2, 6, 5, 3, 9, 4, 12, 16, 15, 14, 11, 8, 10, 0]"
3,yi:9b-chat-v1.5-q4_K_M,429,[],"[9, 14, 1, 11, 8, 12, 10, 2, 6, 7, 16, 5, 0, 3]"
4,yi:9b-chat-v1.5-q4_K_M,651,[],"[5, 8, 7, 9, 12, 6, 15, 10, 3, 14, 16, 0, 11, 4]"
5,yi:9b-chat-v1.5-q4_K_M,289,[],"[14, 2, 16, 3, 9, 11, 10, 6, 12, 0, 7, 5]"
6,yi:9b-chat-v1.5-q4_K_M,491,[],"[2, 0, 14, 6, 3, 4, 5, 8, 11, 10, 9, 16, 7, 12, 15]"
7,yi:9b-chat-v1.5-q4_K_M,864,[],"[11, 8, 16, 6, 7, 12, 14, 2, 3, 10, 5, 0, 15, 9]"
8,yi:9b-chat-v1.5-q4_K_M,222,[],"[2, 6, 11, 9, 8, 16, 12, 0, 14, 4, 3]"
9,yi:9b-chat-v1.5-q4_K_M,812,[],"[2, 14, 0, 6, 7, 16, 8, 3, 10, 5, 4, 11, 9, 12]"
