result_id,model,seed,category,asset
0,deepseek-r1:14b-qwen-distill-q4_K_M,169,"[70, 40, 78, 86, 46, 76, 48, 45, 73, 72, 71]","[8, 28, 64, 81, 21, 86, 50, 27, 20, 29, 9, 26, 44, 65]"
1,deepseek-r1:14b-qwen-distill-q4_K_M,429,"[72, 42, 86, 71, 78]","[21, 27, 50, 44, 81, 55, 65, 26, 10, 9, 29, 86, 63, 8, 20, 28, 43]"
2,deepseek-r1:14b-qwen-distill-q4_K_M,707,"[86, 74, 46, 72, 73, 78]","[43, 86, 20, 27, 44, 63, 9, 21, 29, 26, 28, 58, 55, 8, 39]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,169,"[78, 86, 76, 47, 85, 73, 71]","[8, 28, 64, 81, 43, 21, 86, 50, 27, 20, 29, 9, 26, 65]"
3,deepseek-r1:14b-qwen-distill-q4_K_M,429,"[45, 73, 40, 46, 86, 48, 47, 74, 78]","[27, 44, 81, 55, 65, 26, 9, 29, 86, 64, 8, 20, 56, 28]"
1,deepseek-r1:14b-qwen-distill-q4_K_M,429,"[45, 73, 78, 76]","[27, 50, 44, 81, 55, 26, 9, 29, 86, 58, 8, 20, 28, 43]"
4,deepseek-r1:14b-qwen-distill-q4_K_M,651,"[86, 78, 70, 46, 73]","[64, 29, 86, 21, 50, 56, 20, 28, 63, 8, 9, 26, 27]"
2,deepseek-r1:14b-qwen-distill-q4_K_M,707,"[45, 85, 70, 46, 48, 78]","[43, 86, 20, 27, 81, 44, 10, 9, 21, 50, 29, 26, 28, 58, 55, 8, 64, 65]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,169,"[70, 86, 76, 77, 74, 48, 85, 73]","[8, 28, 64, 81, 43, 58, 21, 55, 86, 50, 27, 20, 56, 29, 9, 26, 44, 65, 66]"
1,deepseek-r1:14b-qwen-distill-q4_K_M,429,"[77, 45, 42, 85, 86, 47, 74, 70]","[27, 50, 44, 55, 65, 26, 9, 29, 86, 64, 63, 58, 8, 20, 28, 43]"
