result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
1,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 1, 2, 3, 3, 4, 4, 5, 7, 8, 8, 9, 10, 10, 10, 11, 11, 12]","[0, 0, 1, 3, 4, 10, 11, 12]",[],"[4, 4, 5, 7, 8, 8]","[0, 0, 1, 2, 3, 3, 10, 10, 10, 11, 11]"
2,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 1, 2, 3, 3, 4, 5, 7, 7, 8, 10, 11, 12, 12]","[0, 0, 1, 3]",[],"[2, 5, 7, 7, 8, 12]","[0, 1, 3, 3, 10]"
3,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 1, 2, 3, 4, 5, 5, 7, 7, 8, 9, 10, 10, 10, 10]","[0, 0, 0, 10]",[],"[5, 7, 7, 8]","[0, 0, 1, 2, 3, 5, 9, 10, 10, 10]"
4,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 1, 2, 2, 3, 3, 4, 7, 8, 9, 10, 10, 11, 11, 12]","[1, 3, 11, 12]",[4],"[7, 8]","[0, 1, 2, 2, 3, 9, 10, 10, 11, 11]"
5,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 1, 2, 2, 3, 3, 4, 7, 8, 10, 10, 10, 11, 12, 12]","[0, 0, 3, 12]",[12],"[4, 7, 8]","[0, 0, 2, 2, 3, 3, 10, 10, 10, 11, 12]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 0, 1, 2, 3, 3, 3, 4, 5, 7, 7, 8, 8, 9, 10, 10, 11, 12, 12]","[0, 0, 0, 0, 3, 3, 11, 12, 12]",[],"[5, 7, 7, 8, 11]","[0, 0, 0, 0, 1, 2, 3, 3, 9, 10, 10, 12]"
1,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 1, 2, 2, 3, 4, 5, 7, 7, 8, 8, 9, 10, 11, 11, 11, 12, 12]","[0, 3, 4, 10, 12]","[4, 12]","[5, 7, 7, 8, 8, 12]","[0, 1, 2, 2, 3, 9, 10, 11, 11, 11]"
2,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 1, 2, 2, 3, 3, 4, 7, 8, 10, 10, 10, 11, 12, 12]","[0, 0, 1, 3, 3, 10, 11, 12, 12]",[4],[8],"[0, 1, 2, 2, 3, 3, 10, 10, 10, 11]"
3,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 2, 2, 3, 3, 4, 5, 5, 7, 7, 8, 9, 10, 10, 11, 12]","[0, 0, 0, 1, 1, 3, 3, 9]",[],"[5, 5, 7, 7]","[0, 0, 1, 1, 2, 2, 2, 3, 3, 9, 10, 10, 11]"
4,deepseek-r1:14b-qwen-distill-q4_K_M,False,"[0, 0, 1, 2, 3, 3, 3, 4, 5, 7, 7, 8, 8, 8, 10, 10, 11, 12]","[0, 0, 3, 3, 10, 11, 12]",[],"[5, 7, 7, 8, 8, 8, 12]","[0, 0, 2, 3, 3, 3, 10, 11]"
