result_id,model,seed,category,asset
0,qwen2.5:7b-instruct-q4_K_M,169,"[70, 30, 28, 40, 81, 25, 78, 86, 50, 46, 76, 77, 74, 48, 45, 47, 23, 31, 33, 24, 85, 27, 73, 29, 75, 26, 72, 34, 71, 22, 32]","[8, 28, 64, 81, 43, 58, 55, 86, 50, 63, 27, 20, 56, 29, 9, 26, 44, 65, 66]"
1,qwen2.5:7b-instruct-q4_K_M,429,"[27, 77, 50, 45, 81, 72, 24, 73, 40, 75, 26, 30, 85, 32, 46, 33, 29, 86, 48, 25, 31, 71, 47, 74, 78, 23, 34, 70, 22, 28, 76]","[66, 27, 50, 44, 81, 55, 65, 26, 9, 29, 86, 64, 63, 58, 8, 20, 56, 28, 43]"
2,qwen2.5:7b-instruct-q4_K_M,707,"[34, 86, 45, 85, 70, 27, 81, 47, 74, 46, 72, 33, 22, 40, 48, 32, 24, 30, 50, 76, 29, 26, 73, 31, 75, 23, 25, 78, 28, 71, 77]","[43, 86, 20, 27, 81, 44, 63, 9, 50, 29, 26, 28, 58, 66, 56, 55, 8, 64, 65]"
3,qwen2.5:7b-instruct-q4_K_M,429,"[27, 77, 50, 45, 81, 72, 24, 73, 40, 75, 26, 30, 85, 32, 46, 33, 29, 86, 48, 25, 31, 71, 47, 74, 80, 78, 23, 34, 70, 22, 28, 76]","[66, 27, 50, 44, 81, 55, 65, 26, 9, 29, 86, 64, 63, 58, 8, 20, 56, 28, 43]"
4,qwen2.5:7b-instruct-q4_K_M,651,"[74, 29, 86, 24, 22, 47, 50, 40, 77, 75, 23, 78, 48, 76, 28, 30, 71, 34, 32, 70, 26, 33, 85, 81, 46, 73, 45, 27, 25, 72]","[64, 29, 86, 50, 56, 58, 20, 28, 66, 63, 65, 55, 8, 43, 9, 26, 81, 44, 27]"
5,qwen2.5:7b-instruct-q4_K_M,289,"[72, 32, 70, 50, 28, 29, 33, 22, 40, 25, 46, 85, 76, 78, 30, 45, 47, 74, 31, 27, 26, 86, 24, 75, 73, 71, 77, 81, 48, 23, 34]","[55, 50, 43, 64, 28, 29, 44, 65, 9, 58, 63, 27, 26, 86, 66, 8, 20, 81, 56]"
6,qwen2.5:7b-instruct-q4_K_M,491,"[45, 34, 81, 30, 22, 40, 25, 27, 29, 24, 72, 26, 23, 77, 48, 75, 33, 76, 74, 32, 70, 46, 86, 85, 47, 28, 31, 71, 73, 78, 50]","[81, 65, 66, 43, 9, 27, 29, 64, 26, 55, 58, 56, 86, 44, 8, 28, 20, 50, 63]"
7,qwen2.5:7b-instruct-q4_K_M,864,"[29, 81, 33, 77, 85, 48, 76, 24, 23, 26, 71, 70, 74, 28, 50, 46, 47, 45, 73, 86, 32, 40, 30, 31, 78, 27, 75, 22, 72, 34, 25]","[64, 29, 81, 56, 58, 65, 26, 66, 28, 43, 63, 20, 9, 50, 55, 8, 86, 27, 44]"
8,qwen2.5:7b-instruct-q4_K_M,222,"[73, 71, 27, 45, 22, 48, 47, 34, 74, 29, 85, 72, 50, 23, 40, 33, 24, 32, 25, 76, 70, 77, 31, 46, 26, 75, 86, 78, 28, 30, 13]","[58, 81, 27, 55, 63, 44, 29, 66, 64, 50, 8, 20, 43, 26, 65, 86, 9, 56, 28]"
9,qwen2.5:7b-instruct-q4_K_M,812,"[72, 29, 85, 71, 77, 86, 76, 22, 33, 47, 48, 30, 34, 23, 31, 74, 32, 70, 24, 81, 40, 75, 73, 46, 26, 28, 25, 27, 45, 78, 50]","[20, 29, 65, 44, 86, 58, 56, 43, 63, 55, 8, 81, 66, 64, 9, 26, 28, 27, 50]"
