result_id,model,seed,category,asset
0,qwen2.5:7b-instruct-q4_K_M,169,"[41, 40, 15, 14, 39]","[41, 40, 24, 53, 15, 27, 14, 36, 34, 22, 35, 39]"
0,qwen2.5:7b-instruct-q4_K_M,169,"[41, 40, 15, 14, 39]","[41, 40, 24, 53, 15, 27, 14, 36, 34, 22, 35, 39]"
1,qwen2.5:7b-instruct-q4_K_M,429,"[39, 40, 15, 41, 14]","[39, 40, 53, 36, 15, 41, 27, 22, 34, 35, 24, 14]"
1,qwen2.5:7b-instruct-q4_K_M,429,"[39, 40, 15, 41, 14]","[39, 40, 53, 36, 15, 41, 27, 22, 34, 35, 24, 14]"
2,qwen2.5:7b-instruct-q4_K_M,707,"[39, 15, 41, 14, 40]","[24, 39, 53, 15, 41, 14, 22, 36, 27, 35, 34, 40]"
2,qwen2.5:7b-instruct-q4_K_M,707,"[39, 15, 41, 14, 40]","[24, 39, 53, 15, 41, 14, 22, 36, 27, 35, 34, 40]"
3,qwen2.5:7b-instruct-q4_K_M,429,"[39, 40, 15, 41, 14]","[39, 40, 53, 36, 15, 41, 27, 22, 34, 35, 24, 14]"
3,qwen2.5:7b-instruct-q4_K_M,429,"[39, 40, 15, 41, 14]","[39, 40, 53, 36, 15, 41, 27, 22, 34, 35, 24, 14]"
4,qwen2.5:7b-instruct-q4_K_M,651,"[14, 39, 41, 40, 15]","[14, 39, 41, 40, 34, 35, 24, 27, 22, 15, 36, 53]"
4,qwen2.5:7b-instruct-q4_K_M,651,"[14, 39, 41, 40, 15]","[14, 39, 41, 40, 34, 35, 24, 27, 22, 15, 36, 53]"
5,qwen2.5:7b-instruct-q4_K_M,289,"[15, 39, 40, 14, 41]","[27, 34, 53, 15, 39, 40, 14, 35, 22, 36, 41, 24]"
5,qwen2.5:7b-instruct-q4_K_M,289,"[15, 39, 40, 14, 41]","[27, 34, 53, 15, 39, 40, 14, 35, 22, 36, 41, 24]"
6,qwen2.5:7b-instruct-q4_K_M,491,"[40, 14, 15, 41, 39]","[40, 24, 22, 53, 14, 15, 27, 35, 34, 36, 41, 39]"
6,qwen2.5:7b-instruct-q4_K_M,491,"[40, 14, 15, 41, 39]","[40, 24, 22, 53, 14, 15, 27, 35, 34, 36, 41, 39]"
7,qwen2.5:7b-instruct-q4_K_M,864,"[14, 39, 15, 41, 40]","[35, 14, 34, 27, 39, 15, 41, 36, 24, 53, 40, 22]"
7,qwen2.5:7b-instruct-q4_K_M,864,"[14, 39, 15, 41, 40]","[35, 14, 34, 27, 39, 15, 41, 36, 24, 53, 40, 22]"
8,qwen2.5:7b-instruct-q4_K_M,222,"[39, 40, 41, 14, 15]","[36, 35, 22, 27, 34, 53, 39, 40, 24, 41, 14, 15]"
8,qwen2.5:7b-instruct-q4_K_M,222,"[39, 40, 41, 14, 15]","[36, 35, 22, 27, 34, 53, 39, 40, 24, 41, 14, 15]"
9,qwen2.5:7b-instruct-q4_K_M,812,"[40, 15, 14, 41, 39]","[53, 27, 40, 15, 35, 36, 34, 24, 14, 41, 22, 39]"
9,qwen2.5:7b-instruct-q4_K_M,812,"[40, 15, 14, 41, 39]","[53, 27, 40, 15, 35, 36, 34, 24, 14, 41, 22, 39]"
