result_id,model,seed,category,asset
0,gemma3:4b-it-q4_K_M,169,[],[]
0,gemma3:4b-it-q4_K_M,169,[],[]
1,gemma3:4b-it-q4_K_M,429,[],[]
1,gemma3:4b-it-q4_K_M,429,[],[]
2,gemma3:4b-it-q4_K_M,707,[],[]
2,gemma3:4b-it-q4_K_M,707,[],[]
3,gemma3:4b-it-q4_K_M,429,[],[]
3,gemma3:4b-it-q4_K_M,429,[],[]
4,gemma3:4b-it-q4_K_M,651,[],[]
4,gemma3:4b-it-q4_K_M,651,[],[]
5,gemma3:4b-it-q4_K_M,289,[],[]
5,gemma3:4b-it-q4_K_M,289,[],[]
6,gemma3:4b-it-q4_K_M,491,[],[]
6,gemma3:4b-it-q4_K_M,491,[],[]
7,gemma3:4b-it-q4_K_M,864,[],[]
7,gemma3:4b-it-q4_K_M,864,[],[]
8,gemma3:4b-it-q4_K_M,222,[],[]
8,gemma3:4b-it-q4_K_M,222,[],[]
9,gemma3:4b-it-q4_K_M,812,[],[]
9,gemma3:4b-it-q4_K_M,812,[],[]
10,gemma3:4b-it-q4_K_M,487,[],[]
10,gemma3:4b-it-q4_K_M,487,[],[]
11,gemma3:4b-it-q4_K_M,828,[],[]
11,gemma3:4b-it-q4_K_M,828,[],[]
12,gemma3:4b-it-q4_K_M,987,[],[]
12,gemma3:4b-it-q4_K_M,987,[],[]
13,gemma3:4b-it-q4_K_M,525,[],[]
13,gemma3:4b-it-q4_K_M,525,[],[]
14,gemma3:4b-it-q4_K_M,188,[],[]
14,gemma3:4b-it-q4_K_M,188,[],[]
15,gemma3:4b-it-q4_K_M,518,[],[]
15,gemma3:4b-it-q4_K_M,518,[],[]
16,gemma3:4b-it-q4_K_M,541,[],[]
16,gemma3:4b-it-q4_K_M,541,[],[]
17,gemma3:4b-it-q4_K_M,242,[],[]
17,gemma3:4b-it-q4_K_M,242,[],[]
18,gemma3:4b-it-q4_K_M,808,[],[]
18,gemma3:4b-it-q4_K_M,808,[],[]
19,gemma3:4b-it-q4_K_M,4,[],[]
19,gemma3:4b-it-q4_K_M,4,[],[]
20,gemma3:4b-it-q4_K_M,15,[],[]
20,gemma3:4b-it-q4_K_M,15,[],[]
21,gemma3:4b-it-q4_K_M,380,[],[]
21,gemma3:4b-it-q4_K_M,380,[],[]
22,gemma3:4b-it-q4_K_M,956,[],[]
22,gemma3:4b-it-q4_K_M,956,[],[]
23,gemma3:4b-it-q4_K_M,600,[],[]
23,gemma3:4b-it-q4_K_M,600,[],[]
24,gemma3:4b-it-q4_K_M,439,[],[]
24,gemma3:4b-it-q4_K_M,439,[],[]
25,gemma3:4b-it-q4_K_M,71,[],[]
25,gemma3:4b-it-q4_K_M,71,[],[]
26,gemma3:4b-it-q4_K_M,149,[],[]
26,gemma3:4b-it-q4_K_M,149,[],[]
27,gemma3:4b-it-q4_K_M,813,[],[]
27,gemma3:4b-it-q4_K_M,813,[],[]
28,gemma3:4b-it-q4_K_M,770,[],[]
28,gemma3:4b-it-q4_K_M,770,[],[]
29,gemma3:4b-it-q4_K_M,238,[],[]
29,gemma3:4b-it-q4_K_M,238,[],[]
30,gemma3:4b-it-q4_K_M,944,[],[]
30,gemma3:4b-it-q4_K_M,944,[],[]
31,gemma3:4b-it-q4_K_M,239,[],[]
31,gemma3:4b-it-q4_K_M,239,[],[]
32,gemma3:4b-it-q4_K_M,711,[],[]
32,gemma3:4b-it-q4_K_M,711,[],[]
33,gemma3:4b-it-q4_K_M,44,[],[]
33,gemma3:4b-it-q4_K_M,44,[],[]
34,gemma3:4b-it-q4_K_M,448,[],[]
34,gemma3:4b-it-q4_K_M,448,[],[]
35,gemma3:4b-it-q4_K_M,757,[],[]
35,gemma3:4b-it-q4_K_M,757,[],[]
36,gemma3:4b-it-q4_K_M,790,[],[]
36,gemma3:4b-it-q4_K_M,790,[],[]
37,gemma3:4b-it-q4_K_M,897,[],[]
37,gemma3:4b-it-q4_K_M,897,[],[]
38,gemma3:4b-it-q4_K_M,417,[],[]
38,gemma3:4b-it-q4_K_M,417,[],[]
39,gemma3:4b-it-q4_K_M,631,[],[]
39,gemma3:4b-it-q4_K_M,631,[],[]
40,gemma3:4b-it-q4_K_M,453,[],[]
40,gemma3:4b-it-q4_K_M,453,[],[]
41,gemma3:4b-it-q4_K_M,35,[],[]
41,gemma3:4b-it-q4_K_M,35,[],[]
42,gemma3:4b-it-q4_K_M,980,[],[]
42,gemma3:4b-it-q4_K_M,980,[],[]
43,gemma3:4b-it-q4_K_M,337,[],[]
43,gemma3:4b-it-q4_K_M,337,[],[]
44,gemma3:4b-it-q4_K_M,554,[],[]
44,gemma3:4b-it-q4_K_M,554,[],[]
45,gemma3:4b-it-q4_K_M,510,[],[]
45,gemma3:4b-it-q4_K_M,510,[],[]
46,gemma3:4b-it-q4_K_M,711,[],[]
46,gemma3:4b-it-q4_K_M,711,[],[]
47,gemma3:4b-it-q4_K_M,119,[],[]
47,gemma3:4b-it-q4_K_M,119,[],[]
