result_id,model,seed,category,asset
0,deepseek-r1:14b-qwen-distill-q4_K_M,169,[],[]
1,deepseek-r1:14b-qwen-distill-q4_K_M,429,[],[]
2,deepseek-r1:14b-qwen-distill-q4_K_M,707,[],[]
3,deepseek-r1:14b-qwen-distill-q4_K_M,429,[],[]
4,deepseek-r1:14b-qwen-distill-q4_K_M,651,[],[]
5,deepseek-r1:14b-qwen-distill-q4_K_M,289,[],[]
6,deepseek-r1:14b-qwen-distill-q4_K_M,491,[],[]
7,deepseek-r1:14b-qwen-distill-q4_K_M,864,[],[]
8,deepseek-r1:14b-qwen-distill-q4_K_M,222,[],[]
0,deepseek-r1:14b-qwen-distill-q4_K_M,169,[],[]
