result_id,model,seed,category,asset
0,phi3:14b-medium-128k-instruct-q4_K_M,169,[],[]
0,phi3:14b-medium-128k-instruct-q4_K_M,169,[],[]
1,phi3:14b-medium-128k-instruct-q4_K_M,429,[],[]
1,phi3:14b-medium-128k-instruct-q4_K_M,429,[],[]
2,phi3:14b-medium-128k-instruct-q4_K_M,707,[],[]
2,phi3:14b-medium-128k-instruct-q4_K_M,707,[],[]
3,phi3:14b-medium-128k-instruct-q4_K_M,429,[],[]
3,phi3:14b-medium-128k-instruct-q4_K_M,429,[],[]
4,phi3:14b-medium-128k-instruct-q4_K_M,651,[],[]
4,phi3:14b-medium-128k-instruct-q4_K_M,651,[],[]
5,phi3:14b-medium-128k-instruct-q4_K_M,289,[],[]
5,phi3:14b-medium-128k-instruct-q4_K_M,289,[],[]
6,phi3:14b-medium-128k-instruct-q4_K_M,491,[],[]
6,phi3:14b-medium-128k-instruct-q4_K_M,491,[],[]
7,phi3:14b-medium-128k-instruct-q4_K_M,864,[],[]
7,phi3:14b-medium-128k-instruct-q4_K_M,864,[],[]
8,phi3:14b-medium-128k-instruct-q4_K_M,222,[],[]
8,phi3:14b-medium-128k-instruct-q4_K_M,222,[],[]
9,phi3:14b-medium-128k-instruct-q4_K_M,812,[],[]
9,phi3:14b-medium-128k-instruct-q4_K_M,812,[],[]
10,phi3:14b-medium-128k-instruct-q4_K_M,487,[],[]
10,phi3:14b-medium-128k-instruct-q4_K_M,487,[],[]
11,phi3:14b-medium-128k-instruct-q4_K_M,828,[],[]
11,phi3:14b-medium-128k-instruct-q4_K_M,828,[],[]
12,phi3:14b-medium-128k-instruct-q4_K_M,987,[],[]
12,phi3:14b-medium-128k-instruct-q4_K_M,987,[],[]
13,phi3:14b-medium-128k-instruct-q4_K_M,525,[],[]
13,phi3:14b-medium-128k-instruct-q4_K_M,525,[],[]
14,phi3:14b-medium-128k-instruct-q4_K_M,188,[],[]
14,phi3:14b-medium-128k-instruct-q4_K_M,188,[],[]
15,phi3:14b-medium-128k-instruct-q4_K_M,518,[],[]
15,phi3:14b-medium-128k-instruct-q4_K_M,518,[],[]
16,phi3:14b-medium-128k-instruct-q4_K_M,541,[],[]
16,phi3:14b-medium-128k-instruct-q4_K_M,541,[],[]
17,phi3:14b-medium-128k-instruct-q4_K_M,242,[],[]
17,phi3:14b-medium-128k-instruct-q4_K_M,242,[],[]
18,phi3:14b-medium-128k-instruct-q4_K_M,808,[],[]
18,phi3:14b-medium-128k-instruct-q4_K_M,808,[],[]
19,phi3:14b-medium-128k-instruct-q4_K_M,4,"[30, 25, 2, 4, 15]",[26]
19,phi3:14b-medium-128k-instruct-q4_K_M,4,"[30, 25, 2, 4, 15]",[26]
