result_id,model,seed,category,asset
0,deepseek-r1:14b-qwen-distill-q4_K_M,169,[],[]
1,deepseek-r1:14b-qwen-distill-q4_K_M,429,[],[]
2,deepseek-r1:14b-qwen-distill-q4_K_M,707,[],[]
3,deepseek-r1:14b-qwen-distill-q4_K_M,429,[],[]
0,deepseek-r1:14b-qwen-distill-q4_K_M,169,[],[]
4,deepseek-r1:14b-qwen-distill-q4_K_M,651,[],[]
1,deepseek-r1:14b-qwen-distill-q4_K_M,429,[],[]
5,deepseek-r1:14b-qwen-distill-q4_K_M,289,[],[]
2,deepseek-r1:14b-qwen-distill-q4_K_M,707,[],[]
3,deepseek-r1:14b-qwen-distill-q4_K_M,429,[],[]
