result_id,model,seed,category,asset
0,deepseek-r1:14b-qwen-distill-q4_K_M,169,[3],[4]
0,deepseek-r1:14b-qwen-distill-q4_K_M,169,[3],[4]
1,deepseek-r1:14b-qwen-distill-q4_K_M,429,[3],[4]
1,deepseek-r1:14b-qwen-distill-q4_K_M,429,[3],[4]
2,deepseek-r1:14b-qwen-distill-q4_K_M,707,[3],[4]
2,deepseek-r1:14b-qwen-distill-q4_K_M,707,[3],[4]
3,deepseek-r1:14b-qwen-distill-q4_K_M,429,[3],[4]
3,deepseek-r1:14b-qwen-distill-q4_K_M,429,[3],[4]
4,deepseek-r1:14b-qwen-distill-q4_K_M,651,[3],[4]
4,deepseek-r1:14b-qwen-distill-q4_K_M,651,[3],[4]
