result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 7, 7, 8, 8, 10, 10, 11, 12, 12, 12, 12]","[0, 0, 0, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 10, 10, 11, 12, 12, 12, 12]","[0, 0, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 7, 7, 8, 10, 10, 11, 12, 12, 12, 12]",[],"[0, 8]"
1,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 1, 2, 3, 3, 4, 4, 5, 6, 6, 7, 7, 8, 8, 10, 10, 11, 12, 12, 12, 12]","[0, 0, 0, 1, 2, 3, 3, 4, 4, 6, 6, 10, 10, 11, 12, 12, 12, 12]","[0, 0, 0, 1, 2, 3, 3, 4, 4, 5, 6, 6, 7, 7, 8, 8, 10, 10, 11, 12, 12, 12, 12]",[],[]
2,gemma3:4b-it-q4_K_M,False,"[0, 0, 1, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 7, 7, 8, 8, 10, 10, 11, 12, 12, 12, 12, 12]","[0, 0, 1, 2, 3, 3, 4, 4, 4, 5, 6, 10, 10, 11, 12, 12, 12, 12, 12]","[0, 0, 1, 2, 3, 3, 4, 4, 4, 5, 6, 7, 7, 8, 10, 10, 11, 12, 12, 12, 12, 12]",[],"[1, 6, 8]"
3,gemma3:4b-it-q4_K_M,False,"[0, 0, 1, 2, 3, 3, 4, 4, 5, 6, 7, 7, 8, 8, 10, 10, 11, 12, 12, 12, 12]","[0, 0, 1, 2, 3, 3, 4, 4, 5, 6, 10, 10, 11, 12, 12, 12, 12]","[0, 0, 1, 2, 3, 4, 4, 5, 6, 7, 8, 10, 11, 12, 12, 12, 12]",[],"[3, 7, 8, 10]"
4,gemma3:4b-it-q4_K_M,False,"[0, 0, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 7, 7, 8, 8, 10, 10, 11, 12, 12, 12]","[0, 0, 1, 2, 3, 3, 4, 4, 4, 6, 6, 10, 10, 11, 12, 12, 12]","[0, 0, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 7, 7, 8, 8, 10, 12, 12, 12]",[],"[10, 11]"
5,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 7, 8, 8, 10, 10, 11, 12, 12, 12]","[0, 0, 0, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 10, 10, 11, 12, 12, 12]","[0, 0, 0, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 7, 8, 8, 10, 11, 12, 12, 12]",[],"[1, 10]"
6,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 7, 7, 8, 8, 10, 10, 11, 11, 12, 12, 12]","[0, 0, 0, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 10, 10, 11, 11, 12, 12, 12]","[0, 0, 0, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 7, 7, 8, 8, 10, 10, 11, 11, 12, 12, 12]",[],[]
7,gemma3:4b-it-q4_K_M,False,"[0, 0, 1, 2, 3, 3, 4, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 10, 10, 11, 12, 12, 12, 12]","[0, 0, 1, 2, 3, 3, 4, 4, 4, 5, 5, 6, 6, 10, 10, 11, 12, 12, 12, 12]","[0, 0, 1, 2, 3, 3, 4, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 10, 10, 11, 12, 12, 12, 12]",[],[]
8,gemma3:4b-it-q4_K_M,False,"[0, 0, 1, 2, 3, 3, 4, 4, 5, 6, 7, 7, 8, 8, 10, 10, 11, 11, 12, 12, 12, 12]","[0, 0, 1, 2, 3, 3, 4, 4, 5, 6, 10, 10, 11, 11, 12, 12, 12, 12]","[0, 0, 1, 2, 3, 3, 4, 4, 5, 6, 7, 7, 8, 8, 10, 10, 11, 11, 12, 12, 12, 12]",[],[]
9,gemma3:4b-it-q4_K_M,False,"[0, 0, 1, 2, 3, 3, 4, 4, 5, 6, 6, 7, 7, 8, 8, 10, 10, 11, 11, 12, 12, 12, 12]","[0, 0, 1, 2, 3, 3, 4, 4, 5, 6, 6, 10, 10, 11, 11, 12, 12, 12, 12]","[0, 0, 1, 2, 3, 4, 4, 5, 6, 6, 8, 8, 10, 10, 11, 11, 12, 12, 12, 12]",[],"[3, 7, 7]"
