result_id,model,seed,category,asset
0,qwen2.5:7b-instruct-q4_K_M,169,[],"[9, 16, 5]"
1,qwen2.5:7b-instruct-q4_K_M,429,[],"[9, 6, 16, 5]"
2,qwen2.5:7b-instruct-q4_K_M,707,[],"[5, 9, 16]"
3,qwen2.5:7b-instruct-q4_K_M,429,[],"[9, 6, 16, 5]"
4,qwen2.5:7b-instruct-q4_K_M,651,[],"[5, 9, 16]"
5,qwen2.5:7b-instruct-q4_K_M,289,[],"[16, 9, 5]"
6,qwen2.5:7b-instruct-q4_K_M,491,[],"[5, 9, 16]"
7,qwen2.5:7b-instruct-q4_K_M,864,[],"[16, 6, 5, 9]"
8,qwen2.5:7b-instruct-q4_K_M,222,[],"[5, 9, 16]"
9,qwen2.5:7b-instruct-q4_K_M,812,[],"[6, 16, 5, 9]"
