result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 7, 7, 10, 10, 10, 10, 10]","[1, 2, 3]","[1, 2, 3, 5, 5, 5, 5, 6, 7, 7, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4]",[]
1,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 7, 10, 10, 10, 10, 10]","[1, 2]","[1, 2, 3, 5, 5, 5, 5, 6, 7, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4]",[]
2,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 10, 10, 10, 10, 10, 10]","[1, 2, 3]","[1, 2, 3, 5, 5, 5, 5, 6, 6, 10, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4]",[]
3,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 7, 10, 10, 10, 10, 10]","[1, 2, 3]","[1, 2, 3, 5, 5, 5, 5, 6, 6, 7, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4]",[]
4,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 7, 7, 10, 10, 10, 10, 10]","[1, 2, 3]","[0, 1, 2, 3, 5, 5, 5, 5, 6, 7, 7, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4]",[]
5,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 7, 10, 10, 10, 10, 10]","[1, 2, 3]","[1, 2, 3, 5, 5, 5, 5, 6, 7, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4]",[]
6,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 7, 10, 10, 10, 10, 10]","[1, 2, 3]","[1, 2, 3, 5, 5, 5, 5, 6, 6, 6, 7, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4]",[]
7,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 7, 10, 10, 10, 10, 10]","[1, 2, 3]","[1, 2, 3, 5, 5, 5, 5, 6, 6, 7, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4]",[]
8,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 10, 10, 10, 10, 10]","[1, 2, 3]","[1, 2, 3, 5, 5, 5, 5, 6, 6, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4]",[]
9,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 10, 10, 10, 10, 10]","[1, 2, 3]","[1, 2, 3, 5, 5, 5, 5, 6, 6, 6, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4]",[]
