result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 8, 9, 9, 9, 10, 11]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 7]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 8, 9, 9, 9, 10, 11]",[],[]
1,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 9, 9, 9, 10, 11, 11]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 7]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 9, 9, 9, 10, 11, 11]",[],[]
2,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 8, 9, 9, 9, 10, 11, 11]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 7]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 8, 9, 9, 9, 10, 11, 11]",[],[]
3,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 9, 9, 9, 10, 11, 11]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 7]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 9, 9, 9, 10, 11, 11]",[],[]
4,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 9, 9, 9, 10, 11, 11]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 7]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 9, 9, 9, 10, 11, 11]",[],[]
5,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 8, 9, 9, 9, 10, 11, 11, 11]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 7]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 8, 9, 9, 9, 10, 11, 11, 11]",[],[]
6,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 8, 9, 9, 9, 10, 10, 11, 11]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 8, 9, 9, 9, 10, 10, 11, 11]",[],[]
7,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 8, 9, 9, 9, 10, 11, 11]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 7]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 8, 9, 9, 9, 10, 11, 11]",[],[]
8,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 8, 9, 9, 9, 10, 10, 11, 11]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 7]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 8, 9, 9, 9, 10, 10, 11, 11]",[],[]
9,gemma3:4b-it-q4_K_M,False,"[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 8, 9, 9, 9, 10, 10, 11, 11]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 7]","[0, 0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 5, 6, 7, 8, 9, 9, 9, 10, 10, 11, 11]",[],[]
