result_id,model,seed,category,asset
0,qwen2.5:7b-instruct-q4_K_M,169,[],[]
0,qwen2.5:7b-instruct-q4_K_M,169,[],[]
1,qwen2.5:7b-instruct-q4_K_M,429,[],[]
1,qwen2.5:7b-instruct-q4_K_M,429,[],[]
2,qwen2.5:7b-instruct-q4_K_M,707,[],[]
2,qwen2.5:7b-instruct-q4_K_M,707,[],[]
3,qwen2.5:7b-instruct-q4_K_M,429,[],[]
3,qwen2.5:7b-instruct-q4_K_M,429,[],[]
4,qwen2.5:7b-instruct-q4_K_M,651,[],[]
4,qwen2.5:7b-instruct-q4_K_M,651,[],[]
5,qwen2.5:7b-instruct-q4_K_M,289,[],[]
5,qwen2.5:7b-instruct-q4_K_M,289,[],[]
6,qwen2.5:7b-instruct-q4_K_M,491,[],[]
6,qwen2.5:7b-instruct-q4_K_M,491,[],[]
7,qwen2.5:7b-instruct-q4_K_M,864,[],[]
7,qwen2.5:7b-instruct-q4_K_M,864,[],[]
8,qwen2.5:7b-instruct-q4_K_M,222,[],[]
8,qwen2.5:7b-instruct-q4_K_M,222,[],[]
9,qwen2.5:7b-instruct-q4_K_M,812,[],[]
9,qwen2.5:7b-instruct-q4_K_M,812,[],[]
10,qwen2.5:7b-instruct-q4_K_M,487,[],[]
10,qwen2.5:7b-instruct-q4_K_M,487,[],[]
11,qwen2.5:7b-instruct-q4_K_M,828,[],[]
11,qwen2.5:7b-instruct-q4_K_M,828,[],[]
12,qwen2.5:7b-instruct-q4_K_M,987,[],[]
12,qwen2.5:7b-instruct-q4_K_M,987,[],[]
13,qwen2.5:7b-instruct-q4_K_M,525,[],[]
13,qwen2.5:7b-instruct-q4_K_M,525,[],[]
14,qwen2.5:7b-instruct-q4_K_M,188,[],[]
14,qwen2.5:7b-instruct-q4_K_M,188,[],[]
15,qwen2.5:7b-instruct-q4_K_M,518,[],[]
15,qwen2.5:7b-instruct-q4_K_M,518,[],[]
16,qwen2.5:7b-instruct-q4_K_M,541,[],[]
16,qwen2.5:7b-instruct-q4_K_M,541,[],[]
17,qwen2.5:7b-instruct-q4_K_M,242,[],[]
17,qwen2.5:7b-instruct-q4_K_M,242,[],[]
18,qwen2.5:7b-instruct-q4_K_M,808,[],[]
18,qwen2.5:7b-instruct-q4_K_M,808,[],[]
19,qwen2.5:7b-instruct-q4_K_M,4,[],[]
19,qwen2.5:7b-instruct-q4_K_M,4,[],[]
20,qwen2.5:7b-instruct-q4_K_M,15,[],[]
20,qwen2.5:7b-instruct-q4_K_M,15,[],[]
21,qwen2.5:7b-instruct-q4_K_M,380,[],[]
21,qwen2.5:7b-instruct-q4_K_M,380,[],[]
22,qwen2.5:7b-instruct-q4_K_M,956,[],[]
22,qwen2.5:7b-instruct-q4_K_M,956,[],[]
23,qwen2.5:7b-instruct-q4_K_M,600,[],[]
23,qwen2.5:7b-instruct-q4_K_M,600,[],[]
24,qwen2.5:7b-instruct-q4_K_M,439,[],[]
24,qwen2.5:7b-instruct-q4_K_M,439,[],[]
25,qwen2.5:7b-instruct-q4_K_M,71,[],[]
25,qwen2.5:7b-instruct-q4_K_M,71,[],[]
26,qwen2.5:7b-instruct-q4_K_M,149,[],[]
26,qwen2.5:7b-instruct-q4_K_M,149,[],[]
27,qwen2.5:7b-instruct-q4_K_M,813,[],[]
27,qwen2.5:7b-instruct-q4_K_M,813,[],[]
