result_id,model,seed,category,asset
0,deepseek-r1:14b-qwen-distill-q4_K_M,169,[],"[41, 52, 53, 15, 27, 14, 0, 36, 34, 39]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,169,[32],"[41, 52, 42, 53, 27, 36, 34, 22, 35]"
1,deepseek-r1:14b-qwen-distill-q4_K_M,429,[],"[39, 53, 36, 41, 27, 22, 34, 35, 24, 14]"
2,deepseek-r1:14b-qwen-distill-q4_K_M,707,[32],"[23, 53, 54, 22, 35, 52, 34]"
3,deepseek-r1:14b-qwen-distill-q4_K_M,429,[],"[0, 39, 53, 36, 27, 22, 34, 35, 52, 24, 14, 54]"
4,deepseek-r1:14b-qwen-distill-q4_K_M,651,[32],"[52, 39, 41, 34, 30, 35, 23, 54, 22, 15, 53]"
5,deepseek-r1:14b-qwen-distill-q4_K_M,289,[],"[34, 53, 15, 23, 39, 14, 22, 52, 42, 24, 0]"
6,deepseek-r1:14b-qwen-distill-q4_K_M,491,[],"[40, 24, 0, 54, 53, 14, 15, 27, 34, 39, 52]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,169,[32],"[52, 40, 23, 24, 53, 15, 27, 14, 0, 36, 34, 22]"
1,deepseek-r1:14b-qwen-distill-q4_K_M,429,[],"[0, 53, 15, 22, 34, 35, 24, 54]"
