result_id,model,seed,category,asset
0,gemma3:4b-it-q4_K_M,169,[],"[41, 40, 27, 14, 36, 34, 22]"
1,gemma3:4b-it-q4_K_M,429,[],"[39, 40, 36, 41, 27, 22]"
2,gemma3:4b-it-q4_K_M,707,[],"[14, 22, 35, 34, 40]"
3,gemma3:4b-it-q4_K_M,429,[],"[40, 22, 34]"
4,gemma3:4b-it-q4_K_M,651,[],"[40, 34, 22, 36]"
5,gemma3:4b-it-q4_K_M,289,[],"[34, 15, 40, 35, 22, 36, 41]"
6,gemma3:4b-it-q4_K_M,491,[],"[40, 22, 15, 35, 34, 41]"
7,gemma3:4b-it-q4_K_M,864,[],"[34, 41, 36, 40, 22]"
8,gemma3:4b-it-q4_K_M,222,[],"[36, 22, 27, 34, 40, 14]"
9,gemma3:4b-it-q4_K_M,812,[],"[27, 40, 36, 41, 22, 39]"
