result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,yi:9b-chat-v1.5-q4_K_M,True,"[0, 2, 3, 12, 3, 10, 6, 0, 3, 10, 11, 0, 3, 10, 0, 3, 9, 10, 11, 6, 6, 6, 6, 0, 3, 4, 1, 2, 12, 0, 1, 3, 11, 12, 5, 12, 5, 12, 0, 3, 9, 0, 3, 9, 6, 6, 7, 8, 1, 2, 4, 12, 1, 2, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 1, 3, 4, 12, 0, 3, 12, 4, 6, 11, 7, 8, 6, 8, 7, 8, 7, 8, 5, 6, 12, 7, 8, 5, 6, 0, 3, 4, 12, 0, 3, 4, 10, 12, 6, 0, 3, 10, 11, 12]","[10, 0, 9, 10, 11, 5, 12, 0, 0, 3, 4, 12, 0, 4, 11, 8, 5, 0, 4, 10, 12, 6]",[],"[0, 3, 12, 3, 10, 6, 0, 3, 10, 11, 0, 3, 10, 0, 3, 9, 10, 11, 6, 6, 6, 0, 3, 4, 1, 2, 12, 0, 1, 3, 11, 12, 5, 12, 5, 12, 0, 3, 9, 0, 3, 9, 6, 6, 1, 4, 12, 1, 2, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 1, 3, 4, 12, 0, 3, 12, 4, 6, 11, 6, 7, 8, 8, 6, 12, 6, 3, 4, 12, 0, 3, 4, 10, 12, 6, 0, 3, 10, 11, 12]","[2, 6, 7, 8, 2, 7, 8, 8, 7, 5, 7, 8, 5, 0]"
1,yi:9b-chat-v1.5-q4_K_M,True,"[0, 3, 12, 3, 10, 6, 0, 3, 10, 0, 3, 10, 8, 0, 3, 9, 10, 11, 6, 6, 6, 6, 0, 3, 4, 1, 2, 12, 0, 1, 2, 3, 12, 5, 12, 5, 12, 0, 3, 9, 0, 3, 9, 6, 6, 7, 8, 1, 2, 4, 11, 12, 1, 2, 4, 12, 0, 1, 3, 4, 12, 0, 3, 4, 12, 0, 1, 3, 4, 12, 0, 3, 4, 12, 4, 6, 11, 7, 8, 6, 7, 8, 7, 8, 5, 6, 12, 7, 8, 5, 6, 0, 3, 4, 0, 3, 4, 10, 12, 6, 0, 3, 11]","[10, 8, 0, 9, 10, 11, 5, 11, 12, 0, 0, 3, 4, 12, 0, 4, 11, 7, 8, 5, 0, 10, 6]",[],"[0, 3, 12, 3, 10, 6, 0, 3, 10, 0, 3, 0, 3, 9, 10, 11, 6, 6, 6, 6, 0, 3, 4, 1, 2, 12, 0, 1, 2, 3, 12, 5, 12, 5, 12, 0, 3, 9, 0, 3, 9, 6, 6, 1, 4, 11, 12, 1, 2, 4, 12, 0, 1, 3, 4, 12, 0, 3, 4, 12, 0, 1, 3, 4, 12, 0, 3, 4, 12, 4, 6, 11, 6, 7, 8, 8, 6, 12, 6, 0, 3, 4, 0, 3, 4, 10, 12, 6, 0, 3, 11]","[10, 8, 7, 8, 2, 7, 8, 7, 5, 7, 8, 5]"
2,yi:9b-chat-v1.5-q4_K_M,True,"[0, 2, 3, 12, 3, 10, 6, 0, 3, 10, 11, 0, 3, 10, 0, 3, 9, 10, 11, 5, 5, 6, 6, 6, 6, 0, 3, 4, 1, 2, 12, 0, 1, 3, 4, 11, 12, 1, 5, 5, 12, 0, 3, 4, 9, 0, 3, 9, 6, 6, 7, 8, 1, 2, 4, 12, 1, 2, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 4, 6, 11, 7, 8, 7, 8, 7, 8, 5, 6, 7, 8, 5, 6, 0, 3, 4, 0, 2, 3, 4, 10, 12, 6, 0, 3, 8, 9, 10, 11]","[10, 0, 9, 10, 11, 5, 1, 5, 7, 12, 0, 0, 3, 4, 12, 0, 4, 11, 8, 5, 0, 10, 12, 6]",[],"[0, 2, 3, 12, 3, 10, 6, 0, 3, 10, 11, 0, 3, 10, 0, 3, 9, 10, 11, 5, 6, 6, 6, 6, 0, 3, 4, 2, 12, 0, 1, 3, 4, 11, 12, 1, 5, 5, 12, 0, 3, 4, 9, 0, 3, 9, 6, 6, 1, 2, 4, 12, 1, 2, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 4, 6, 11, 8, 7, 8, 7, 6, 8, 6, 0, 3, 4, 0, 3, 4, 10, 12, 6, 0, 3, 8, 9, 10, 11]","[5, 1, 7, 8, 7, 8, 5, 7, 5, 2]"
3,yi:9b-chat-v1.5-q4_K_M,True,"[0, 2, 3, 12, 0, 3, 10, 6, 0, 3, 10, 0, 3, 10, 0, 3, 9, 10, 11, 6, 6, 6, 6, 3, 4, 1, 2, 12, 0, 1, 2, 3, 12, 5, 12, 5, 12, 0, 3, 9, 0, 3, 9, 12, 6, 6, 7, 8, 1, 2, 4, 12, 1, 2, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 1, 3, 4, 12, 0, 3, 4, 12, 0, 4, 6, 11, 7, 8, 7, 8, 7, 8, 5, 6, 12, 7, 8, 5, 6, 0, 3, 4, 0, 3, 4, 10, 12, 6, 0, 3, 11]","[10, 0, 9, 10, 11, 5, 12, 0, 0, 3, 4, 12, 0, 4, 11, 7, 8, 5, 0, 4, 10, 12, 6]",[],"[0, 2, 3, 12, 0, 3, 10, 6, 0, 3, 10, 0, 3, 10, 0, 3, 9, 10, 11, 6, 6, 6, 6, 3, 4, 1, 2, 12, 0, 1, 2, 3, 12, 5, 12, 5, 12, 0, 3, 9, 0, 3, 9, 12, 6, 6, 1, 2, 4, 12, 1, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 1, 3, 4, 12, 0, 3, 4, 12, 0, 4, 6, 11, 7, 8, 6, 12, 6, 0, 3, 4, 0, 3, 4, 10, 6, 0, 3, 11]","[7, 8, 2, 7, 8, 7, 8, 5, 7, 8, 5, 12]"
4,yi:9b-chat-v1.5-q4_K_M,True,"[0, 2, 3, 12, 0, 3, 10, 6, 0, 3, 10, 0, 2, 3, 10, 0, 3, 9, 10, 11, 5, 6, 6, 6, 6, 0, 3, 4, 1, 2, 12, 1, 3, 4, 12, 5, 12, 5, 12, 0, 3, 9, 0, 3, 9, 12, 6, 6, 7, 8, 1, 2, 4, 12, 1, 2, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 1, 3, 4, 12, 0, 3, 4, 12, 4, 6, 11, 7, 8, 7, 7, 8, 7, 8, 5, 6, 12, 7, 8, 5, 6, 0, 3, 4, 12, 0, 3, 4, 10, 12, 6, 0, 3, 9, 11, 12]","[10, 0, 9, 10, 11, 5, 5, 12, 0, 0, 3, 4, 12, 0, 4, 11, 7, 8, 5, 0, 10, 12, 6]",[],"[0, 3, 12, 0, 3, 10, 6, 0, 3, 10, 0, 2, 3, 10, 0, 3, 9, 10, 11, 5, 6, 6, 6, 6, 0, 3, 4, 1, 12, 3, 4, 12, 12, 5, 12, 0, 3, 9, 0, 3, 9, 12, 6, 6, 1, 2, 4, 12, 1, 2, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 1, 3, 4, 12, 0, 3, 4, 12, 4, 6, 11, 7, 8, 7, 6, 12, 0, 3, 4, 12, 0, 3, 4, 10, 12, 6, 0, 3, 9, 11, 12]","[2, 2, 1, 5, 7, 8, 7, 8, 7, 8, 5, 7, 8, 5, 6]"
5,yi:9b-chat-v1.5-q4_K_M,True,"[0, 3, 12, 3, 10, 11, 6, 0, 3, 10, 11, 0, 3, 10, 0, 3, 9, 10, 11, 5, 6, 6, 6, 6, 0, 3, 4, 1, 2, 12, 0, 1, 3, 12, 5, 12, 5, 0, 3, 9, 0, 3, 4, 9, 6, 6, 7, 8, 1, 2, 4, 11, 12, 1, 2, 4, 11, 12, 0, 1, 3, 4, 12, 0, 3, 4, 12, 0, 1, 3, 4, 12, 0, 2, 3, 4, 12, 4, 6, 11, 7, 8, 6, 7, 7, 8, 7, 8, 5, 6, 7, 8, 5, 6, 0, 3, 4, 0, 1, 2, 3, 4, 10, 12, 6, 0, 3, 9, 11, 12]","[10, 11, 0, 9, 10, 11, 5, 5, 7, 11, 1, 11, 12, 0, 0, 3, 4, 12, 0, 4, 11, 7, 8, 5, 0, 10, 6]",[],"[0, 3, 12, 3, 10, 11, 6, 0, 3, 10, 11, 0, 3, 10, 0, 3, 9, 10, 11, 5, 6, 6, 6, 6, 0, 3, 4, 1, 2, 12, 0, 1, 3, 12, 5, 12, 5, 0, 3, 9, 0, 3, 4, 9, 6, 6, 1, 2, 4, 11, 12, 1, 2, 4, 11, 12, 0, 1, 3, 4, 12, 0, 3, 4, 12, 0, 1, 3, 4, 12, 0, 2, 3, 4, 12, 4, 6, 11, 6, 7, 8, 8, 6, 5, 6, 0, 4, 0, 1, 3, 4, 10, 12, 6, 0, 3, 9, 11, 12]","[7, 8, 7, 8, 7, 7, 5, 7, 8, 3, 2]"
6,yi:9b-chat-v1.5-q4_K_M,True,"[0, 2, 3, 12, 3, 10, 6, 0, 3, 10, 11, 0, 2, 3, 9, 10, 0, 3, 9, 10, 11, 5, 6, 6, 6, 6, 3, 4, 1, 2, 12, 0, 1, 3, 12, 5, 12, 5, 0, 3, 9, 3, 4, 9, 6, 6, 7, 8, 1, 2, 4, 12, 1, 2, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 3, 12, 4, 6, 11, 7, 8, 6, 7, 8, 7, 8, 5, 6, 12, 7, 8, 5, 6, 0, 3, 4, 0, 2, 3, 4, 10, 12, 6, 0, 3, 9, 10, 11, 12]","[10, 0, 9, 10, 11, 5, 5, 12, 0, 0, 3, 4, 12, 0, 4, 11, 7, 8, 5, 0, 10, 12, 6]",[],"[0, 2, 3, 12, 3, 10, 6, 0, 3, 10, 11, 0, 3, 9, 10, 0, 3, 9, 10, 11, 6, 6, 6, 6, 3, 4, 1, 2, 12, 0, 1, 3, 12, 12, 5, 0, 3, 9, 3, 4, 9, 6, 6, 1, 4, 12, 1, 2, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 3, 12, 4, 6, 11, 6, 7, 8, 8, 6, 12, 6, 0, 3, 4, 0, 3, 10, 12, 6, 0, 3, 9, 10, 11, 12]","[2, 5, 5, 7, 8, 2, 7, 8, 7, 5, 7, 8, 5, 2, 4]"
7,yi:9b-chat-v1.5-q4_K_M,True,"[0, 2, 3, 12, 3, 10, 6, 0, 3, 10, 11, 0, 3, 10, 0, 3, 9, 10, 11, 6, 6, 6, 6, 0, 3, 4, 1, 2, 12, 0, 1, 2, 3, 12, 5, 12, 5, 12, 0, 3, 9, 0, 3, 9, 6, 6, 7, 8, 1, 2, 4, 11, 12, 1, 2, 4, 11, 12, 0, 1, 3, 4, 12, 0, 1, 3, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 4, 6, 11, 7, 8, 7, 8, 7, 8, 5, 6, 12, 5, 7, 8, 5, 6, 0, 3, 4, 0, 1, 2, 3, 4, 10, 12, 6, 0, 3, 11]","[10, 0, 9, 10, 11, 5, 11, 11, 12, 0, 0, 1, 3, 4, 12, 0, 4, 11, 7, 8, 5, 5, 0, 4, 10, 6]",[],"[0, 3, 12, 3, 10, 6, 0, 3, 10, 11, 0, 3, 10, 3, 10, 11, 6, 6, 6, 6, 0, 3, 4, 1, 2, 12, 0, 1, 2, 3, 12, 5, 12, 5, 12, 0, 3, 9, 0, 3, 9, 6, 6, 1, 2, 4, 11, 12, 1, 2, 4, 11, 12, 0, 1, 3, 4, 12, 0, 1, 3, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 4, 6, 11, 7, 8, 6, 12, 6, 0, 3, 4, 0, 1, 3, 4, 10, 12, 0, 3, 11]","[2, 0, 9, 7, 8, 7, 8, 7, 8, 5, 5, 7, 8, 5, 2, 6]"
8,yi:9b-chat-v1.5-q4_K_M,True,"[0, 2, 3, 12, 5, 0, 3, 10, 6, 0, 3, 10, 11, 0, 2, 3, 10, 0, 2, 3, 9, 10, 11, 6, 6, 6, 6, 0, 1, 4, 1, 2, 12, 0, 1, 3, 12, 5, 12, 5, 12, 0, 3, 9, 0, 3, 9, 6, 6, 7, 8, 1, 2, 4, 12, 1, 2, 4, 12, 0, 1, 3, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 4, 6, 11, 7, 8, 7, 8, 7, 8, 5, 6, 5, 7, 8, 5, 6, 0, 3, 4, 12, 0, 2, 3, 4, 10, 12, 6, 0, 3, 7, 8, 9, 11]","[10, 0, 9, 10, 11, 5, 12, 0, 0, 3, 4, 12, 0, 4, 11, 8, 5, 5, 0, 10, 6]",[],"[0, 3, 12, 5, 0, 3, 10, 6, 0, 3, 10, 11, 0, 3, 10, 0, 2, 3, 9, 10, 11, 6, 6, 6, 6, 0, 1, 4, 1, 2, 12, 1, 12, 5, 12, 5, 12, 0, 3, 9, 0, 3, 9, 6, 6, 1, 2, 4, 12, 1, 4, 12, 0, 1, 3, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 4, 11, 7, 8, 6, 6, 3, 4, 12, 0, 3, 4, 10, 12, 6, 0, 3, 8, 9, 11]","[2, 2, 0, 3, 7, 8, 2, 6, 7, 8, 7, 8, 5, 5, 7, 8, 5, 0, 2, 7]"
9,yi:9b-chat-v1.5-q4_K_M,True,"[0, 2, 3, 12, 0, 3, 10, 6, 3, 10, 0, 3, 10, 0, 1, 3, 9, 10, 11, 6, 6, 6, 6, 0, 3, 4, 1, 2, 12, 0, 1, 3, 4, 12, 5, 12, 5, 12, 0, 3, 9, 0, 3, 4, 9, 6, 6, 7, 8, 1, 2, 4, 12, 1, 2, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 1, 3, 4, 12, 0, 3, 4, 12, 4, 6, 11, 7, 8, 6, 7, 7, 8, 7, 8, 5, 6, 7, 8, 5, 6, 0, 3, 4, 0, 2, 3, 4, 10, 12, 6, 0, 3, 9, 10, 11]","[10, 0, 9, 10, 11, 5, 12, 0, 0, 3, 4, 12, 0, 4, 11, 8, 5, 0, 10, 12, 6]",[],"[0, 2, 3, 12, 0, 3, 10, 6, 3, 10, 0, 3, 10, 0, 1, 3, 9, 10, 11, 6, 6, 6, 6, 0, 3, 4, 1, 2, 12, 0, 1, 4, 12, 5, 12, 5, 12, 0, 3, 9, 0, 3, 4, 9, 6, 1, 4, 12, 1, 4, 12, 0, 3, 4, 12, 0, 3, 4, 12, 0, 1, 3, 4, 12, 0, 3, 4, 12, 4, 6, 11, 6, 7, 8, 7, 6, 6, 0, 3, 4, 0, 3, 4, 10, 12, 6, 0, 3, 9, 10, 11]","[3, 6, 7, 8, 2, 2, 7, 8, 7, 8, 5, 7, 8, 5, 2]"
