result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 5, 5, 5, 5, 5, 6, 9, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3]","[1, 2, 3, 6, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 5, 5, 5, 5, 5, 9]",[]
1,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 5, 5, 5, 5, 5, 5, 6, 9, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3]","[1, 2, 3, 6, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 5, 5, 5, 5, 5, 9]",[5]
2,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 5, 5, 5, 5, 5, 5, 6, 9, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3]","[1, 2, 3, 6, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 5, 5, 5, 5, 9]","[5, 5]"
3,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 5, 5, 5, 5, 5, 6, 9, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3]","[1, 2, 3, 6, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 5, 5, 5, 5, 5, 9]",[]
4,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 5, 5, 5, 5, 5, 5, 6, 9, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3]","[1, 2, 3, 6, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 5, 5, 5, 5, 5, 9]",[5]
5,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 5, 5, 5, 5, 5, 6, 9, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3]","[1, 2, 3, 6, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 5, 5, 5, 9]","[5, 5]"
6,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 5, 5, 5, 5, 5, 5, 6, 9, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3]","[1, 2, 3, 6, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 5, 5, 5, 5, 5, 5, 9]",[]
7,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 5, 5, 5, 5, 5, 6, 9, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3]","[1, 2, 3, 6, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 5, 5, 5, 5, 5, 9]",[]
8,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 5, 5, 5, 5, 5, 5, 6, 9, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3]","[1, 2, 3, 6, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 5, 5, 5, 5, 5, 9]",[5]
9,phi3:14b-medium-128k-instruct-q4_K_M,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 4, 5, 5, 5, 5, 5, 5, 6, 9, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3]","[1, 2, 3, 6, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 5, 5, 5, 5, 5, 9]",[5]
