"ID",Reference,Component,Use Case,Threat,Name,Description,State,Test Result
01f29e31-25cf-4c91-a784-6a0ba8a2ff50,C-STORAGE-BR-1,Azure,Denial of Service,Unscheduled or infrequent application backups leading to potential data loss,Ensure regular automated backups,"For Azure Backup supported resources (such as Azure VMs, SQL Server, HANA databases, Azure PostgreSQL Database, File Shares, Blobs or Disks), enable Azure Backup and configure the desired frequency and retention period. For Azure VM, you can use Azure Policy to have backup automatically enabled using Azure Policy. 

For resources or services not supported by Azure Backup, use the native backup capability provided by the resource or service. For example, Azure Key Vault provides a native backup capability. 

For resources/services that are neither supported by Azure Backup nor have a native backup capability, evaluate your backup and disaster needs, and create your own mechanism as per your business requirements. For example: 
- If you use Azure Storage for data storage, enable blob versioning for your storage blobs which will allow you to preserve, retrieve, and restore every version of every object stored in your Azure Storage. 
- Service configuration settings can usually be exported to Azure Resource Manager templates. ",recommended,not-tested
028312e4-bbd3-480a-bff6-9df3cc55c75f,C-IOT-HUB-NS-2,Azure IoT Hub,Information Disclosure,Unauthorized access to public network resources,Secure cloud native services with network controls,"Deploy private endpoints for all Azure resources that support the Private Link feature, to establish a private access point for the resources. Using Private Link will keep the private connection from routing through the public network. 

Note: Certain Azure services may also allow private communication through the service endpoint feature, though it is recommended to use Azure Private Link for secure and private access to services hosted on Azure platform.

For certain services, you can choose to deploy VNet integration for the service where you can restrict/isolate the VNET to establish a private access point for the service. 

You also have the option to configure the service native network ACL rules or simply disable public network access to block access from the public network. 

For Azure VMs, unless there is a strong use case, you should avoid assigning public IPs/subnet directly to the VM interface and instead use gateway or load balancer services as the front-end for access by the public network. 
",recommended,not-tested
03be8c92-d165-42a7-9d7e-056363535914,C-VIDEO-CAMERA-CNT-05,USB Video Camera,Tampering,Attackers tamper with camera configurations or settings,Use secure configuration management and strong access control,"<p>Using secure configuration management and strong access control are essential security measures aimed at enhancing the protection of video camera systems. These practices ensure that video cameras are properly configured to minimize vulnerabilities and that access to the cameras is restricted to authorized individuals only.</p><p><strong>Secure Configuration Management:</strong><br>This involves establishing and maintaining secure settings for video cameras and their associated software. It includes disabling unnecessary services, changing default settings, and applying the principle of least privilege to ensure that cameras operate with only the essential configurations required for their functionality. Regularly reviewing and updating configurations helps mitigate the risk of exploitable vulnerabilities and ensures that the cameras adhere to the organization's security policies.</p><p><strong>Strong Access Control:</strong><br>Implementing robust access control mechanisms ensures that only authorized users can access and manage video camera systems. This can be achieved through the use of role-based access control (RBAC), multi-factor authentication (MFA), and strict password policies. By defining and enforcing clear access permissions, organizations can prevent unauthorized access, reduce the risk of insider threats, and ensure that users have appropriate levels of access based on their roles and responsibilities.</p><p><strong>Reference:</strong></p><ul><li><a href=""https://surveillanceguides.com/video-surveillance-solution-design-guide/"">Guide to Securing Video Surveillance Systems</a></li></ul>",recommended,not-tested
0a0825e3-f17d-4f3f-b68a-7d0a0f549019,C-STORAGE-NS-2,Azure Storage,Information Disclosure,Unauthorized access to Azure Storage through unsecured public connections,Secure cloud native services with network controls,"Deploy private endpoints for all Azure resources that support the Private Link feature, to establish a private access point for the resources. Using Private Link will keep the private connection from routing through the public network. 

Note: Certain Azure services may also allow private communication through the service endpoint feature, though it is recommended to use Azure Private Link for secure and private access to services hosted on Azure platform.

For certain services, you can choose to deploy VNet integration for the service where you can restrict/isolate the VNET to establish a private access point for the service. 

You also have the option to configure the service native network ACL rules or simply disable public network access to block access from the public network. 

For Azure VMs, unless there is a strong use case, you should avoid assigning public IPs/subnet directly to the VM interface and instead use gateway or load balancer services as the front-end for access by the public network. 
",recommended,not-tested
144b2835-15ee-4e18-bb49-d2c718802b05,C-IOT-HUB-IM-1,Azure IoT Hub,Tampering,Unauthorized access via local authentication and hard-coded credentials,Use centralized identity and authentication system,"Azure Active Directory (Azure AD) is Azure's identity and authentication management service. You should standardize on Azure AD to govern your organization's identity and authentication in:
- Microsoft cloud resources, such as Azure Storage, Azure Virtual Machines (Linux and Windows), Azure Key Vault, PaaS, and SaaS applications.
- Your organization's resources, such as applications on Azure, third-party applications running on your corporate network resources, and third-party SaaS applications. 
- Your enterprise identities in Active Directory by synchronization to Azure AD to ensure a consistent and centrally managed identity strategy.

For the Azure services that apply, avoid use of local authentication methods and instead use Azure Active Directory to centralize your service authentications.

Note: As soon as it is technically feasible, you should migrate on-premises Active Directory-based applications to Azure AD. This could be an Azure AD Enterprise Directory, Business to Business configuration, or Business to consumer configuration.",recommended,not-tested
15ec9784-3888-4de8-89b6-5360938185ab,C-AZURE-IOT-EDGE-CNT-02,IoT Edge Device,Information Disclosure,Insufficient encryption of data at rest,Enable encryption at rest,"<section>
    <p>To ensure that all data stored on Azure IoT Edge devices is encrypted at rest and protected from unauthorized access, follow the step-by-step guidance below using Azure's built-in encryption capabilities:</p>
    
    <ol>
        <li>
            <p>Before deploying Azure IoT Edge on your devices, ensure they support encryption at rest. This typically involves a hardware security module (HSM) or a Trusted Platform Module (TPM) for secure key storage:</p>
            <ul>
                <li>Check the device’s compatibility with encryption standards and assess whether a software-based encryption approach is necessary if hardware encryption is unavailable.</li>
            </ul>
        </li>
        <li>
            <p>Install Azure IoT Edge on your devices:</p>
            <ul>
                <li>Follow the instructions provided by Microsoft to set up the IoT Edge runtime on your equipment. Detailed setup instructions can be found <a href=""https://learn.microsoft.com/en-us/azure/iot-edge/how-to-install-iot-edge"">here</a>.</li>
            </ul>
        </li>
        <li>
            <p>Implement data encryption for modules running on IoT Edge. Use the following guidelines:</p>
            <ul>
                <li>Leverage Azure Storage account in the cloud or use Azure Blob Storage on IoT Edge. Both support server-side encryption at rest with either Microsoft-managed keys or customer-managed keys using Azure Key Vault.</li>
                <li>For data stored locally, consider utilizing BitLocker (on Windows-based IoT Edge devices) or the LUKS (Linux Unified Key Setup) encryption on Linux devices.</li>
                <li>When using Azure Blob Storage on IoT Edge, ensure that encryption features are enabled through the Azure portal or Azure CLI.</li>
            </ul>
        </li>
        <li>
            <p>Enable double encryption if needed for highly sensitive data:</p>
            <ul>
                <li>Optionally employ client-side encryption before sending data to Azure Blob Storage, ensuring another layer of protection by encrypting data with Azure's Storage Client Library before upload.</li>
            </ul>
        </li>
        <li>
            <p>Regularly review and update security policies and ensure that all software components of your IoT Edge deployments are kept up to date with security patches:</p>
            <ul>
                <li>Monitor for updates or vulnerabilities reported by Microsoft and relevant industry standards regarding encryption technologies.</li>
                <li>Implement automated update systems where possible to minimize the risk of outdated software exposing encryption keys or data.</li>
            </ul>
        </li>
    </ol>
</section>
<p><strong>References</strong></p>
<ul>
    <li><a href=""https://learn.microsoft.com/en-us/azure/iot-edge/security"">Azure IoT Edge Security</a></li>
    <li><a href=""https://learn.microsoft.com/en-us/azure/storage/common/storage-service-encryption"">Azure Storage Service Encryption</a></li>
    <li><a href=""https://learn.microsoft.com/en-us/azure/security/fundamentals/encryption-atrest"">Azure Encryption of Data at Rest</a></li>
    <li><a href=""https://learn.microsoft.com/en-us/azure/key-vault/general/overview"">Azure Key Vault Overview</a></li>
</ul>",recommended,not-tested
1660d394-42f1-40b5-bf55-472d415d441c,C-BROWSER-CNT-06,Browser,Spoofing,Attackers intercept browser communications through man-in-the-middle (MitM) attacks,Utilize encrypted communication tools,"<p>Implement and regularly update encrypted communication tools on all client machines to ensure that all browser communications are securely transmitted. This control enforces the use of secure protocols and encryption solutions, such as TLS and VPNs, to protect data in transit against interception and man-in-the-middle attacks.</p><p><strong>Implementation Steps:</strong></p><p><strong>Enable Secure Protocols:</strong><br>Configure browsers to default to secure protocols (e.g., HTTPS, TLS 1.2/1.3) and disable outdated, insecure versions.</p><p><strong>Deploy VPN or Encrypted Tunnels:</strong><br>Use reputable VPN solutions to encrypt browser traffic, especially when accessing untrusted networks, ensuring that data remains protected.</p><p><strong>Monitor and Validate Encryption:</strong><br>Regularly review encryption settings, validate certificate authenticity, and update encryption libraries to keep pace with emerging threats.</p><p><strong>Integrate with Centralized Management:</strong><br>Utilize enterprise tools to enforce encrypted communication configurations and monitor compliance across all client machines.</p><p><strong>References:</strong></p><ul><li><a href=""https://cheatsheetseries.owasp.org/cheatsheets/Transport_Layer_Protection_Cheat_Sheet.html"">OWASP Transport Layer Protection Cheat Sheet</a></li></ul>",recommended,not-tested
1812d303-ef6e-47d8-98f2-549b3a9e57c9,C-STORAGE-DP-6,Azure Storage,Information Disclosure,Unauthorized access to customer-managed keys and data in Azure Storage,Use a secure key management process,"Use Azure Key Vault to create and control your encryption keys life cycle, including key generation, distribution, and storage. Rotate and revoke your keys in Azure Key Vault and your service based on the defined schedule and when there is a key retirement or compromise. Require a certain cryptographic type and minimum key size when generating keys.

When there is a need to use customer-managed key (CMK) in the workload services or applications, ensure you follow the best practices:
- Use a key hierarchy to generate a separate data encryption key (DEK) with your key encryption key (KEK) in your key vault. 
- Ensure keys are registered with Azure Key Vault and implemented via key IDs in each service or application.

To maximize the key material lifetime and portability, bring your own key (BYOK) to the services (i.e., importing HSM-protected keys from your on-premises HSMs into Azure Key Vault). Follow the recommended guideline to perform the key generation and key transfer.

Note: Refer to the below for the FIPS 140-2 level for Azure Key Vault types and FIPS compliance/validation level.
- Software-protected keys in vaults (Premium & Standard SKUs):  FIPS 140-2 Level 1
- HSM-protected keys in vaults (Premium SKU): FIPS 140-2 Level 2
- HSM-protected keys in Managed HSM: FIPS 140-2 Level 3
Azure Key Vault Premium uses a shared HSM infrastructure in the backend. Azure Key Vault Managed HSM uses dedicated, confidential service endpoints with a dedicated HSM for when you need a higher level of key security.",recommended,not-tested
18d9778c-5284-401f-88e3-0c267a4e3891,C-AZURE-IOT-EDGE-CNT-01,M3,Tampering,Unauthorized access to IoT Edge devices,Implement certificate-based authentication,"<p>Implementing certificate-based authentication for Azure IoT Edge involves several steps to ensure secure communication between devices, modules, and other system actors. Follow these steps to configure and establish certificate-based authentication derived from PKiX standards:</p>

<ol>
    <li><strong>Set Up Your Public Key Infrastructure (PKI):</strong>
        <ul>
            <li>Design or acquire a Public Key Infrastructure (PKI) solution that aligns with your organization's security policies and compliance requirements.</li>
            <li>Ensure that your PKI supports X.509 certificates, as these are a standard for IoT Edge security.</li>
        </ul>
    </li>
    <li><strong>Generate Certificates:</strong>
        <ul>
            <li>Create a root certificate authority (CA) if your organization doesn’t already have one. This CA will be used to sign all devices and module certificates.</li>
            <li>Generate intermediate and leaf certificates under your root CA. These will represent devices, modules, and users interacting with the IoT Edge.</li>
            <li>Each certificate should include a unique subject name to ensure precise identity verification of each entity.</li>
        </ul>
    </li>
    <li><strong>Configure IoT Edge to Use Certificates:</strong>
        <ul>
            <li>Install the root certificate authority on the IoT Edge device. This will help IoT Edge to verify the signatures on identity certificates of clients.</li>
            <li>Deploy device and module certificates onto the respective devices and modules.</li>
            <li>Configure Azure IoT Edge runtime to use these certificates by updating its configuration file (`config.yaml`). Specifically, specify the paths to the certificate files and any related keys.</li>
        </ul>
    </li>
    <li><strong>Secure Certificate Storage and Distribution:</strong>
        <ul>
            <li>Use Azure Key Vault or a similar secure store to manage and periodically rotate certificates and private keys.</li>
            <li>Apply best practices for secure access to keys and certificates, ensuring that they are isolated from non-essential components.</li>
        </ul>
    </li>
    <li><strong>Enable Certificate Revocation Checks:</strong>
        <ul>
            <li>Configure IoT Edge to perform revocation checks for certificates against Online Certificate Status Protocol (OCSP) or Certificate Revocation Lists (CRL) to ensure all entities are trusted and valid.</li>
        </ul>
    </li>
    <li><strong>Regularly Audit and Monitor Certification Status:</strong>
        <ul>
            <li>Schedule regular audits of your certificate and key usage to ensure integrity and compliance with security policies.</li>
            <li>Monitor logs and alerts related to certificate validation and access, making use of Azure Security Center for IoT for enhanced visibility.</li>
        </ul>
    </li>
</ol>

<p><strong>References</strong></p>
<ul>
    <li><a href=""https://learn.microsoft.com/en-us/azure/iot-edge/security"">Azure IoT Edge Security</a></li>
</ul>
",recommended,not-tested
1a900b20-40a4-4357-b40c-25cb989c0523,C-AZURE-IOT-EDGE-CNT-03,EdgeRuntime,Tampering,Lack of runtime attestation,Integrate runtime attestation,"<p>Ensuring that Azure IoT Edge devices are running only authorized software is critical for maintaining the security and integrity of IoT environments. Implementing runtime attestation mechanisms can effectively verify the software integrity and authenticity on these devices. Follow the steps below to set up and utilize runtime attestation:</p>

<ol>
    <li>
        <p><strong>Enable Device Identity and Access Control:</strong></p>
        <ul>
            <li>Assign each IoT Edge device a unique identity through the Azure IoT Hub. This helps maintain a secure channel for communication and attestation verification.</li>
            <li>Utilize Azure Active Directory to manage role-based access controls, ensuring that only authorized users and services can interact with your IoT Edge devices.</li>
        </ul>
    </li>
    <li>
        <p><strong>Use TPM for Secure Attestation:</strong></p>
        <ul>
            <li>Make sure your IoT Edge devices support a Trusted Platform Module (TPM). TPMs provide a hardware-based mechanism for securely storing cryptographic keys and credentials.</li>
            <li>Configure the IoT Edge runtime on devices to use the TPM for performing and verifying attestation processes.</li>
        </ul>
    </li>
    <li>
        <p><strong>Configure Azure Policy for Compliance:</strong></p>
        <ul>
            <li>Set up Azure Policy definitions that specify the allowed images and software versions for your IoT Edge deployments. This assists in maintaining fleet-wide compliance.</li>
            <li>Regularly audit and update these policies to reflect new requirements and software updates.</li>
        </ul>
    </li>
    <li>
        <p><strong>Set Up Automated Security Monitoring:</strong></p>
        <ul>
            <li>Use Azure Security Center for IoT to monitor the security posture of your IoT Edge devices in real-time, identifying any unauthorized modifications to runtime configurations.</li>
            <li>Implement alerts that notify you immediately when an attestation fails, triggering a review or automated remediation process.</li>
        </ul>
    </li>
    <li>
        <p><strong>Perform Regular Software Updates and Patching:</strong></p>
        <ul>
            <li>Regularly update and patch your IoT Edge software and modules to mitigate known vulnerabilities. Use the automatic updates feature when applicable.</li>
            <li>Craft a continuous deployment pipeline using Azure DevOps to push secure software updates while ensuring they go through proper attestation checks before going live.</li>
        </ul>
    </li>
    <li>
        <p><strong>Review Attestation Logs:</strong></p>
        <ul>
            <li>Periodically review attestation logs and reports within Azure to ensure that only authorized software is running on your devices.</li>
            <li>Utilize these logs to identify patterns or anomalies that might indicate a security breach.</li>
        </ul>
    </li>
</ol>

<p><strong>References</strong></p>
<ul>
    <li><a href=""https://learn.microsoft.com/en-us/azure/iot-edge/security"">Azure IoT Edge Security</a></li>
</ul>
",recommended,not-tested
