result_id,model,seed,category,asset
0,deepseek-r1:14b-qwen-distill-q4_K_M,169,[],[]
1,deepseek-r1:14b-qwen-distill-q4_K_M,429,[],[36]
2,deepseek-r1:14b-qwen-distill-q4_K_M,707,[],"[36, 26, 24]"
3,deepseek-r1:14b-qwen-distill-q4_K_M,429,[],"[48, 36, 53]"
4,deepseek-r1:14b-qwen-distill-q4_K_M,651,[],"[24, 26]"
5,deepseek-r1:14b-qwen-distill-q4_K_M,289,[],"[52, 36, 11]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,169,[],"[41, 48, 52]"
0,deepseek-r1:14b-qwen-distill-q4_K_M,169,[],[36]
1,deepseek-r1:14b-qwen-distill-q4_K_M,429,[],[26]
1,deepseek-r1:14b-qwen-distill-q4_K_M,429,[],"[32, 41, 17, 26]"

