result_id,model,seed,category,asset
0,phi3:14b-medium-128k-instruct-q4_K_M,169,[],[]
0,phi3:14b-medium-128k-instruct-q4_K_M,169,[],[]
1,phi3:14b-medium-128k-instruct-q4_K_M,429,[],[]
1,phi3:14b-medium-128k-instruct-q4_K_M,429,[],[]
2,phi3:14b-medium-128k-instruct-q4_K_M,707,[],[]
2,phi3:14b-medium-128k-instruct-q4_K_M,707,[],[]
3,phi3:14b-medium-128k-instruct-q4_K_M,429,[],[]
3,phi3:14b-medium-128k-instruct-q4_K_M,429,[],[]
4,phi3:14b-medium-128k-instruct-q4_K_M,651,[],[]
4,phi3:14b-medium-128k-instruct-q4_K_M,651,[],[]
5,phi3:14b-medium-128k-instruct-q4_K_M,289,[],[]
5,phi3:14b-medium-128k-instruct-q4_K_M,289,[],[]
6,phi3:14b-medium-128k-instruct-q4_K_M,491,[],[]
6,phi3:14b-medium-128k-instruct-q4_K_M,491,[],[]
7,phi3:14b-medium-128k-instruct-q4_K_M,864,[],[]
7,phi3:14b-medium-128k-instruct-q4_K_M,864,[],[]
8,phi3:14b-medium-128k-instruct-q4_K_M,222,[],[]
8,phi3:14b-medium-128k-instruct-q4_K_M,222,[],[]
9,phi3:14b-medium-128k-instruct-q4_K_M,812,[],[]
9,phi3:14b-medium-128k-instruct-q4_K_M,812,[],[]
10,phi3:14b-medium-128k-instruct-q4_K_M,487,"[9, 2]",[]
10,phi3:14b-medium-128k-instruct-q4_K_M,487,"[9, 2]",[]
11,phi3:14b-medium-128k-instruct-q4_K_M,828,[],[9]
11,phi3:14b-medium-128k-instruct-q4_K_M,828,[],[9]
12,phi3:14b-medium-128k-instruct-q4_K_M,987,[],[14]
12,phi3:14b-medium-128k-instruct-q4_K_M,987,[],[14]
13,phi3:14b-medium-128k-instruct-q4_K_M,525,[],[13]
13,phi3:14b-medium-128k-instruct-q4_K_M,525,[],[13]
14,phi3:14b-medium-128k-instruct-q4_K_M,188,[],[]
14,phi3:14b-medium-128k-instruct-q4_K_M,188,[],[]
15,phi3:14b-medium-128k-instruct-q4_K_M,518,[],[14]
15,phi3:14b-medium-128k-instruct-q4_K_M,518,[],[14]
16,phi3:14b-medium-128k-instruct-q4_K_M,541,[],[]
16,phi3:14b-medium-128k-instruct-q4_K_M,541,[],[]
17,phi3:14b-medium-128k-instruct-q4_K_M,242,[],"[13, 14, 9]"
17,phi3:14b-medium-128k-instruct-q4_K_M,242,[],"[13, 14, 9]"
18,phi3:14b-medium-128k-instruct-q4_K_M,808,[],[]
18,phi3:14b-medium-128k-instruct-q4_K_M,808,[],[]
19,phi3:14b-medium-128k-instruct-q4_K_M,4,[2],[]
19,phi3:14b-medium-128k-instruct-q4_K_M,4,[2],[]
20,phi3:14b-medium-128k-instruct-q4_K_M,15,[],[]
20,phi3:14b-medium-128k-instruct-q4_K_M,15,[],[]
21,phi3:14b-medium-128k-instruct-q4_K_M,380,[2],"[14, 5]"
21,phi3:14b-medium-128k-instruct-q4_K_M,380,[2],"[14, 5]"
22,phi3:14b-medium-128k-instruct-q4_K_M,956,[2],[8]
22,phi3:14b-medium-128k-instruct-q4_K_M,956,[2],[8]
23,phi3:14b-medium-128k-instruct-q4_K_M,600,[],"[14, 9]"
23,phi3:14b-medium-128k-instruct-q4_K_M,600,[],"[14, 9]"
24,phi3:14b-medium-128k-instruct-q4_K_M,439,[],[14]
24,phi3:14b-medium-128k-instruct-q4_K_M,439,[],[14]
25,phi3:14b-medium-128k-instruct-q4_K_M,71,[],[14]
25,phi3:14b-medium-128k-instruct-q4_K_M,71,[],[14]
26,phi3:14b-medium-128k-instruct-q4_K_M,149,[],[14]
26,phi3:14b-medium-128k-instruct-q4_K_M,149,[],[14]
27,phi3:14b-medium-128k-instruct-q4_K_M,813,[],[]
27,phi3:14b-medium-128k-instruct-q4_K_M,813,[],[]
28,phi3:14b-medium-128k-instruct-q4_K_M,770,[],[14]
28,phi3:14b-medium-128k-instruct-q4_K_M,770,[],[14]
