result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,yi:9b-chat-v1.5-q4_K_M,True,"[12, 38, 45, 48, 12, 38, 45, 48, 12, 38, 48, 29, 30, 33, 34, 3, 33, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 34, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 31, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 14, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]","[12, 12, 24, 0, 8, 21, 31, 32, 37, 32]",[],"[12, 38, 45, 48, 12, 38, 45, 48, 12, 38, 48, 29, 30, 33, 34, 3, 33, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 34, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 31, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 14, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]",[]
1,yi:9b-chat-v1.5-q4_K_M,True,"[12, 38, 45, 48, 12, 38, 45, 48, 12, 38, 48, 29, 30, 33, 34, 3, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 34, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 31, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 14, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]","[12, 12, 24, 0, 8, 21, 31, 32, 37, 32]",[],"[12, 38, 45, 48, 12, 38, 45, 48, 12, 38, 48, 29, 30, 33, 34, 3, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 34, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 31, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 14, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]",[]
2,yi:9b-chat-v1.5-q4_K_M,True,"[12, 38, 45, 48, 12, 38, 45, 48, 12, 38, 48, 29, 30, 33, 34, 3, 33, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 14, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]","[12, 12, 24, 0, 8, 21, 31, 32, 37, 32]",[],"[12, 38, 45, 48, 12, 38, 45, 48, 12, 38, 48, 29, 30, 33, 34, 3, 33, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 14, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]",[]
3,yi:9b-chat-v1.5-q4_K_M,True,"[12, 38, 45, 48, 12, 38, 48, 12, 38, 48, 29, 30, 33, 34, 3, 33, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 31, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]","[12, 12, 24, 0, 8, 21, 31, 32, 37, 32]",[],"[12, 38, 45, 48, 12, 38, 48, 12, 38, 48, 29, 30, 33, 34, 3, 33, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 31, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]",[34]
4,yi:9b-chat-v1.5-q4_K_M,True,"[12, 38, 45, 48, 12, 38, 48, 12, 38, 48, 29, 30, 33, 34, 49, 3, 33, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 34, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 31, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 14, 18, 22, 25, 27, 28, 30, 41, 42, 43, 46, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]","[12, 12, 24, 0, 8, 21, 31, 32, 37, 32, 34]",[],"[12, 38, 45, 48, 12, 38, 48, 12, 38, 48, 29, 30, 33, 34, 49, 3, 33, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 34, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 31, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 14, 18, 22, 25, 27, 28, 30, 41, 42, 43, 46, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]",[]
0,yi:9b-chat-v1.5-q4_K_M,True,"[12, 38, 45, 48, 12, 38, 45, 48, 12, 38, 48, 29, 30, 33, 34, 3, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 14, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]","[12, 12, 24, 0, 8, 21, 31, 32, 37, 32]",[],"[12, 38, 45, 48, 12, 38, 45, 48, 12, 38, 48, 29, 30, 33, 34, 3, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 14, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]",[]
5,yi:9b-chat-v1.5-q4_K_M,True,"[12, 38, 45, 48, 12, 16, 38, 45, 48, 12, 38, 48, 29, 30, 33, 34, 3, 33, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 31, 32, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 14, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]","[12, 12, 24, 0, 8, 21, 31, 32, 37, 32]",[],"[12, 38, 45, 48, 12, 16, 38, 45, 48, 12, 38, 48, 29, 30, 33, 34, 3, 33, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 31, 32, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 14, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]",[]
1,yi:9b-chat-v1.5-q4_K_M,True,"[12, 38, 45, 48, 12, 16, 38, 45, 48, 12, 38, 48, 29, 30, 33, 34, 49, 3, 30, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 34, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 26, 31, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 14, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]","[12, 12, 24, 0, 8, 21, 31, 32, 37, 32, 34]",[],"[12, 38, 45, 48, 12, 16, 38, 45, 48, 12, 38, 48, 29, 30, 33, 34, 49, 3, 30, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 34, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 26, 31, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 14, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]",[]
6,yi:9b-chat-v1.5-q4_K_M,True,"[12, 38, 45, 48, 12, 38, 45, 48, 12, 38, 48, 29, 30, 34, 49, 3, 33, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 31, 32, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 26, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 31, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 14, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]","[12, 12, 24, 0, 8, 21, 31, 32, 37, 32]",[],"[12, 38, 45, 48, 12, 38, 45, 48, 12, 38, 48, 29, 30, 34, 49, 3, 33, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 31, 32, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 26, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 31, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 14, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]",[]
2,yi:9b-chat-v1.5-q4_K_M,True,"[12, 38, 45, 48, 12, 38, 45, 48, 12, 38, 48, 29, 30, 34, 3, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]","[12, 12, 24, 0, 8, 21, 31, 32, 37, 32]",[],"[12, 38, 45, 48, 12, 38, 45, 48, 12, 38, 48, 29, 30, 34, 3, 34, 3, 12, 28, 29, 30, 33, 34, 49, 24, 24, 24, 0, 7, 8, 10, 16, 17, 20, 21, 26, 32, 35, 36, 37, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 31, 32, 35, 36, 37, 39, 40, 44, 0, 7, 8, 10, 16, 17, 20, 21, 23, 26, 32, 34, 35, 36, 37, 39, 40, 44, 1, 2, 4, 5, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46, 1, 2, 4, 6, 9, 11, 13, 18, 22, 25, 27, 30, 41, 42, 43, 46]",[]
