result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,qwen2.5:7b-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 6, 7, 8, 9, 10, 11, 11, 12]","[2, 5, 5, 6, 9, 10, 11, 12]","[2, 4, 5, 7, 12]","[5, 8]","[1, 6, 6, 9, 10, 11, 11]"
1,qwen2.5:7b-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 6, 7, 8, 9, 10, 11, 11]","[2, 5, 5, 6, 9, 10, 11]","[2, 4, 5, 8]","[5, 7]","[1, 6, 6, 9, 10, 11, 11]"
2,qwen2.5:7b-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 6, 7, 8, 9, 10, 11, 11]","[2, 5, 5, 6, 9, 10, 11]","[2, 4, 5, 5, 7, 8]",[],"[1, 6, 6, 9, 10, 11, 11]"
3,qwen2.5:7b-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 6, 7, 8, 9, 10, 11, 11, 12]","[2, 5, 5, 6, 9, 10, 11, 12]","[2, 4, 5, 7, 8, 12]",[5],"[1, 6, 6, 9, 10, 11, 11]"
4,qwen2.5:7b-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 6, 7, 8, 9, 10, 11, 11, 12]","[2, 5, 5, 6, 9, 10, 11, 12]","[2, 4, 5, 7, 8, 12]",[5],"[1, 6, 6, 9, 10, 11, 11]"
5,qwen2.5:7b-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 6, 7, 8, 9, 10, 11, 11]","[2, 5, 5, 6, 9, 10, 11]","[4, 5, 7, 8]","[2, 5]","[1, 6, 6, 9, 10, 11, 11]"
6,qwen2.5:7b-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 6, 7, 8, 9, 10, 11, 11]","[2, 5, 5, 6, 9, 10, 11]","[4, 7, 8]","[2, 5, 5]","[1, 6, 6, 9, 10, 11, 11]"
7,qwen2.5:7b-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 6, 7, 8, 9, 10, 11, 11]","[1, 2, 5, 5, 6, 9, 10, 11]","[4, 5, 7, 8]","[2, 5]","[1, 6, 6, 9, 10, 11, 11]"
8,qwen2.5:7b-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 6, 7, 8, 9, 10, 11, 11]","[2, 5, 5, 6, 9, 10, 11]","[2, 4, 5, 7, 8]",[5],"[1, 6, 6, 9, 10, 11, 11]"
9,qwen2.5:7b-instruct-q4_K_M,False,"[1, 2, 4, 5, 5, 6, 6, 7, 8, 9, 10, 11, 11, 12]","[2, 5, 5, 6, 9, 10, 11, 12]","[4, 5, 8, 12]","[2, 5, 7]","[1, 6, 6, 9, 10, 11, 11]"
