"ID",Reference,Component,Use Case,Name,Description,State,Inherent Risk,Current Risk,Projected Risk,Planned mitigation,Current Mitigation,Reason
a8db3a4b-c79c-4f56-a24d-9495324ed003,T-SERVICE-ABUSE,Web Service,Denial of Service,"Attackers abuse the service, e.g., lack of rate limiting","<p><strong>General Threat Description</strong></p> <p>When a server-side web service, such as a REST API or a gRPC service, lacks adequate rate limiting, it becomes vulnerable to various forms of abuse. Rate limiting is crucial for controlling the frequency of client requests to prevent overuse and ensure fair resource allocation among users. Without proper rate-limiting controls, attackers can inundate the service with a high volume of requests, potentially leading to denial of service, resource exhaustion, and performance degradation. This vulnerability can also be exploited to facilitate other attack types, such as brute force attacks aimed at guessing user credentials.</p>
<p><strong>Threat Agents/Attack Vectors</strong></p> <p>The primary threat agents in this scenario are malicious actors or bots designed to exploit weaknesses in web services. Attack vectors include automated scripts or botnets that send a large number of requests in a short period, overwhelming the service. These actors may seek to disrupt the service availability, gain unauthorized access, or exploit the service for other malicious purposes. The lack of rate limiting makes it easier for such actors to carry out their attacks without being detected or throttled by the system.</p>
<p><strong>Impacts</strong></p> <p>The impacts of failing to implement adequate rate limiting can be severe. It can lead to service degradation, where legitimate users experience slow response times or are unable to access the service altogether. In extreme cases, it can result in a complete denial of service, making the web service unavailable. Furthermore, it can compromise the security of the service by facilitating brute force and other exploitation techniques, potentially leading to unauthorized access and data breaches.</p>
<p><strong>Example Attack Scenarios</strong></p> <p>An attacker deploys a botnet to send thousands of login requests per minute to a web service that lacks proper rate limiting. The service becomes overwhelmed with the volume of requests, leading to resource exhaustion and significant performance degradation. Legitimate users are unable to access the service, and the attacker may eventually bypass authentication controls through brute force attacks, gaining unauthorized access to sensitive information.</p> ",Expose,51,51,51,0,0,
6ca57569-24b6-49f8-aef7-d70519a62e7c,T-LEAKAGE,Web Service,Information Disclosure,"Attackers access information, including secrets, through misconfiguration, errors, or logging","<p><strong>General Threat Description</strong></p> <p>Improper configurations, coding errors, and insecure logging practices in a server-side web service can lead to the unintentional exposure of sensitive information, including secrets like passwords, API keys, and both system and user data. Such vulnerabilities occur when the web service is not correctly secured, potentially due to oversight, lack of awareness, or misinterpretation of configuration settings. These vulnerabilities can allow attackers to access confidential information that should otherwise be protected, compromising the security and integrity of the web service and its users.</p>
<p><strong>Threat Agents/Attack Vectors</strong></p> <p>Threat agents in these scenarios can range from opportunistic hackers to sophisticated cybercriminals actively scanning for exposed information due to misconfigurations or errors. Attack vectors include exploiting publicly accessible directories, unprotected files, verbose error messages, and logs that contain sensitive information. Attackers may also use automated tools to scan for common misconfigurations or coding errors that lead to information exposure.</p>
<p><strong>Impacts</strong></p> <p>The exposure of sensitive information through misconfiguration, coding errors, or insecure logging can have severe consequences, including data breaches, identity theft, and unauthorized access to protected resources. It can also lead to loss of customer trust, reputational damage, and potential legal and regulatory implications for the organization. The compromised information can further be used in more sophisticated attacks, amplifying the overall risk to the organization and its stakeholders.</p>
<p><strong>Example Attack Scenarios</strong></p> <p>An attacker discovers that a web service's error messages are verbose and include detailed stack traces, revealing database connection strings and API keys. Utilizing this information, the attacker gains unauthorized access to the database and third-party services. In another scenario, an attacker finds a misconfigured server that logs all HTTP requests, including URLs containing unencrypted passwords and tokens. By accessing these logs, the attacker harvests credentials and tokens to impersonate legitimate users or escalate privileges.</p> ",Expose,68,68,68,0,0,
2a9463c1-64ad-45ba-89fb-1573f333ce07,T-AUTHENTICATION-BYPASS,Web Service,Elevation of Privilege,Attackers bypass authentication and gain unauthorized access,"<p><strong>General Threat Description</strong></p> <p>Attackers exploiting weaknesses in the authentication mechanisms of a server-side web service, such as a REST API or a gRPC service, pose a significant security threat. Authentication bypass occurs when attackers find ways to circumvent authentication processes, allowing them to impersonate legitimate users or access the service without authorization. This threat can arise from various vulnerabilities, including inadequate access controls, the use of weak or default credentials, insecure session management, and other software flaws that may be exploited through injection attacks or other techniques.</p>
<p><strong>Threat Agents/Attack Vectors</strong></p> <p>The threat agents in this scenario include cybercriminals, malicious insiders, or automated bots that specifically target authentication mechanisms to gain unauthorized access. These agents might use various attack vectors, such as phishing to steal credentials, exploiting known vulnerabilities in authentication mechanisms, session hijacking, or even using previously leaked credentials obtained from other breaches (credential stuffing).</p>
<p><strong>Impacts</strong></p> <p>An authentication bypass can lead to severe impacts, including unauthorized access to sensitive data, data manipulation or theft, and potentially gaining elevated privileges within the system. Such incidents can result in financial loss, reputational damage, and legal consequences for the affected organization. Moreover, they compromise the confidentiality, integrity, and availability of the service, affecting both the service provider and its users.</p>
<p><strong>Example Attack Scenarios</strong></p> <p>An attacker discovers a vulnerability in the session management of a web service, allowing them to hijack an active session of a legitimate user. By exploiting this weakness, the attacker gains unauthorized access to the user's account without needing to bypass the login credentials. In another scenario, an attacker uses a SQL injection flaw in the login form to bypass authentication checks, granting them access to restricted areas of the web service that contain sensitive user data.</p> ",Expose,77,77,77,0,0,
5a3cafd7-3aa9-4659-818d-deceadedfffa,T-WEB-UI-T2,Web UI,Spoofing,Attackers can deceive users into clicking on hidden elements,"<p>This threat involves manipulating the web user interface (UI) to deceive users into clicking on elements that are not what they appear to be. This form of attack, often referred to as ""clickjacking,"" uses various techniques to trick a user into clicking on a concealed or disguised element. These elements, when clicked, can trigger unauthorized actions, such as liking a page, sharing sensitive information, or granting permissions to access data or perform actions on the user's behalf. The attack leverages the trust a user has in the visible UI, exploiting it to facilitate actions unintended by the user and unauthorized by the system.</p>
<p><strong>Threat Agents/Attack Vectors</strong></p>
<ul>
 <li><strong>Threat Agents:</strong> The primary agents behind these attacks are often cybercriminals aiming to exploit user trust for malicious purposes, ranging from spreading malware to executing phishing campaigns or stealing credentials.</li>
 <li><strong>Attack Vectors:</strong> Common vectors include: 
  <ul>
   <li><strong>UI Redressing:</strong> Overlaying transparent or cleverly disguised iframes over seemingly benign web pages.</li>
   <li><strong>Click Transparent Layer:</strong> Placing a transparent layer over a web page so that clicks intended for visible elements beneath are hijacked.</li>
   <li><strong>Cursor Hijacking:</strong> Altering the appearance or behavior of the cursor to deceive users about the actual point of click.</li>
  </ul></li>
</ul>
<p><strong>Impacts</strong></p>
<p>The impacts of deceiving users into clicking on hidden elements can be widespread, affecting both individual users and organizations, including:</p>
<ul>
 <li><strong>Privacy Violations:</strong> Unauthorized sharing of personal or sensitive information without the user's knowledge.</li>
 <li><strong>Account Compromise:</strong> Unintentional granting of access or permissions to attackers, leading to account takeover or data breaches.</li>
 <li><strong>Malware Infection:</strong> Users might inadvertently download and install malware, leading to further exploitation.</li>
 <li><strong>Reputational Damage:</strong> Organizations may suffer reputational damage due to the exploitation of their platforms for such attacks.</li>
</ul>
<p><strong>Example Attack Scenarios</strong></p>
<ul>
 <li><strong>Scenario 1:</strong> A user visits a seemingly harmless website that has been compromised with a clickjacking script. The script overlays a transparent iframe over a ""Play"" button for a video. Instead of playing the video, clicking the button unknowingly shares a malicious link on the user's social media profile.</li>
 <li><strong>Scenario 2:</strong> An attacker designs a webpage that mimics a popular game. However, hidden within the game's UI is a disguised button that, when clicked, triggers the download of a piece of malware. The malware is executed unwittingly by the user, compromising their system.</li>
 <li><strong>Scenario 3:</strong> On a compromised e-commerce site, attackers overlay a transparent layer over the entire webpage. When users attempt to click on legitimate items, they instead click on this invisible layer, which redirects them to a phishing site designed to steal their credentials.</li>
</ul>
<p>To mitigate these threats, developers can employ various strategies, such as implementing frame-busting scripts, enabling Content Security Policy (CSP) headers to prevent unauthorized framing, and educating users about the risks of clickjacking and similar deceptive practices. Additionally, regular security assessments of web applications can help identify and rectify vulnerabilities that could be exploited in such attacks.</p>",Expose,56,56,56,0,0,
53d21eb8-478b-4436-9ca1-b497eecdc24c,T-WEB-UI-T3,Web UI,Tampering,Attackers can exploit vulnerabilities in third-party dependencies leading to security breaches,"<p>The exploitation of vulnerabilities in third-party dependencies is a significant threat in software development, particularly in web UI components that rely heavily on external libraries and frameworks. These dependencies can include everything from frontend libraries for UI elements to backend frameworks for data processing. If any of these third-party components are found to have security vulnerabilities, attackers can exploit them to compromise the security of the entire application. This can lead to unauthorized access, data breaches, and a range of other security incidents. The challenge is exacerbated by the complex dependency trees common in modern web development, where a single project might include hundreds of nested third-party dependencies.</p>
<p><strong>Threat Agents/Attack Vectors</strong></p>
<ul>
 <li><strong>Threat Agents:</strong> Both opportunistic hackers and targeted attackers can exploit vulnerabilities in third-party dependencies. They might scan a wide range of websites and applications for known vulnerabilities or target specific high-value applications using intelligence gathered about the software stack they rely on.</li>
 <li><strong>Attack Vectors:</strong> Common vectors include: 
  <ul>
   <li><strong>Exploiting Known Vulnerabilities:</strong> Using known vulnerabilities in public databases like CVE (Common Vulnerabilities and Exposures) to attack widely used dependencies.</li>
   <li><strong>Supply Chain Attacks:</strong> Compromising a third-party library or tool directly to inject malicious code, affecting all downstream applications that use that dependency.</li>
   <li><strong>Dependency Confusion:</strong> Trick developers into downloading and using malicious versions of dependencies that mimic legitimate packages.</li>
  </ul></li>
</ul>
<p><strong>Impacts</strong></p>
<p>The exploitation of vulnerabilities in third-party dependencies can have a range of impacts, including:</p>
<ul>
 <li><strong>Data Breach:</strong> Unauthorized access to sensitive personal and business data, potentially leading to financial loss and damage to reputation.</li>
 <li><strong>System Compromise:</strong> Full or partial control over the application or underlying systems, allowing for further attacks or persistent access.</li>
 <li><strong>Denial of Service (DoS):</strong> Disabling the application or making it unavailable to legitimate users, possibly as a smokescreen for other malicious activities.</li>
 <li><strong>Compliance Violations:</strong> Breaches may result in violations of regulatory requirements, leading to fines and legal action.</li>
</ul>
<p><strong>Example Attack Scenarios</strong></p>
<ul>
 <li><strong>Scenario 1:</strong> An attacker discovers that a popular web UI framework has a known cross-site scripting (XSS) vulnerability. They craft a payload that, when executed, steals session cookies from users of all websites that use the vulnerable version of the framework.</li>
 <li><strong>Scenario 2:</strong> A widely used open-source logging library is found to have a remote code execution (RCE) vulnerability. Before the vulnerability is widely known and patched, attackers exploit it to execute arbitrary code on servers running the vulnerable library, leading to data breaches at multiple organizations.</li>
 <li><strong>Scenario 3:</strong> Through a sophisticated supply chain attack, malicious code is inserted into a minor update of a common dependency used by e-commerce platforms. This code silently exfiltrates credit card information entered by shoppers on sites using the compromised version of the dependency.</li>
</ul>
<p>Mitigating these threats involves implementing a robust security process for managing third-party dependencies. This includes regularly auditing and updating dependencies, using automated tools to identify known vulnerabilities, employing software composition analysis (SCA) tools, and adopting a secure software development lifecycle (SDLC) that incorporates security considerations from the initial design phase through to deployment and beyond. Additionally, developers should be wary of adding unnecessary dependencies to projects and consider the security posture of any third-party code they incorporate into their applications.</p>",Expose,56,56,56,0,0,
63d30db4-d9d5-457c-8c12-c95df20b9000,T-WEB-UI-T4,Web UI,Tampering,Attackers can inject malicious scripts into web pages viewed by other users,"<p>The injection of malicious scripts into web pages viewed by other users, commonly known as Cross-Site Scripting (XSS), is a prevalent threat in web application security. XSS attacks involve the insertion of malicious scripts into the output of a web application, which are then executed in the browser of the user viewing the web page. These attacks exploit vulnerabilities in web applications that fail to adequately sanitize user input or content that is displayed to users. The consequences of XSS attacks can range from minor nuisances to significant security breaches, including theft of session tokens, cookies, personal data, and even the delivery of malware.</p>
<p><strong>Threat Agents/Attack Vectors</strong></p>
<ul>
 <li><strong>Threat Agents:</strong> XSS attacks can be launched by anyone with basic knowledge of HTML and JavaScript, ranging from individual hobbyist hackers to sophisticated cybercriminal groups. The goal might be to target a specific user, a particular organization, or any users of a vulnerable web application.</li>
 <li><strong>Attack Vectors:</strong> There are several vectors through which XSS attacks can be carried out: 
  <ul>
   <li><strong>Stored XSS:</strong> Malicious scripts are permanently stored on the target server (e.g., in a database, message forum, visitor log, or comment field), and the script is executed whenever the compromised data is viewed.</li>
   <li><strong>Reflected XSS:</strong> The malicious script is part of the request sent to the web server, which is then reflected back in such a way that the web server sends the script to the user’s browser, where it is executed.</li>
   <li><strong>DOM-based XSS:</strong> The vulnerability exists in the client-side code rather than the server-side code. The attacker manipulates the Document Object Model (DOM) of the web page and injects a script that is executed by the user’s browser.</li>
  </ul></li>
</ul>
<p><strong>Impacts</strong></p>
<p>The impacts of XSS attacks can be significant, including:</p>
<ul>
 <li><strong>Session Hijacking:</strong> Stealing or manipulating cookies to impersonate the victim.</li>
 <li><strong>Phishing:</strong> Displaying fake login prompts to steal usernames and passwords.</li>
 <li><strong>Malware Distribution:</strong> Spreading malware by including malicious scripts on web pages.</li>
 <li><strong>Credential Theft:</strong> Capturing keystrokes or form input to steal user credentials.</li>
 <li><strong>Defacement:</strong> Altering the appearance of the web page to spread misinformation or harm the organization's reputation.</li>
</ul>
<p><strong>Example Attack Scenarios</strong></p>
<ul>
 <li><strong>Scenario 1:</strong> An attacker discovers a vulnerability in a web application’s comment section that does not sanitize user input. They submit a comment containing a malicious script. When other users view the comment, the script executes, stealing their session cookies and sending them to the attacker.</li>
 <li><strong>Scenario 2:</strong> A user receives an email with a link to a seemingly legitimate website but is actually a malicious URL containing a script. Clicking the link sends the user to the vulnerable website, where the script runs in their browser, displaying a fake login page that captures the user's credentials when entered.</li>
 <li><strong>Scenario 3:</strong> An attacker injects a script into a poorly secured web application that rewrites the DOM to include a hidden iframe. This iframe then loads a phishing site or malware, compromising the user’s system or stealing sensitive information.</li>
</ul>
<p>Mitigation strategies against XSS include implementing robust input validation and output encoding to ensure that user-supplied data is sanitized before being returned to the user. Content Security Policy (CSP) can also be utilized to reduce the risk of XSS by specifying legitimate sources of executable scripts and effectively limiting where resources can be loaded from. Regular security testing, including automated scanning and manual code review, is crucial to identifying and fixing XSS vulnerabilities before attackers can exploit them.</p>",Expose,68,68,68,0,0,
1fe7d3a4-05e6-4a65-9bbb-15ec0b843a92,T-POSTGRESQL-T-POSTGRES-07,PostgreSQL,Denial of Service,Attackers cause denial of service through resource exhaustion,"<p><strong>General Threat Description:</strong><br>This threat occurs when attackers deliberately overload PostgreSQL by sending an excessive number of queries or performing resource-intensive operations. The resulting consumption of CPU, memory, disk I/O, or network bandwidth can render the database unresponsive, leading to a denial of service for legitimate users.</p><p><strong>Threat Agents/Attack Vectors:</strong></p><ul><li>External attackers using automated scripts or botnets to flood the database with high-volume queries.</li><li>Malicious insiders triggering resource-heavy operations to disrupt normal functioning.</li><li>Attackers exploiting inefficient query paths or misconfigurations to maximize resource usage.</li><li>Distributed denial-of-service (DDoS) attacks targeting PostgreSQL ports or API endpoints.</li></ul><p><strong>Impacts:</strong></p><ul><li>Complete or partial denial of service, resulting in database unavailability.</li><li>Degraded performance and increased latency, impacting application responsiveness.</li><li>Operational disruptions and potential financial losses due to downtime.</li><li>Increased resource consumption leading to higher infrastructure costs.</li></ul><p><strong>Example Attack Scenarios:</strong></p><ul><li>An attacker employs a botnet to send a flood of complex SQL queries to PostgreSQL, overwhelming the server's processing capacity and causing legitimate requests to time out.</li><li>A malicious insider exploits known inefficiencies in the database’s query optimizer by repeatedly executing resource-intensive queries, thereby depleting system resources and disrupting service for all users.</li></ul>",Expose,63,63,63,0,0,
cc691343-d529-4004-8dfe-cac08d9f6cd9,T-INJECTION-SERVICE,Web Service,Elevation of Privilege,"Attackers craft and inject malicious content, e.g., SQLi","<p><strong>General Threat Description</strong></p> <p>Injection attacks occur when an attacker crafts and injects malicious content into a server-side web service, such as a REST API or a gRPC service, targeting its data interpreters. SQL Injection (SQLi) is a prevalent form of this threat, but the risk also extends to Command Injection, XML Injection, LDAP Injection, Cross-Site Scripting (XSS), and malicious file executions. These attacks exploit vulnerabilities in the application's input validation mechanisms, allowing the attacker to execute arbitrary commands, manipulate queries, or access unauthorized data.</p>
<p><strong>Threat Agents/Attack Vectors</strong></p> <p>The primary threat agents include cybercriminals, hacking groups, and malicious insiders with knowledge of software vulnerabilities. Attack vectors involve the submission of crafted input data into web forms, URLs, or even in the headers of HTTP requests, aiming to manipulate the backend data processing systems. By exploiting vulnerabilities in how user input is processed and validated, attackers can execute unauthorized commands or queries within the application's underlying databases or operating systems.</p>
<p><strong>Impacts</strong></p> <p>The impacts of injection attacks can be devastating, leading to data breaches, loss of data integrity, unauthorized access to sensitive information, and complete system compromise. These attacks can result in regulatory penalties, financial losses, and severe damage to an organization's reputation. Moreover, they can undermine user trust in the affected web service, with long-term consequences for user retention and business viability.</p>
<p><strong>Example Attack Scenarios</strong></p> <p>In an SQL Injection attack, an attacker manipulates input fields or URL parameters to include malicious SQL code, which is then executed by the database server, leading to unauthorized data access. For example, by entering a specially crafted SQL query into a search box, the attacker could dump the database contents, including user credentials. In a Cross-Site Scripting attack, an attacker injects malicious scripts into web pages viewed by other users, stealing cookies or session tokens, thereby hijacking user sessions.</p> ",Expose,60,60,60,0,0,
d3137bf6-2f75-4e97-86bd-49aa178a8cb5,T-POSTGRESQL-T-POSTGRES-08,PostgreSQL,Information Disclosure,Attackers exfiltrate data due to insecure backup procedures,"<p><strong>General Threat Description:</strong><br>This threat occurs when backup procedures for PostgreSQL are not securely implemented, resulting in backup files that are unencrypted or improperly access-controlled. Attackers can exploit these weaknesses to access and exfiltrate sensitive data from backup storage, bypassing application-level security measures and potentially exposing confidential information.</p><p><strong>Threat Agents/Attack Vectors:</strong></p><ul><li>External attackers scanning for misconfigured or publicly accessible backup repositories.</li><li>Insider threats with legitimate or elevated access to backup storage systems.</li><li>Malware or automated scripts that target insecure backup files for data extraction.</li><li>Exploitation of weak backup procedures such as unencrypted storage or poorly managed access controls.</li></ul><p><strong>Impacts:</strong></p><ul><li>Unauthorized disclosure of sensitive or confidential data stored in backup files.</li><li>Regulatory non-compliance and potential legal repercussions due to data breaches.</li><li>Financial losses resulting from compromised data and subsequent remediation efforts.</li><li>Damage to organizational reputation and loss of customer trust.</li></ul><p><strong>Example Attack Scenarios:</strong></p><ul><li>An attacker identifies a misconfigured backup server that stores PostgreSQL backups without encryption, accesses it remotely, and exfiltrates sensitive customer records.</li><li>A malicious insider with access to backup systems downloads encrypted backup files, then uses weak access controls to decrypt and disseminate confidential financial information.</li></ul>",Expose,88,88,88,0,0,
2917912a-dd11-44b6-9bcb-aa4f0e29be5b,T-POSTGRESQL-T-POSTGRES-04,PostgreSQL,Information Disclosure,Attackers exploit misconfigurations in postgresql settings,"<p><strong>General Threat Description:</strong><br>This threat occurs when PostgreSQL is deployed with improper or default configurations, leaving it vulnerable to exploitation. Misconfigurations such as weak default settings, improperly set access controls, or unnecessary enabled features can create exploitable security gaps, allowing attackers to bypass intended restrictions and compromise the database.</p><p><strong>Threat Agents/Attack Vectors:</strong></p><ul><li>External attackers using automated tools to scan for misconfigured PostgreSQL instances.</li><li>Cybercriminals exploiting publicly accessible databases with weak or default settings.</li><li>Insider threats abusing misconfigured settings to gain unauthorized access or elevate privileges.</li><li>Adversaries leveraging misconfigured network access controls to access sensitive data.</li></ul><p><strong>Impacts:</strong></p><ul><li>Unauthorized access to sensitive data and administrative functions.</li><li>Data exfiltration, corruption, or deletion due to exploited misconfigurations.</li><li>Potential lateral movement within the network and broader system compromise.</li><li>Increased risk of regulatory non-compliance and reputational damage.</li></ul><p><strong>Example Attack Scenarios:</strong></p><ul><li>An attacker identifies a PostgreSQL instance with default settings that lack proper access controls, then exploits these misconfigurations to gain administrative access and exfiltrate data.</li><li>A malicious insider takes advantage of a misconfigured PostgreSQL server that permits overly broad network access, using it to access and manipulate confidential records without triggering security alerts.</li></ul>",Expose,81,81,81,0,0,
