result_id,model,seed,category,asset
0,deepseek-r1:14b-qwen-distill-q4_K_M,169,[],"[6, 16, 5]"
1,deepseek-r1:14b-qwen-distill-q4_K_M,429,[],"[6, 16, 5]"
2,deepseek-r1:14b-qwen-distill-q4_K_M,707,[],"[6, 5, 9, 16]"
3,deepseek-r1:14b-qwen-distill-q4_K_M,429,[],"[9, 6, 5]"
4,deepseek-r1:14b-qwen-distill-q4_K_M,651,[],"[5, 9, 6, 16]"
5,deepseek-r1:14b-qwen-distill-q4_K_M,289,[],"[16, 9, 6, 7, 5]"
6,deepseek-r1:14b-qwen-distill-q4_K_M,491,[],"[6, 5, 9, 16]"
7,deepseek-r1:14b-qwen-distill-q4_K_M,864,[],"[16, 6, 5, 9]"
8,deepseek-r1:14b-qwen-distill-q4_K_M,222,[],"[6, 5, 9, 16]"
9,deepseek-r1:14b-qwen-distill-q4_K_M,812,[],"[6, 16, 5, 9]"
