result_id,model,seed,category,asset
0,phi3:14b-medium-128k-instruct-q4_K_M,169,[],[]
1,phi3:14b-medium-128k-instruct-q4_K_M,429,[],[]
2,phi3:14b-medium-128k-instruct-q4_K_M,707,[],"[6, 8]"
3,phi3:14b-medium-128k-instruct-q4_K_M,429,[],[8]
4,phi3:14b-medium-128k-instruct-q4_K_M,651,[],[]
5,phi3:14b-medium-128k-instruct-q4_K_M,289,[],[]
6,phi3:14b-medium-128k-instruct-q4_K_M,491,[],[8]
7,phi3:14b-medium-128k-instruct-q4_K_M,864,[],[]
8,phi3:14b-medium-128k-instruct-q4_K_M,222,[],[]
0,phi3:14b-medium-128k-instruct-q4_K_M,169,[],[]
1,phi3:14b-medium-128k-instruct-q4_K_M,429,[],[]
